笔记标题,笔记链接,用户ID,用户头像,用户名,IP属地,笔记发布时间,笔记收藏数量,笔记评论数量,笔记点赞数量,笔记内容
杭州的这堵墙，绝了,https://www.xiaohongshu.com/explore/67c40b26000000000900cf7a?xsec_token=ABL8KzIFM-M7E1I7LPn4oXoFwUaNPv339ZqwGtooj2nnc=&xsec_source=pc_feed,5560ae96e58d1303049d6849,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30rjijdla2g0040luhjn9cq29rn6m6lg?imageView2/2/w/80/format/jpg,Balala,,编辑于 03-,11,9,16,#哪吒之魔童闹海 #小红书庙会 #涂鸦墙 #他们说这里很火 #不撞南墙撞北墙 #偶遇街头艺术 #街头有噱头 #发现另一个视界#杭州旅游
在杭州 | 吉祥里天台音乐会🎵,https://www.xiaohongshu.com/explore/672f874f000000001901717f?xsec_token=ABeFXqXdYbb2LOpTAYtUalzt0c_gRc_OTx6Ej88i6Km7Y=&xsec_source=pc_feed,56f87c881c07df06e9695e7b,https://sns-avatar-qc.xhscdn.com/avatar/646a5362ff69debaf5690138.jpg?imageView2/2/w/80/format/jpg,果果的麻麻是布布,,2024-11-,0,0,1,晚饭到家门口看见对面停了好多车于是决定去一探究竟一到那里发现果然很精彩啊靠近长廊和碗池河边广场有烟火大会看完烟火大会以为就结束了准备绕到碗池溜达回家结果还有天台快闪音乐会～还得是吉祥里主办方会玩～	据说明天晚上六点四十五还有一场～住的不远的可以来玩啊～今天又是家门口溜达的一天～#音乐会 #一座城市一场演出 #杭州 #杭州旅游 #杭州周末去哪儿 #杭州周末好去处 #去听一场音乐会 #杭州网红打卡地 #杭州亲子游杭州遛娃
起猛了❗❗在吉祥里看到了徽州非遗瞻淇鱼灯,https://www.xiaohongshu.com/explore/6770eb2a000000000b0162fb?xsec_token=ABE8r7raCOiB0LziIZu28qnRToAcvtW61df6L-pfi-QTg=&xsec_source=pc_feed,5fc07027000000000101d608,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31aac2jlkna0g5nu0e0jgblg8ihmomco?imageView2/2/w/80/format/jpg,范侃侃 影像科学,,编辑于 2024-12-,6,15,71,两条2条4米长的瞻淇鱼灯巡游整个社区10余条小鱼尾随其后周围人山人海热闹非凡📍杭州.吉祥里📆2024.12.29✨我是一名行走的咛游摄影师 关注我，可以看到更多杭州美景﻿#我镜头下的年味儿﻿ ﻿#我的城市换上新年﻿ ﻿#用影像定格烟火人间﻿ ﻿#杭州拍照﻿ ﻿#杭州周末去哪儿﻿ ﻿#城市摄影﻿ ﻿#跨年拍照﻿ ﻿#开始期待跨年了﻿ ﻿#瞻淇鱼灯﻿ ﻿#吉祥里﻿﻿﻿﻿@杭州吉祥里﻿ ﻿@瞻淇鱼灯﻿ ﻿@薯队长﻿ ﻿@日常薯﻿ ﻿@城市情报官﻿﻿
杭州9个地名打卡攻略‼️朋友圈都问疯了,https://www.xiaohongshu.com/explore/66eaccb2000000001e018b77?xsec_token=ABs-cZqvCLYMg7loaNxrnmvRiUqm1zULVHi-G5BDS2NsE=&xsec_source=pc_feed,60bc40470000000001002010,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo310rd5ktrme005o5s813g880g67gqbv8?imageView2/2/w/80/format/jpg,白日梦想家,,2024-09-,555,54,756,来杭州旅行不要光拍西湖了，下面这9个“杭州”机位，朋友圈都问爆了	✅057壹号码头✅桥西直街财神庙✅粮仓艺术公园✅丝联166✅绿城吉祥里✅运河天地✅武林夜市✅白蓝地✅小河直街	#杭州周末去哪儿 #杭州打卡 #杭州拍照 #杭州地标 #杭州旅游 #杭州旅行攻略 #时尚打卡地 #拍照打卡 #浪漫生话的记录者 #杭州网红打卡地
散步,https://www.xiaohongshu.com/explore/67f29201000000001c02c266?xsec_token=ABJ0S15QuZA3iwBy-OM7qtunzTAujjfmJOsJ_JtCrEhx8=&xsec_source=pc_feed,5bb709bb18e5970001479838,https://sns-avatar-qc.xhscdn.com/avatar/1000g2jo2hllgnoeiu06g4baear4rn61oiln4qf0?imageView2/2/w/80/format/jpg,立夏,浙江,04-06,1,0,2,吉祥里还是很适合散步的，古色古香的商场，却有让人安静的力量。晚风轻轻吹过脸颊的时候，就会暂时忘记生活的烦恼耶！河那边的亭子里有一位奶奶咿呀咿呀唱歌，一位爷爷在和声～真希望时间暂停，能不能放假久点啊～～～#夜晚的风景 #散步爱好者 #饭后走一走
,https://www.xiaohongshu.com/explore/67a5cf02000000001701fd01?xsec_token=ABG7K5CXmBFtdR-TSuccXe4oroTwE_MwqOFqTKVXia8_I=&xsec_source=pc_feed,61a5218700000000210282b7,https://sns-avatar-qc.xhscdn.com/avatar/c94b2589011be6d87bfbbbf21db9e2a0.jpg?imageView2/2/w/80/format/jpg,三戒,,02-,0,2,1,绿城吉祥里有空可以去溜达溜达，目前为止小河对面还在开发、期待[微笑R]
吉祥里-祥符老街,https://www.xiaohongshu.com/explore/66f12ea7000000001902f252?xsec_token=AB1Ni--NV7Cu28CeyYPvG0F3VF1sr7DStthhZxFQjUenE=&xsec_source=pc_feed,602daa1e000000000101ed4a,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30qdnt4b0g65g5o1dl8f0braacqmrt28?imageView2/2/w/80/format/jpg,大宋录影司,,编辑于 2024-12-,0,0,4,地方不是很大，周围的居民逛逛挺不错的#杭州 #拱墅区 #杭州citywalk #杭州周末去哪儿
杭州小众特色文化街区|绿城吉祥里2,https://www.xiaohongshu.com/explore/665b4695000000001401afa8?xsec_token=AB6gGjoeqjfQT4EZD3G4x1JrghxYk_zv3zSAGzfkV5bug=&xsec_source=pc_feed,5a9d5a45e8ac2b18ce52d1ab,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo3115usqe3me004a34fid4bkdbc1fbbko?imageView2/2/w/80/format/jpg,爱拍照的伶儿,,2024-06-,5,3,11,最近🔥出圈的＃绿城吉祥里＃适合朋友休闲聚聚，更适合拍照打卡，每一个角落每一个角度都能出大片，风景太美一个作品照片根本发不完，感兴趣的朋友可以打开上一个作品＃绿城吉祥里 1＃看看	地址：拱墅区 绿城吉祥里（有地下🅿️停车场）	交通：🚌公交车到＃祥符公交站＃特色：街区内有很多🌙月亮元素，晚上亮灯时特别好看打卡：有一面火🔥出圈的网红打卡墙，拍照打卡绝对出大片#杭州小众景点 #杭州小众旅游地 #杭州小众拍照 #摄影 #杭州旅游 #杭州历史街区 #杭州历史文化街区 #杭州休闲 #杭州拍照打卡地#杭州拍照圣地 #杭州朋友聚会 #杭州美食推荐 #杭州特色街区 #
杭州两天一夜旅游攻略｜路线景点全干货‼️,https://www.xiaohongshu.com/explore/662ce6f30000000004019b09?xsec_token=ABVzKbVrvqMEd9f0gEBnNQ1IVFiqhD2cYIUPvRPu7QLc0=&xsec_source=pc_feed,5c8a1b1c0000000010037e06,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31e5fted816005n4a3ce46vg6nld19e8?imageView2/2/w/80/format/jpg,小怪同学,,2024-04-,1649,19,2443,📍总要去趟杭州吧，吹吹西湖的晚风🍃感受烟雨江南之美🌿两天一夜之行附游玩攻略📝.游玩路线👣（简易版）1⃣️灵隐寺——法喜寺——西湖——大塘集鲜椒鱼蛙2⃣️杭州博物馆——杭州植物园——棒老二烈火烤活鱼——绿城吉祥里——小河直街.小TIPS🤫1⃣️证件🪪：记得带好自己的身份证和学生证，很多景点学生证都有优惠2⃣️交通🚴：大多数都是公交和自行车3⃣️住宿🏨：可以选择在西湖边，交通便利4⃣️衣物👗：近期天气可能比较炎热，防晒和帽子记得带好#杭州 #杭州旅游 #杭州攻略
是谁还不知道祥符老街周末🈶花朝节,https://www.xiaohongshu.com/explore/67e67bf1000000001b0389bc?xsec_token=ABMhYCRYrjokpKG2KBOLIu0tU15e1gnW8rnfwot8AKEHg=&xsec_source=pc_feed,63eb18ab00000000270373d1,https://sns-avatar-qc.xhscdn.com/avatar/643cf5a54ebc500001375ecc.jpg?imageView2/2/w/80/format/jpg,杭州吉祥里,浙江,编辑于 03-28,6,0,8,#祥符老街#来吉祥里逛花朝节#杭州旅游#绿城吉祥里 #陈喜悦
吉祥里-祥符老街,https://www.xiaohongshu.com/explore/66f12ea7000000001902f252?xsec_token=AB1Ni--NV7Cu28CeyYPvG0F3VF1sr7DStthhZxFQjUenE=&xsec_source=pc_feed,602daa1e000000000101ed4a,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30qdnt4b0g65g5o1dl8f0braacqmrt28?imageView2/2/w/80/format/jpg,大宋录影司,,编辑于 2024-12-,0,0,4,地方不是很大，周围的居民逛逛挺不错的#杭州 #拱墅区 #杭州citywalk #杭州周末去哪儿
100个优秀创意产业园案例｜杭州绿城吉祥里,https://www.xiaohongshu.com/explore/6721da730000000019016860?xsec_token=AB64ATEDRsFOa0YFC0J_dT6wehvi4edAvpZ7PdL2sWSF4=&xsec_source=pc_feed,651b8ef0000000002402fe5e,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo319hdsdk3ng405p8rhro95viub8p51l8?imageView2/2/w/80/format/jpg,米果集团七章公园,,编辑于 2024-10-,4,0,10,总体量:2.3万方愿景：“留住杭城的烟火气”的美好愿景	定位：将祥符桥历史保护建筑与河道景观融为一体，成为杭州拱墅区又一处文旅新地标业态：以“市井生活、艺文社交、潮趣大赏”三大业态，打造“日间文雅、夜间鲜潮”的品质生活场	五大功能空间 : 河 街 宿 社 养在这里有商业的消费场景、有民宿酒店的业态、有文化产业的落地、还有康养业态的引入，但更重要的是这里还有旧时杭州市井的味道。	在这充满江南格调的吉祥里，低矮的乌瓦黛墙枕水而建，老桥、粮仓等历史建筑保留着原有的样貌。	围坐在店门口烤火的商家、在祥符桥头拍照的舞蹈团、暖阳下磕着瓜子的周边居民……这些画面都是老底子杭州人最熟悉不过的。
祥符老街—绿城吉祥里,https://www.xiaohongshu.com/explore/67b1d095000000002503d52f?xsec_token=ABnVNssQBBG13ez9os06-W59ex5DbNsoYdvK8SoUu1XkM=&xsec_source=pc_feed,54917997b4c4d672a7e6a050,https://sns-avatar-qc.xhscdn.com/avatar/5d80e00a0832c40001259765.jpg?imageView2/2/w/80/format/jpg,Bubbles_oo0,,02-,1,0,1,📍2025.02.15赶了个晚集，毕竟一个年都没在杭州，晚上有滚灯舞+最新奇的英歌舞没拍照片～整条街的布置好看程度还是可以的，拍照片+吃饭还是不错的，亲子娱乐+闲逛的店铺偏少…但是活动办的还是很不错的～#好好过年大赏 #本地特色街区
杭州老城逆袭计划｜十三湾巷变身人文新地标,https://www.xiaohongshu.com/explore/67ff1d71000000001c017af2?xsec_token=ABStf14YDHyIZ0KuEkjlI2gtUT80KbRZksJd0GrabUEJk=&xsec_source=pc_feed,62b13f250000000019028a3a,https://sns-avatar-qc.xhscdn.com/avatar/62b13f250000000019028a3a.jpg?imageView2/2/w/80/format/jpg,goa大象设计,浙江,编辑于 04-16,468,35,532,"谁说老城只能活在记忆里？杭州中心区最宝藏的十三湾巷要大变身啦！这次更新要破解三大""城市病""👇🚗堵车+停车难？✅新增3处停车场+226个车位，联动周边升级共570个车位✅「20分钟步行圈」覆盖3个地铁站+46个公交站+45个小红车点✅屋顶农场使用权奖励绿色出行！骑车攒能量能换种菜资格🌱🛋️公共空间少？✅大量的街廊、外摆和「树梢街区」：聚餐、浪漫约会、看展露营、遛娃滑板✅老建筑屋顶变身「天空球场」：APP预约打球，节假日秒变市集✅静水厅永不落幕：脱口秀/越剧/话剧轮番上演的城市客厅✨设计师的三大魔法✅保留和恢复老城的尺度与密度，延续杭州老城小尺度、高密度的城市肌理✅四个等级的改造方案，确保老建筑安全适应新功能。用廊桥串联多个孤岛组团，屋顶到地库全打通✅青砖黛瓦配玻璃幕墙碰撞出建筑诗﻿#杭州文艺复兴﻿ ﻿#老城二次生长﻿ ﻿#十三湾巷预言家﻿ ﻿#在屋顶遇见杭州﻿ ﻿#citywalk在杭州﻿ ﻿#老城新生﻿ ﻿#杭州城市灵感﻿﻿﻿#十三湾巷剧透版﻿ ﻿#杭州城市更新﻿ ﻿#城市达人计划﻿﻿"
吉祥里：祥符老街城市更新中的烟火气！,https://www.xiaohongshu.com/explore/6777addf000000001301b2fa?xsec_token=ABANJpXGXvgpIWNobnSa9bqQrbOielZaz18_PbRC0dCx8=&xsec_source=pc_feed,62a80a4e000000001b029763,https://sns-avatar-qc.xhscdn.com/avatar/65adeb245bf2380001706844.jpg?imageView2/2/w/80/format/jpg,CS畅硕商业设计,,01-,5,0,8,吉祥里不仅保留了原有的历史风貌，更融入了现代元素，使之成为一个集茶、酒、故事于一体的文化街区。百年祥福桥、千年换塘河以及众多地堡建筑，如老茧行、老粮仓等，共同构成了吉祥里独特的城市更新内容基础。在业态引入上，吉祥里也充分尊重并延续了历史文化，使古老与现代在这里交相辉映。如果说城市更新的核心是内容产业的更新，那么吉祥里在有限的空间内，无疑将这一点发挥到了极致。在这里，你不仅可以品尝到传统的茶馆文化，还能感受到咖啡馆的现代气息。此外，吉祥里还巧妙地结合了室外露充场的设计，引入了新潮的滑板店、美术馆、网红书店等时尚元素，再加上丰富多样的餐饮美食，使得这条老街巷虽小却五脏俱全，满足了不同年龄层、不同兴趣爱好的人群需求。#商业设计 #商业 #街区设计 #城市更新#吉祥里#烟火气 #城市更新设计
2024-24 杭州祥符里历史文化街区方案文本,https://www.xiaohongshu.com/explore/66968d9500000000250052c1?xsec_token=ABoav2yEM_cE-nO0c-BKeo9rUUjZ_ucE_LVhtRWqIKBKc=&xsec_source=pc_feed,5c979bc2000000001003f757,https://sns-avatar-qc.xhscdn.com/avatar/5c979bc2000000001003f757.jpg?imageView2/2/w/80/format/jpg,营造学社,,2024-07-,51,3,49,🌟【杭州祥符里】穿越千年的市井繁华🌟🚀项目概况🚀祥符里，这座承载着杭州千年运河文化的街区，正以全新姿态迎接未来。位于京杭大运河畔，紧邻西湖与钱塘江，祥符里不仅是历史的见证者，更是现代都市生活的鲜活样本。🏙️🎨设计理念🎨我们的愿景，是让祥符里成为连接过去与未来的桥梁，留住杭城的烟火气。在这里，每一块青石板，每一座古桥，都在诉说着历史的故事，同时也融入了现代生活的节奏。📚💡设计亮点💡1️⃣ 漕运文化的活化石：祥符里保留了南宋以来的运河文化，让你仿佛穿越回那个繁忙的商贸时代，感受古桥、河水与老宅的韵味。2️⃣ 现代与历史的对话：我们在尊重历史肌理的基础上，注入现代设计元素，让传统与创新在这里碰撞，焕发出新的生命力。3️⃣ 生活美学的展现：无论是市井小巷还是文艺小店，祥符里都将是你探索杭州生活美学的最佳起点。📸快来祥符里，体验一次穿越千年的旅行吧！📸#景观设计  #建筑设计  #城市更新设计  #国风古韵  #规划设计  #历史街区  #历史街区设计
是谁还不知道祥符老街周末🈶花朝节,https://www.xiaohongshu.com/explore/67e67bf1000000001b0389bc?xsec_token=ABMhYCRYrjokpKG2KBOLIu0tU15e1gnW8rnfwot8AKEHg=&xsec_source=pc_feed,63eb18ab00000000270373d1,https://sns-avatar-qc.xhscdn.com/avatar/643cf5a54ebc500001375ecc.jpg?imageView2/2/w/80/format/jpg,杭州吉祥里,浙江,编辑于 03-28,6,0,8,#祥符老街#来吉祥里逛花朝节#杭州旅游#绿城吉祥里 #陈喜悦
