原词,大类,小类
翰墨书香,3,3
哀怨,5,3
惋惜,5,3
爱情故事,5,3
古老的故事,3,3
诗画,3,2
天青色,3,2
烟火气息,5,2
美感,5,2
黑瓦,3,2
烟雨江南,5,2
四季,3,1
诗意,5,3
古巷,3,2
意境,5,3
真江南,5,3
镜湖十里荷塘,3,1
秘境,3,1
曲水流觞,3,3
永和九年,3,3
犭茶湖,3,1
明代,3,2
白鹭,3,1
水波,3,1
河岸,3,1
百草园,3,2
三味书屋,3,2
水岸人家,3,2
历史气息,5,2
蕺坊桥,3,2
书法墙,3,2
86版西游记,3,3
岩壁石桥,3,2
立交桥,2,2
原住民,3,3
江南水乡生活,5,2
老街,3,2
绍兴特产,3,4
腊鸭,3,4
腊鱼,3,4
腐乳,3,4
年货,3,4
会稽山,3,1
古村落,3,2
自然生态环境,3,1
白墙墨瓦,3,2
明清建筑,3,2
祠堂,2,1
戏台,2,1
天井,3,2
古街,3,2
石巷,3,2
蔷薇花,3,1
凌霄花,3,1
酒店环境,2,1
人少景美,5,2
江南水乡韵味,3,2
文化体验,3,3
酱鸭,3,4
熏鱼,3,4
两岸人家,3,2
师爷博物馆,2,1
历史文化,3,3
清风第一廊,2,2
光线柔和,5,2
古建筑,3,2
江南韵味,5,2
腊味一条街,3,4
本地特色,3,4
传统酱园文化,3,3
人文摄影,4,1
本地人,5,2
夜景照片,4,1
小众,5,2
远离尘嚣,5,2
安静,5,2
祥和,5,2
满街,5,2
游客不多,5,2
走走停停,4,1
逛吃逛喝,4,1
最原始,3,2
夜游,4,1
台门人家,3,2
别有一番风味,5,2
热闹,5,2
市集,2,1
沿街,3,2
腊货,3,4
特有风景,3,1
乌篷,2,3
画中航,4,1
鱼鲞,3,4
梅干熟,3,4
白糖蚕豆香,3,4
安昌腊肠,3,4
印糕,3,4
水上婚礼,4,1
别具特色,3,3
绍兴师爷,3,3
北街进,2,2
南街出,2,1
周末假日,4,1
原始水乡,3,1
手工晒制,3,4
没有很商业,5,1
古老店铺,3,2
烟火气浓郁,5,2
酱鱼,3,4
裹粽子,3,4
灌腊肠,3,4
舂年糕,3,4
传统美食工艺,3,4
涂山廊,2,1
水阁桥,3,2
安昌古戏台,3,2
安昌文史馆,2,1
中国酱文化博物馆,2,1
石雕展览馆,2,1
绍兴师爷博物馆,2,1
老师傅,3,3
手滑脚摇,4,1
文人墨客,3,3
水巷,3,1
旧梦,5,3
少年闰土,5,3
黄酒小镇,3,5
酒香,3,4
石板桥,3,2
白墙黑瓦,3,2
江南风情,3,3
钗头凤,3,3
温柔梦境,5,3
阴雨天,5,2
打卡,4,1
机位,2,3
苦楝树,3,1
烟雨季,3,1
慢节奏,5,2
生活,5,2
桥下流水,3,1
屋前桐叶,3,1
竹筏,2,3
溪上人家,3,2
清风,3,1
秋千,2,3
水涟漪,3,1
前世今生,5,3
碑,3,2
陆游,3,3
唐婉,3,3
红酥手,3,4
黄藤酒,3,4
悲欢,5,3
水枕,2,3
梦里水乡,5,3
红灯,3,2
姻缘,3,3
西施,3,3
江南梦,5,3
低调,5,2
无骨的江南,5,3
有骨的江南,5,3
宝藏级,5,2
巧妙结合,5,3
小众秘境,3,1
流觞曲水,3,1
鹅池,3,1
冷清,5,2
被遗忘的江南水乡,5,2
飞翼楼,3,2
建筑鳞次栉比,3,2
绍兴博物馆,2,1
越王台,3,2
本地烟火气,5,2
流水,3,1
河岸边,3,1
香肠,3,4
生活气息,5,2
光泽,3,2
香料,3,4
雕琢,3,2
饱满圆润,5,2
肠衣,3,4
岁月沉淀,5,2
醇厚风味,3,4
鲜美,3,4
风中,5,2
晃动,4,1
故事,3,3
绍兴原汁原味,3,2
十年前的西塘,5,2
舌尖,3,4
安昌腊味,3,4
风味独特,3,4
色泽红亮,3,4
香甜,3,4
甜而不腻,3,4
淡淡酒香,3,4
松软,3,4
酱油制作,3,4
出片,5,2
水乡风情,3,1
平日60元/艘,2,3
绍兴烟火年味,5,2
安昌年味,3,3
酱鸭腊肠腊肉,3,4
临街而立,3,2
超有味道,5,2
古街小弄,3,2
酒旗飘,3,2
高楼大厦,3,2
汽笛声声,4,1
江南水乡特色,3,1
民居,3,2
摇橹声,3,1
烟火人间,5,2
时间暂停,5,3
魔法,5,3
旧时光,5,2
碧水,3,1
黄酒香,3,4
千年古镇,3,2
光阴,5,3
诗,5,3
屋檐角,3,2
云朵,3,1
黄酒坛,3,4
晾晒酱鸭,3,4
黄昏,3,1
次坞打面,3,4
鲁迅笔下,3,3
河道,3,1
古桥,3,2
手工酒酿,3,4
共享单车,2,3
雨具,2,3
古中带新,3,2
文化传承,3,3
一方水土,3,1
家族传承,3,3
地域熏陶,5,3
智慧,5,2
安昌人,3,3
小心翼翼,5,3
修缮,3,2
先辈,3,3
文化财富,3,3
天官第酱米工坊,2,1
工业旅游,4,1
酱制工艺,3,4
稻米制品工艺,3,4
文创园,2,1
VI视觉导视系统,2,3
新生,5,3
年轻感,5,2
亲切感,5,3
新时代,5,1
生长,3,1
原创设计,3,3
茶糕,3,4
青石板,3,2
慵懒,5,2
晨雾,3,1
老绍兴,3,5
三里长街,3,2
老手艺人,3,3
过度商业化,5,1
晒酱鸭,3,4
竹竿,2,3
木门,3,2
晒太阳的猫,5,2
春风,3,1
散策,4,1
慢慢,5,2
淳朴,5,2
制作,3,4
由来,3,3
酱油酿造,3,4
安昌香肠,3,4
酱鹌鹑,3,4
霉干菜,3,4
传统甜点,3,4
龙须糖,3,4
传统小吃,3,4
香糕,3,4
绿豆糕,3,4
桃花酥,3,4
小糕点,3,4
绍兴臭豆腐,3,4
酱鸭鱼干,3,4
小吃,3,4
绍兴黄酒,3,4
掰白糖,3,4
红灯笼,3,2
古色古香,3,2
河道贯穿,3,1
更年轻化,5,2
晨,5,2
原生,3,1
静谧,5,2
古朴,3,2
雕花窗棂,3,2
小河,3,1
船夫,4,1
摇橹,4,1
涟漪,3,1
老字号店铺,2,1
阳光,3,1
云层,3,1
暖意,5,2
老人,5,2
巷口,3,2
晒太阳,4,1
话家常,5,2
闲适,5,2
满足,5,2
美好,5,3
永恒,5,3
温暖人心,5,3
力量,5,3
流连忘返,5,3
人不多,5,2
天气先阴后晴,5,2
坐在河边发呆,4,1
看山看水,3,1
下午阳光,5,2
温暖,5,2
夜晚灯光,3,1
绚丽,5,2
不喧闹,5,2
清静,5,2
舒适,5,2
梦幻之境,5,3
夕阳,3,1
腊味年货,3,4
运河商埠,3,2
古镇年俗,3,3
混搭,3,2
蚕桑文化,3,3
财神信仰,3,3
蚕花庙会,3,3
选蚕花娘娘,3,3
抛洒蚕花,3,3
寓意蚕茧丰收,3,3
吃元宝茶,3,4
青橄榄泡绿茶,3,4
反向旅游,4,1
绍兴深度游,4,1
隐藏版,5,2
喧嚣,5,2
千年历史,3,2
古民居,3,2
小巷,3,2
传统的生活方式,5,2
河边洗衣服,4,1
门口晒太阳,5,2
生活节奏慢,5,2
城市的喧嚣,5,2
价格实惠,5,1
味道不大踩雷,5,2
商业化,5,1
鲁迅IP形象,3,3
早字,3,3
人少,5,2
个园,3,2
瘦西湖,3,1
明朝,3,2
明嘉靖年间,3,2
大户人家,3,2
老爷,3,3
厨子,2,1
猪下水,3,4
肉末,3,4
肉肠,3,4
街头巷尾,3,2
老百姓,5,2
过年,5,2
亲友,5,3
必备菜,3,4
岁岁团圆,5,3
酱香味,3,4
独特制作技艺,3,4
浙江省非遗传承基地,3,3
上百支硕大酱缸,3,4
零距离参观,4,1
晒酱制酱过程,3,4
工人开盖搅拌,4,1
古镇老街,3,2
国家地理,3,3
绍兴民俗风情,3,3
实惠,5,1
好吃,5,2
被遗忘,5,3
江南古镇,3,2
真实的绍兴,5,2
汉服,3,3
簪花,3,3
老爷爷的书店,2,1
墨池,3,2
躲婆巷,2,1
咏梅诗廊,3,3
题扇桥,3,2
古戏台,3,2
清风第1廊,2,2
米厂旧址,2,1
熏鸭,3,4
晒鱼干,3,4
西塘古镇,3,2
乌镇,3,5
西湖,3,1
断桥残雪,3,1
曲院风荷,3,1
苏提春晓,3,1
雷锋塔,3,2
三潭印月,3,1
宋城,3,2
兰亭序,3,3
崇仁古镇,3,2
天一阁,3,2
云和梯田,3,1
岩宕书屋,2,1
古堰画乡,3,2
应星楼,3,2
清风桥,3,2
沿河长廊,2,2
历史遗迹,3,2
舒适加透气,5,2
市井烟火气,5,2
枕水人家,3,2
桨声灯影,3,1
慢条斯理,5,2
日常生活,5,2
青砖绿瓦,3,2
乌蓬,2,3
真心,5,3
更适合,5,2
游玩,4,1
放松,5,2
韵味十足,5,2
小桥流水石皮弄,3,1
白墙黛瓦,3,2
船夫摇橹,4,1
老茶馆,2,1
腊肠酱鸭,3,4
空气,3,1
年的味道,5,3
亲民,5,2
制作扯白糖,3,4
传统手工艺,3,3
物超所值,5,2
春节,3,3
竹编,3,3
刺绣,3,3
匠心独运,5,3
舒适的平底鞋,2,3
金色的光辉,3,1
波纹,3,1
缓缓落下帷幕,5,2
时间缓慢,5,2
古朴典雅,3,2
活着的古镇,5,2
北宋,3,3
福禄万安如意,3,3
质朴,5,2
翻轩骑楼,3,2
台门弄堂,3,2
古桥石梁,3,2
风貌古朴,3,2
古镇寻宝,4,1
实景剧本杀,4,1
徒步定向,4,1
骑行,4,1
露营烧烤,4,1
趣味草坪游戏,4,1
真人CS,4,1
篝火晚会,4,1
换装剧本杀,4,1
山地越野车,4,1
趣味运动会,4,1
皮划艇,4,1
棒球大战,4,1
环岛骑行,4,1
松弛感,5,2
巷子,3,2
醉蟹,3,4
杭州地铁,2,1
住宿,2,1
书圣故里民宿,2,1
王羲之练字的水塘,3,2
动线,2,2
出片秘籍,5,2
鲁迅浓度,3,3
迅哥儿家,2,1
小松鼠,3,1
刻早字书桌,3,2
围栏,2,3
沈园夜游,4,1
宋韵水幕秀,3,3
必拍机位,4,1
黄酒墙,3,2
浅色系,3,2
三味书屋临河长廊,2,2
本帮菜,3,4
咸亨酒店,2,1
茴香豆,3,4
太雕奶茶,3,4
酒香冰淇淋,3,4
仓桥直街72号臭豆腐,3,4
甜面酱,3,4
书法浓度,3,3
王羲之洗笔的墨池,3,2
原住民晾的腊肠,3,4
墨池边的白墙书法投影,3,2
蕺坊桥洞网红书法墙,3,2
剪影,3,2
巷弄美食,3,4
河埠头饭店霉千张蒸肉饼,3,4
绘璟轩黄酒棒冰,3,4
断桥残雪款,3,2
水乡浓度,5,2
越剧,3,3
仁昌酱园晒场,2,1
百口酱缸,3,4
清风第一桥,3,2
灯笼,3,2
古镇限定,3,5
孝店王酒酿馒头夹梅干菜肉,3,4
柴火烧,3,4
血泪经验,5,3
名人故居,3,2
软底鞋,2,3
最佳拍摄时间,5,2
梅子熟透,3,1
临河茶馆,2,1
醉是江南,5,3
乌蓬夜游,4,1
凉风习习,5,2
悠悠乌篷船,2,3
柔波,3,1
船桨轻摇,4,1
涟漪泛起,3,1
场馆游园,2,1
灯火阑珊,5,2
温暖的灯光,5,2
古朴韵味,3,2
历史的长廊,3,2
展览,2,1
自然的空调房,3,1
心灵在历史的长河中遨游,5,3
商户联动,2,3
避暑美食之旅,3,4
冰镇饮品,2,3
凉茶,3,4
味蕾的极致宠溺,3,4
悠扬的箫声,3,3
夏日的燥热烟消云散,5,2
灯火通明的市集,5,2
夏日小确幸,5,3
久违的热闹,5,2
逃离酷热,5,2
红船,2,3
才子,3,3
佳人,5,3
新妇,3,3
凤冠霞帔,3,3
青碧婚服,3,4
河畔,3,1
玉立,3,2
鬓发如云,5,3
良人,5,3
拱手而立,4,1
聘汝为妇,5,3
永结同心,5,3
迎恩门风情水街,2,1
宋韵传统婚礼,3,3
近代怀旧婚礼,3,3
现代新中式婚礼,3,3
宋韵婚礼秀,4,1
江湖,3,1
蜿蜒曲折,3,1
打卡点,2,1
傍晚,5,2
金色,3,1
大片感,5,2
乡村,3,1
清新,5,2
田园,3,1
欢声笑语,5,2
美到爆,5,3
合欢花,3,1
水面,3,1
云彩,3,1
深山,3,1
村落,3,2
度假天堂,5,2
云雾缭绕,3,1
灯光璀璨,5,2
世外桃源,5,2
渔火,3,1
八卦风水,3,3
宁静与悠闲,5,2
历史的厚重,3,2
现代的轻松,5,2
风,3,1
古旧,3,2
烟火,5,2
光影,3,1
江南风骨,3,2
孩童,5,3
嬉笑,5,2
奔跑,4,1
希望,5,3
历史,3,3
诗章,3,3
脊梁,3,2
刚强,5,3
尘世喧嚣,5,2
岁月变迁,5,3
真江南韵致,5,2
震撼,5,3
成都版的清明上河图,3,5
雪山下的古城,3,1
汇江桥,3,2
古塔,3,2
雪山,3,1
广东会馆,2,1
岭南风格,3,2
天主堂,2,1
岁月斑驳,3,2
罗家大院,3,2
黄家大院,3,2
花椒鸭,3,4
叶儿粑,3,4
地方特色,3,3
孤独,5,3
累了,5,2
走走,4,1
梅干,3,4
白糖,3,4
蚕豆,3,4
年味浓厚,5,2
街巷,3,2
节日氛围,5,2
拍照打卡,4,1
水道,3,1
游船,4,1
社戏,4,1
美食推荐,3,4
过年的味道,5,2
青砖灰瓦,3,2
市井,5,2
弄堂,3,2
烟笼人家,3,2
画船听雨,4,1
行尽江南,5,3
古镇遗珠,3,5
岁月静好,5,2
文艺青年,5,3
复古建筑,3,2
文艺小店,2,1
历史与美景,3,2
文化名片,3,5
天然氧吧,3,1
文化地标,3,2
城市绿洲,3,1
标志性景点,3,2
江南水乡风貌,3,1
禅意,3,3
欧式建筑,3,2
英伦风情,3,3
历史文化公园,3,2
原生态,3,1
建筑,3,2
商业气息,5,1
风格明显,3,2
商业化水平不高,5,1
中西合璧,3,2
人少清静,5,2
夜游氛围,5,2
清明汉服文化周,3,3
冷门,5,1
明清原貌,3,2
适合发呆放空,5,2
村民浣衣做饭,4,1
八卦水系超独特,3,1
自然美景,3,1
文化底蕴,3,3
小舜江源头,3,1
清水摇篮,3,1
养生福地,3,3
山水画卷,3,1
生态之魂,3,1
舜文化,3,3
氛围,5,2
河里,3,1
风景,3,1
温柔乡,5,2
人间烟火,5,2
真实写照,5,3
古建筑群,3,2
民俗文化,3,3
自然风光,3,1
宁静氛围,5,2
人间,5,2
风土人情,3,3
盛会,4,1
集市,2,1
古村,3,2
诗和远方,5,3
宝藏,5,3
香火,3,3
海上丝路,3,3
红砖古厝,3,2
世遗,3,2
鱼灯,3,3
游神,3,3
中轴线,3,2
历史回响,5,3
红尘客栈,2,1
佛国,3,3
星河,3,1
渔舟唱晚,4,1
巅峰时刻,5,3
避世侗寨,3,2
原生态古村,3,2
海鲜市场,2,1
田园丰收,3,1
赛博朋克,3,3
霓虹,3,2
夜未央,5,2
清朝光绪18年,3,2
云上草原,3,1
竹海,3,1
大自然,3,1
黄酒品鉴,3,4
江南的慢生活,5,2
七彩小箬村,3,2
山地探险,4,1
海岛露营,4,1
天目湖,3,1
南山竹海,3,1
御水温泉,2,3
竹海骑行,4,1
温泉派对,4,1
天屿山,3,1
啤酒小镇,2,1
皮划艇比赛,4,1
湖边露营,4,1
黄金沙滩,3,1
裸心堡,2,1
剑池,3,1
碧坞龙潭,3,1
竹林瑜伽,4,1
山间烧烤,4,1
富春江,3,1
山水摄影,4,1
神之围楼,3,2
现实版,5,2
大鱼海棠,3,3
椿的家,2,1
博客楼,2,1
客家,3,3
第一镇,3,5
客家土楼,3,2
五凤楼,3,2
宫廷式门楼,3,2
标志性建筑,3,2
公交车,2,3
老店,2,1
街头,2,2
朋友,5,3
浓浓年味,5,2
历史的沉淀,3,2
浓浓的年味儿,5,2
食物的香气,5,2
幸福的味道,5,3
手工制品,3,4
地道小吃,3,4
儿时记忆,5,3
糯米糕,3,4
软糯香甜,3,4
年味儿,5,2
红红火火,5,2
喜庆氛围,5,2
市井生活,5,2
水上市场,2,1
宁静与喧嚣交织,5,2
黄酒咖啡,3,4
绍兴农家菜,3,4
寻味之旅,4,1
历史遗存景观,3,2
景美,5,2
质朴生活气息,5,2
古街石桥流水,3,1
水乡画卷,3,1
腊肠晾晒区,3,4
独特风景,3,1
地道安昌腊肠,3,4
传统酱文化,3,3
空气中弥漫的酱香,3,4
当地文化特色,3,3
安昌糕点,3,4
棒冰,3,4
梅干菜烧肉,3,4
千年古桥,3,2
遗世明珠,5,3
历史建筑,3,2
人文古迹,3,2
峭壁深渊,3,1
碧潭岩影,3,1
水上古纤道,3,1
书圣王羲之,3,3
故乡,5,3
古代版,3,2
水上立交桥,3,2
巷道深深,3,2
前街后河,3,1
江南水乡气息,5,2
东方威尼斯,3,5
课桌,2,1
课本墙,3,2
高老太奶油小攀,3,4
越香王老汉臭豆腐,3,4
墨池秘境,3,1
老爷爷书店,2,1
竹椅报纸墙,2,3
躲婆弄,3,2
书法团扇,3,4
活态博物馆,3,2
宋韵美学,3,3
陆游手植古藤,3,2
黄酒博物馆,2,1
DIY酒坛手绘,4,1
书圣故里临水民宿,2,2
青瓷色,3,2
春雨,3,1
古镇氛围感,5,2
唐宋明清时期风格建筑,3,2
伞巷听雨屋,2,1
江南诗意,5,2
静谧美好,5,2
赏花,4,1
海棠花,3,1
紫藤,3,1
百丈连廊,2,1
樱花,3,1
北更楼,3,2
蔷薇,3,1
蜡烛街,3,2
木香,3,1
瓦舍说书,3,3
北廊桥,3,2
倒影水中月,3,1
月亮同框,3,1
四个月亮,3,2
听雨屋,2,1
江南古镇雨天幻想,5,3
淅淅沥沥雨声,3,1
福善塔,3,2
登高望远,4,1
电梯,2,3
俯拍古镇全貌,4,1
紫藤花瀑布,3,1
拍照好看,5,2
古老,3,2
新年,5,2
喜悦,5,3
盼望,5,3
墙壁,3,2
温馨,5,2
斗笠,3,4
小调,3,3
悠然自得,5,2
浓郁,5,2
幸福感,5,3
情怀,5,3
传承,3,3
忙碌,5,2
低语,5,3
回响,5,3
乡愁,5,3
商业化程度不高,5,1
明清古建筑,3,2
西河口水街,3,2
古桥梁,3,2
羊肉面,3,4
湖羊,3,4
梅花糕,3,4
拍照打卡点,2,3
古建筑小巷,3,2
岁月痕迹,3,2
小船游览,4,1
历史底蕴,3,3
水网密布,3,1
舟楫便利,3,1
浙北小上海,3,5
江南明珠,3,5
道教文化,3,3
三潭九井十八块,3,2
奇幻格局,3,2
道家理念,3,3
青砖,3,2
侠客,3,3
先贤,3,3
千年小上海,3,5
江南百老汇,3,5
京杭大运河,3,1
水为脉络,3,1
临水茶座,2,2
手摇船,4,1
玲阿娘梅花糕,3,4
新市茶糕,3,4
鸭绞面,3,4
汤包,3,4
粢饭团,3,4
烧麦,3,4
麦芽圆子,3,4
细沙羊尾,3,4
汉服旅拍,4,1
运河旅拍,4,1
古韵游船,4,1
浪漫夜游,4,1
古典之美,3,2
古运河,3,1
石头阶梯,3,2
编织小玩意,4,1
茶室橘猫,2,1
免费展馆,2,3
蚕文化馆,2,1
新市文史馆,2,1
驾仙桥,3,2
吃喝玩乐,3,4
元松羊肉店,3,4
真传茶糕,3,4
仙潭老汤面馆,2,1
夜间灯光秀,4,1
新旧交融,3,2
古镇风貌,3,2
古今业态,2,1
文化特色地标,3,3
多元主体参与,5,1
时光凸透镜,5,2
文化意象,3,3
慢行疗愈生活,5,2
连接古今,3,3
穿越时空,5,3
居游共存,5,2
低花费,5,1
轻度假,5,2
活着的水乡,5,2
碧绿的河道,3,1
千年古刹,3,2
水街,2,2
明清的石桥,3,2
旧旧的石板路,3,2
河边茶馆,2,1
小店,2,1
溪边浣衣,4,1
屋檐下听戏,4,1
安静的生活,5,2
简单的生活,5,2
自然的生活,5,2
记忆中的水乡,5,3
外婆家,2,1
靠街楼,3,2
石库门,3,2
河埠,3,1
匠心之作,5,3
酥羊大面,3,4
古镇场景,3,2
精致,5,2
古典,3,2
凝眸,5,3
画一样,5,2
开心,5,3
拍摄经历,4,1
白墙灰瓦,3,2
古韵,4,1
现代质朴,5,2
内敛简洁,5,2
格调韵味,5,2
清纯,5,3
从容,5,2
环境清幽,5,2
古树参天,3,1
明清时期古建筑,3,2
造型古朴典雅,3,2
古镇美景,3,1
新市羊肉,3,4
红烧做法,3,4
肉质鲜嫩,3,4
肥而不腻,3,4
外皮软糯,3,4
肉馅鲜美多汁,3,4
外皮酥脆,3,4
内馅软糯香甜,3,4
南泉古镇文化意象,3,5
清丽婉约,5,2
古朴浪漫,5,2
民俗风情,3,3
现代时尚文化,3,3
洁化,5,1
艺术化,5,2
色彩,3,2
高品质设计材料,2,3
现代化视觉,5,2
古老之胜,3,2
水乡之美,3,1
河边,3,1
沈铨故居,2,1
明清直街,3,2
香樟,3,1
墨香,3,3
京杭运河,3,1
人家,3,2
诗意江南,5,3
西河口明清古街,3,2
木质阁楼,3,2
廊桥,3,2
时空交错感,5,3
建制历史,3,2
仙潭老汤茶糕,3,4
青砖古巷,3,2
闲暇,5,2
春日暖阳,3,1
微风,3,1
小上海,3,5
水乡风貌,3,1
茶糕制作,3,4
上等糯米,3,4
石磨,3,2
瘦肉,3,4
酱油,3,4
调料,3,4
糯而不黏,3,4
咸香,3,4
微甜,3,4
回味无穷,5,3
特色午餐,3,4
规模小巧,3,2
商业气息淡薄,5,1
旧时风貌,3,2
居民笑语,5,2
宁静惬意,5,2
明清至民国初年,3,2
临水民居,3,2
温婉韵味,5,2
人才辈出,3,3
钟兆琳故居,3,2
中国电机之父,3,3
工笔花鸟,3,3
宫廷画师,3,3
舶来画家第一,3,3
日本江户时代,3,3
东晋,3,3
清末,3,2
庵堂,2,1
唐代始建,3,2
大雄宝殿,3,2
七宝池,3,1
雨不满,5,2
旱不涸,3,1
接凡桥,3,2
雌雄石狮,3,2
泛黄旧影,5,3
檐角铜铃,3,2
未解之谜,5,3
运河商船,2,3
古老传说,3,3
画楼,3,2
碧绿茶汤,3,4
往事,5,3
千年,3,2
古韵悠悠,5,2
历史韵味,3,2
宝藏小城,5,2
水乡古镇,3,2
河道纵横,3,1
韵味,5,2
沧海遗珠,5,3
步行,4,1
茶室,2,1
