目标词,匹配词,相似度,是否匹配
手摇船体验,4,0.795,TRUE
扎染体验,4,0.718,FALSE
乌镇民宿,2,0.896,TRUE
民宿1.5米临水大床,2,0.626,FALSE
开盲盒,4,0.546,FALSE
临水房,2,0.849,TRUE
民宿套票,2,0.691,FALSE
两天大部分活动,4,0.489,FALSE
入住西栅景区,2,0.759,TRUE
民宿提供的早餐,2,0.574,FALSE
早茶客市集,2,0.831,TRUE
新市,3,0.882,TRUE
历史感,5,0.934,TRUE
沉浸场景,5,0.815,TRUE
内容体验,5,0.685,FALSE
运营能力,5,0.668,FALSE
服务质量,5,0.527,FALSE
怀旧情结,5,0.842,TRUE
情绪,5,0.663,FALSE
审美价值,5,0.77,TRUE
文化财富,3,1,TRUE
古镇原貌,3,0.949,TRUE
童年的梦,5,1,TRUE
水乡韵味,5,0.79,TRUE
枕水人家,3,0.93,TRUE
青旅,2,0.909,TRUE
经济型酒店,2,0.614,FALSE
茅盾故居,3,0.918,TRUE
木心故居纪念馆,3,0.835,TRUE
百床馆,2,0.844,TRUE
西栅大剧院,2,0.822,TRUE
草木本色染坊,3,0.798,TRUE
摇橹船,2,0.954,TRUE
当地居民,5,0.844,TRUE
生活气息,5,1,TRUE
羊肉面,3,0.839,TRUE
吴妈馄饨,3,0.849,TRUE
定胜糕,3,1,TRUE
乌镇酱鸭,3,0.962,TRUE
萝卜丝饼,3,0.908,TRUE
白水鱼,3,0.839,TRUE
三白酒,3,0.865,TRUE
汉服,3,0.933,TRUE
旗袍,3,0.885,TRUE
传统水乡早餐文化,3,0.747,TRUE
氛围感,5,0.75,TRUE
世外桃源,5,0.849,TRUE
静谧,5,0.779,TRUE
水面,3,1,TRUE
建筑形式,3,0.816,TRUE
空间形态,2,0.7,FALSE
基本元素,3,0.676,FALSE
建筑尺度,3,0.73,TRUE
色彩关系,3,0.706,FALSE
多层次,5,0.65,FALSE
半透明,3,0.752,TRUE
传统空间再造,3,0.617,FALSE
场所精神,5,0.807,TRUE
空间韵味,3,0.742,TRUE
极简审美,3,0.868,TRUE
宁静,5,0.879,TRUE
意趣,5,0.868,TRUE
构造,3,0.949,TRUE
色彩,3,0.734,TRUE
单体建筑,2,0.829,TRUE
构型特征,3,0.9,TRUE
姐妹,5,0.725,TRUE
旅游,4,0.811,TRUE
闺蜜写真,4,0.707,FALSE
网红妆造,4,0.766,TRUE
民国双生花,3,0.838,TRUE
菠萝头垃圾桶,2,0.572,FALSE
秀气,3,0.883,TRUE
漂亮,5,0.907,TRUE
真江南,5,0.965,TRUE
早茶,2,0.921,TRUE
戏曲,3,0.936,TRUE
大爷大娘,5,0.896,TRUE
水上集市,2,0.88,TRUE
市井烟火,5,0.94,TRUE
闲情雅趣,5,0.889,TRUE
街头巷尾,3,1,TRUE
街弄堂,3,0.957,TRUE
江南画卷,3,0.947,TRUE
灯光,3,0.939,TRUE
流光溢彩,3,0.883,TRUE
灯笼,3,0.848,TRUE
深夜羊肉面,3,0.807,TRUE
打更声,3,0.894,TRUE
茅盾,3,0.941,TRUE
木心,3,0.925,TRUE
从前慢,5,0.811,TRUE
钟灵俊秀,3,0.867,TRUE
文人荟萃,3,0.846,TRUE
戏剧幻城,3,0.808,TRUE
乌托邦,5,0.803,TRUE
雨绵绵,3,0.922,TRUE
船慢慢,4,0.844,TRUE
时光静静,5,0.819,TRUE
行程,4,0.78,TRUE
交通,5,0.804,TRUE
美食,3,0.98,TRUE
避坑,5,0.772,TRUE
沿途,4,0.764,TRUE
免费的停车场,2,0.769,TRUE
沿河,3,0.983,TRUE
一条街,2,0.897,TRUE
很长,5,0.753,TRUE
商业,5,0.824,TRUE
原居民,3,0.905,TRUE
卖酒的老宅,2,0.768,TRUE
居民的老宅,3,0.958,TRUE
网红拍照打卡点,2,0.838,TRUE
小长假,5,0.804,TRUE
人也不多,5,0.943,TRUE
拍照打卡不用排队,5,0.523,FALSE
木心先生,3,0.774,TRUE
素履之往,5,0.872,TRUE
绝,5,0.948,TRUE
潇洒,5,0.906,TRUE
通透,3,0.933,TRUE
幽默,5,0.651,FALSE
利落,5,0.945,TRUE
易读,5,0.707,FALSE
易懂,5,0.863,TRUE
灵感,5,0.807,TRUE
观察,5,0.807,TRUE
思考,5,0.798,TRUE
内心丰富,5,0.733,TRUE
不执着,5,0.91,TRUE
锵锵三人行,4,0.89,TRUE
圆桌派,2,0.927,TRUE
粉丝,3,0.704,FALSE
安静,5,0.818,TRUE
清静,5,0.785,TRUE
导游,4,0.802,TRUE
春日风景,3,0.919,TRUE
穿搭,5,0.687,FALSE
西栅游客中心,2,0.663,FALSE
白莲塔河,3,0.878,TRUE
风景,3,0.93,TRUE
故事,3,0.836,TRUE
慢时光,5,0.779,TRUE
活着的古镇,5,0.94,TRUE
原生态的生活区,5,0.805,TRUE
江南百床馆,3,0.87,TRUE
宏源泰染坊,3,0.894,TRUE
蓝印花布,3,0.767,TRUE
姑嫂饼,3,0.797,TRUE
红烧羊肉,3,0.823,TRUE
民国时代餐厅,2,0.826,TRUE
本帮菜,3,0.896,TRUE
特色民宿,2,0.758,TRUE
林家客栈,2,0.864,TRUE
明清建筑格局,3,0.838,TRUE
水巷青年旅舍,2,0.666,FALSE
临水客栈,2,0.785,TRUE
通安客栈,2,0.833,TRUE
枕水而眠,5,0.751,TRUE
晨暮之美,5,0.818,TRUE
西栅夜景,3,0.822,TRUE
薄雾中的石拱桥,3,0.731,TRUE
早起的居民,5,0.628,FALSE
独特体验,5,0.914,TRUE
最佳季节,5,0.79,TRUE
春暖花开,3,0.778,TRUE
秋高气爽,5,0.861,TRUE
乌镇夜游,4,0.737,TRUE
漫步乌镇,4,0.783,TRUE
岁月回响,5,0.815,TRUE
茶馆,2,0.881,TRUE
慢生活,5,0.783,TRUE
江南的故事,5,0.902,TRUE
千年的时光对话,5,0.767,TRUE
水墨江南,3,0.963,TRUE
晨雾,3,0.811,TRUE
灯火,5,0.948,TRUE
机位,2,0.751,TRUE
电影级,5,0.843,TRUE
诗意,5,0.981,TRUE
通安桥,3,0.98,TRUE
晨曦剪影,3,0.919,TRUE
拱桥,3,0.968,TRUE
雨读桥,3,0.775,TRUE
对称江南,3,0.946,TRUE
青瓦白墙,3,0.957,TRUE
流水,3,0.939,TRUE
油纸伞,3,1,TRUE
灯火阑珊,5,1,TRUE
夜拍,4,0.746,TRUE
蓝调时刻,5,0.754,TRUE
全景,3,0.903,TRUE
运河,3,1,TRUE
塔,3,0.927,TRUE
桥里桥,3,0.982,TRUE
茶楼,2,0.884,TRUE
人间烟火,5,1,TRUE
竹帘,3,0.808,TRUE
老茶馆,2,0.746,TRUE
炊烟,5,0.807,TRUE
浣衣,3,0.941,TRUE
乌篷船,2,0.948,TRUE
移动机位,4,0.609,FALSE
草木染坊,2,0.81,TRUE
故事感,5,0.706,FALSE
好拍,5,0.902,TRUE
古风写真,4,0.866,TRUE
满意,5,0.841,TRUE
开心,5,0.895,TRUE
诗情画意,5,0.948,TRUE
交通建议,5,0.83,TRUE
平均温度,5,0.604,FALSE
浅色素色半裙,3,0.761,TRUE
偏中式饰品,3,0.751,TRUE
手串,3,0.84,TRUE
发簪,3,0.924,TRUE
高铁桐乡站,2,0.862,TRUE
公交K282,2,0.51,FALSE
自驾,4,0.623,FALSE
乌镇西栅一号游客中心,2,0.671,FALSE
停车场,2,0.89,TRUE
河道北侧主街,2,0.691,FALSE
南岸街道,2,0.826,TRUE
惊喜,5,0.65,FALSE
晨曦,3,0.929,TRUE
剪影,5,0.821,TRUE
黛瓦,3,0.929,TRUE
青瓦,3,0.847,TRUE
白墙,3,0.956,TRUE
马头墙,3,0.864,TRUE
citywalk,4,0.703,FALSE
乌镇大剧院,2,0.835,TRUE
三寸金莲馆,3,0.775,TRUE
乌镇评书场,2,0.786,TRUE
乌镇水剧场,2,0.758,TRUE
乌将军庙,3,0.89,TRUE
女红街,2,0.784,TRUE
茅盾纪念堂,2,0.793,TRUE
乌镇水上集市,2,0.75,TRUE
景点美食地图,3,0.742,TRUE
旅行地图,2,0.788,TRUE
打卡,4,0.688,FALSE
亲子,4,0.825,TRUE
情侣,5,0.722,TRUE
江南园林,3,0.86,TRUE
千年历史,3,1,TRUE
特色商铺,2,0.779,TRUE
楚门的世界,5,0.765,TRUE
住一晚,4,0.658,FALSE
体验感,5,0.908,TRUE
慢悠悠,5,0.9,TRUE
感受,5,0.742,TRUE
江南,3,1,TRUE
惬意,5,1,TRUE
大型剧本杀,4,0.608,FALSE
水位,3,0.941,TRUE
颜色,3,0.756,TRUE
商业水平不高,5,1,TRUE
墨色生香,3,0.896,TRUE
温柔,5,0.876,TRUE
草木本色染房,2,0.745,TRUE
喜庆堂,2,0.872,TRUE
张恒兴灯笼铺,2,0.902,TRUE
古代婚礼用具,3,0.859,TRUE
弄堂拍照,4,0.962,TRUE
DIY花灯,4,0.775,TRUE
年货夜酒市集,4,0.685,FALSE
自助早茶,2,0.896,TRUE
诗意与哲学,5,0.831,TRUE
画作,3,0.961,TRUE
文学作品,3,0.81,TRUE
宝藏小众村落,3,0.799,TRUE
精致装饰,3,0.832,TRUE
古镇烟火气,5,0.911,TRUE
河道,3,1,TRUE
石板路,3,1,TRUE
木质老屋,3,0.894,TRUE
水墨丹青,3,0.925,TRUE
温婉,5,0.889,TRUE
灵秀,3,0.9,TRUE
烟火人间,5,0.96,TRUE
人文气息,5,0.807,TRUE
文化底蕴,3,0.962,TRUE
竹编木雕工艺,3,0.854,TRUE
越剧,3,0.906,TRUE
唱腔,3,0.859,TRUE
水袖,3,0.666,FALSE
古韵,3,1,TRUE
民宿,2,0.76,TRUE
客栈,2,0.861,TRUE
清蒸白水鱼,3,0.935,TRUE
美景,5,0.864,TRUE
天气,5,0.822,TRUE
温度,5,0.759,TRUE
苏杭,3,0.955,TRUE
性价比,5,0.577,FALSE
原生态水乡风貌,3,0.803,TRUE
南栅北栅,3,0.784,TRUE
肉质鲜嫩,3,0.91,TRUE
汤头鲜美,3,0.901,TRUE
皮薄馅大,3,0.818,TRUE
汤鲜味美,3,0.832,TRUE
口感软糯,3,0.881,TRUE
甜而不腻,3,0.878,TRUE
人间四月天,5,0.693,FALSE
踏青出游,4,0.813,TRUE
江南美学,3,0.914,TRUE
香市,3,0.962,TRUE
江南水乡狂欢节,4,0.748,TRUE
好好生活节,4,0.731,TRUE
赏花,4,1,TRUE
看演出,4,0.72,FALSE
春日氛围,5,0.905,TRUE
打卡点,4,0.75,TRUE
三孔桥,3,0.917,TRUE
古镇全景,3,0.926,TRUE
蚕花仙子,3,1,TRUE
水上巡游,4,0.777,TRUE
油菜花海,3,1,TRUE
花田市集,2,0.848,TRUE
咖啡馆,2,0.776,TRUE
风中飘来阵阵花香,3,0.746,TRUE
文艺青年,5,0.65,FALSE
网红打卡点,2,0.811,TRUE
情景剧,4,0.861,TRUE
避世小村庄,5,0.798,TRUE
萌宠,2,0.877,TRUE
采摘,4,0.78,TRUE
水上和陆上巡游,4,0.772,TRUE
杂耍,4,0.781,TRUE
春花田埂趣野集,4,0.649,FALSE
后街酒家野火饭,3,0.861,TRUE
容易钟情热酒馆,2,0.728,TRUE
小酌一杯,2,0.815,TRUE
古镇夜景,3,0.975,TRUE
春水,3,0.864,TRUE
青石板,3,1,TRUE
橹声,3,1,TRUE
木格窗,3,0.921,TRUE
雨,3,0.833,TRUE
廊棚,3,0.855,TRUE
明前龙井,3,0.85,TRUE
绣娘,3,0.913,TRUE
丝线,3,0.668,FALSE
文昌阁,3,0.925,TRUE
飞檐,3,0.931,TRUE
水墨残卷,3,0.83,TRUE
中学时代,5,0.649,FALSE
烟雨入江南,3,0.925,TRUE
山水如墨染,3,0.9,TRUE
水乡,3,1,TRUE
青石路,3,0.9,TRUE
小桥,3,1,TRUE
石凳,2,0.772,TRUE
西塘古镇,3,1,TRUE
酒吧,2,0.679,FALSE
热闹,5,0.918,TRUE
精致园林,3,0.757,TRUE
离杭州近,5,0.867,TRUE
头牌名片,3,0.891,TRUE
风土人情,3,0.936,TRUE
民风民俗,3,0.897,TRUE
幽静,5,0.755,TRUE
人少,5,0.881,TRUE
配套设施,2,0.669,FALSE
历史气息,5,0.935,TRUE
古老年代,3,0.895,TRUE
明朝,3,0.786,TRUE
历史厚重感,5,0.975,TRUE
水乡人情风俗,3,0.935,TRUE
百间楼,3,0.705,FALSE
古建筑,3,1,TRUE
园林布局,3,0.676,FALSE
中国传统文化,3,0.857,TRUE
博大精深,3,0.881,TRUE
温柔与雅致,5,0.821,TRUE
水,3,1,TRUE
桥,3,0.975,TRUE
游玩,4,0.73,TRUE
木心美术管,2,0.821,TRUE
月老庙,3,0.863,TRUE
张恒兴花灯铺,2,0.88,TRUE
三寸金莲管,3,0.703,FALSE
大竹编,3,0.897,TRUE
酒吧街,2,0.743,TRUE
锦记糕点铺,3,0.966,TRUE
锦记酱鸭,3,0.983,TRUE
通济酱粽,3,0.917,TRUE
滋啦啦油煎铺,3,0.88,TRUE
默默的家,2,0.752,TRUE
夜游,4,0.725,TRUE
水巷,3,1,TRUE
梦华录,5,0.927,TRUE
傍晚,5,0.965,TRUE
光影,3,0.839,TRUE
极简设计,3,0.862,TRUE
艺术展览,2,0.882,TRUE
旋转楼梯,2,0.789,TRUE
落地窗,2,0.904,TRUE
手写明信片,2,0.649,FALSE
复古感,3,0.867,TRUE
文学巨匠,3,0.797,TRUE
皮影戏,3,0.908,TRUE
高杆船表演,4,0.846,TRUE
非遗文化,3,0.897,TRUE
老街,3,0.931,TRUE
手工酱,3,0.934,TRUE
江南早茶,3,0.864,TRUE
蟹黄汤包,3,0.804,TRUE
羊肉,3,0.786,TRUE
汤头,3,0.968,TRUE
本地人,5,0.817,TRUE
江浙菜,3,0.91,TRUE
酱鸭,3,1,TRUE
复古,3,0.918,TRUE
石桥流水,3,0.947,TRUE
碧螺春,3,0.908,TRUE
似水年华,5,0.88,TRUE
文艺感,5,0.879,TRUE
昭明书舍,2,0.917,TRUE
古风书院,3,0.891,TRUE
含早茶客,2,0.841,TRUE
益大丝业会馆,2,0.795,TRUE
丝绸主题,3,0.722,TRUE
私密庭院,2,0.732,TRUE
景区内民宿,2,0.717,FALSE
景区外民宿,2,0.671,FALSE
学生党,5,0.616,FALSE
穿搭建议,5,0.574,FALSE
汉服节,4,0.782,TRUE
避开人流,4,0.647,FALSE
傍晚5点后,5,0.765,TRUE
游客少,5,0.959,TRUE
光线柔和,5,1,TRUE
水舞秀,4,0.869,TRUE
雨天玩法,4,0.652,FALSE
烟雨朦胧,3,0.927,TRUE
临河咖啡馆,2,0.787,TRUE
古镇姑娘,5,0.752,TRUE
茅盾纪念馆,2,0.826,TRUE
活动,4,0.771,TRUE
小摊,2,0.885,TRUE
灵水街泥炉暖锅,3,0.824,TRUE
湖羊肉,3,0.834,TRUE
冬夜围炉诗会,4,0.691,FALSE
诗,5,1,TRUE
雪,3,0.915,TRUE
浪漫,5,0.7,FALSE
早上,5,0.802,TRUE
朦胧,5,0.887,TRUE
知青咖啡馆,2,0.817,TRUE
公交281路,2,0.586,FALSE
住宿,2,0.827,TRUE
堤上,3,0.847,TRUE
接驳车,2,0.71,FALSE
氛围,5,0.748,TRUE
寂静,5,0.722,TRUE
小巷,3,0.938,TRUE
清晨,5,0.83,TRUE
石板桥,3,1,TRUE
西市河,3,0.897,TRUE
悠久历史,3,0.905,TRUE
春花田梗,3,0.84,TRUE
染坊,3,0.924,TRUE
早茶客文化,3,0.984,TRUE
老爷爷,5,0.859,TRUE
老奶奶,5,0.735,TRUE
非遗技术,3,0.769,TRUE
油菜花,3,0.875,TRUE
听风阁,2,0.814,TRUE
市集,2,0.782,TRUE
花伴旅咖屋,2,0.744,TRUE
咖啡,2,0.958,TRUE
梅花,3,0.952,TRUE
小猪快跑,4,0.641,FALSE
特色美食,3,0.967,TRUE
热酒馆,2,0.844,TRUE
饮品,2,0.897,TRUE
锦堂酒店,2,0.747,TRUE
油菜花田,3,0.94,TRUE
颂钵疗愈,4,0.766,TRUE
调香室,2,0.844,TRUE
西栅大街,3,0.894,TRUE
情景戏剧表演,4,0.761,TRUE
独创集市,2,0.731,TRUE
梅雨季节,3,0.886,TRUE
江南古镇,3,0.954,TRUE
下雨天,5,0.914,TRUE
建筑设计,3,0.794,TRUE
江南小桥流水,3,0.846,TRUE
古味,3,0.942,TRUE
古风人像,5,0.836,TRUE
取景地,2,0.877,TRUE
江南的甜点,3,0.896,TRUE
窗外美景,3,0.887,TRUE
拍照,4,1,TRUE
节目表演,4,0.746,TRUE
游船,2,0.897,TRUE
書生羊肉面,3,0.767,TRUE
乌镇萝卜丝饼,3,0.938,TRUE
舌尖葱包烩,3,0.903,TRUE
舒适的鞋子,5,0.918,TRUE
西湖,3,1,TRUE
烟花三月,5,0.698,FALSE
柳树,3,0.95,TRUE
翠绿,3,0.938,TRUE
桃花,3,0.923,TRUE
盛开,3,0.941,TRUE
摇撸船,2,0.873,TRUE
碧波荡漾,3,0.849,TRUE
古诗词,3,0.91,TRUE
清明,3,0.952,TRUE
五一,4,0.78,TRUE
踏春,4,0.757,TRUE
鸡尾酒,3,0.96,TRUE
树屋,2,0.829,TRUE
田园生活,5,0.858,TRUE
暖锅,3,0.882,TRUE
锦堂行馆,2,0.867,TRUE
运河堤,3,0.918,TRUE
春风集,5,0.93,TRUE
互动,4,0.719,FALSE
演出,4,0.815,TRUE
疗愈体验,5,0.62,FALSE
香市节,3,0.885,TRUE
杂耍游艺,4,0.747,TRUE
百戏杂陈,3,0.807,TRUE
乌镇景点美食地图,3,0.711,FALSE
打卡景点,4,0.702,FALSE
路线,4,0.69,FALSE
烟柳繁华之地,3,0.853,TRUE
诗书之乡,3,0.913,TRUE
深度游路线,4,0.671,FALSE
石桥橹影,3,0.933,TRUE
时间,5,0.803,TRUE
波光,3,0.809,TRUE
生活,5,0.896,TRUE
巷弄,3,0.979,TRUE
脚步,5,0.889,TRUE
青苔,3,0.794,TRUE
对称构图,3,0.798,TRUE
桥洞,3,0.957,TRUE
倒影,3,0.834,TRUE
水墨画,3,0.795,TRUE
江南梦,5,0.924,TRUE
青砖黛瓦,3,1,TRUE
美好,5,0.925,TRUE
远离,5,0.846,TRUE
城市喧嚣,5,0.847,TRUE
真正,5,0.868,TRUE
萧邦特展,3,0.834,TRUE
钢琴,2,0.523,FALSE
艺术,3,0.978,TRUE
全员NPC,4,0.523,FALSE
假古镇,3,0.804,TRUE
乌墩,3,0.901,TRUE
江浙沪金三角,3,0.949,TRUE
杭嘉湖平原,3,0.865,TRUE
太湖流域,3,0.938,TRUE
河流,3,0.981,TRUE
京杭大运河,3,0.99,TRUE
1300年建镇史,3,0.786,TRUE
江南水乡古镇,3,0.898,TRUE
中国历史文化名镇,3,0.825,TRUE
鱼米之乡,3,0.779,TRUE
丝绸之府,3,0.779,TRUE
诗集,3,0.973,TRUE
眷恋,5,0.931,TRUE
春光,3,0.892,TRUE
粉墙黛瓦,3,0.939,TRUE
古桥,3,0.98,TRUE
望津堤,3,0.877,TRUE
美食市集,3,0.806,TRUE
演艺,4,0.798,TRUE
码头,2,0.832,TRUE
乐队,4,0.676,FALSE
河畔观影,4,0.935,TRUE
蓝布,3,0.938,TRUE
传统工艺,3,0.914,TRUE
小动物乐园,2,0.726,TRUE
春季限定饮品,3,0.652,FALSE
堤上度假酒店,2,0.747,TRUE
水乡园林美景,3,0.881,TRUE
景区厕所,2,0.603,FALSE
充电宝休息区,2,0.68,FALSE
旅行体验,5,0.719,FALSE
背景,3,0.701,FALSE
景观,3,0.869,TRUE
商业化,5,0.774,TRUE
特色民俗文创,3,0.854,TRUE
千年古镇,3,1,TRUE
历史,3,1,TRUE
古建筑群,3,0.987,TRUE
明清时期风貌,3,0.878,TRUE
河成街,3,0.877,TRUE
河埠廊坊,3,0.938,TRUE
深宅大院,3,0.767,TRUE
烟火气息,5,0.974,TRUE
廊棚古弄建筑,3,0.842,TRUE
水质清澈,3,0.773,TRUE
雕梁画栋,3,0.792,TRUE
石巷老屋木墙黑瓦,3,0.827,TRUE
灯光秀,4,0.901,TRUE
酒吧街文化,3,0.739,TRUE
灯笼高挂,3,0.85,TRUE
风韵,3,0.986,TRUE
春不晚,5,0.867,TRUE
圆梦,5,0.934,TRUE
老邮局,2,0.669,FALSE
复古氛围,5,0.862,TRUE
明信片,2,0.792,TRUE
扎染技艺,3,0.864,TRUE
落日余晖,3,0.93,TRUE
文学爱好者,5,0.65,FALSE
皮影戏馆,2,0.869,TRUE
浅色系,3,0.887,TRUE
古风服装,3,0.844,TRUE
历史悠久,3,0.862,TRUE
观潮胜地,3,0.936,TRUE
明清民国时期,3,0.925,TRUE
徐志摩,3,0.962,TRUE
王国维,3,0.875,TRUE
名人故居,3,0.851,TRUE
江南烟雨,3,0.883,TRUE
古城墙,3,0.821,TRUE
古寺庙,3,0.97,TRUE
宗祠,3,0.933,TRUE
古宅,3,0.96,TRUE
故事的起点,5,0.57,FALSE
历史的回响,5,0.894,TRUE
盐官潮墙,3,0.744,TRUE
水幕,3,0.945,TRUE
飞流直下三千尺,3,0.632,FALSE
疑是银河落九天,3,0.484,FALSE
潮墙,3,0.806,TRUE
天下奇观一线潮,3,0.854,TRUE
潮汐预报,3,0.618,FALSE
海神庙,3,0.82,TRUE
浙海之神,3,0.845,TRUE
钱镠王,3,0.923,TRUE
孔庙学宫,3,0.873,TRUE
隋朝遗迹,3,0.907,TRUE
红墙,3,0.76,TRUE
娱庐,2,0.943,TRUE
西城老屋,3,0.831,TRUE
砖木结构,3,0.823,TRUE
朴实无华,5,0.868,TRUE
国家重点保护文物,3,0.657,FALSE
浙江嘉兴海宁潮乐之城六号停车楼,2,0.752,TRUE
免费停车,2,0.688,FALSE
充电桩,2,0.565,FALSE
听着潮声入梦,5,0.816,TRUE
价格巨贵,5,0.459,FALSE
游客量多,5,0.689,FALSE
管理跟不上节奏,5,0.498,FALSE
小地方特色,5,0.745,TRUE
必吃美食,3,0.956,TRUE
梅干菜烧饼,3,0.895,TRUE
梅花方糕,3,0.966,TRUE
古桥流水,3,0.96,TRUE
望津堤春日限定,3,0.872,TRUE
浪漫码头,2,0.636,FALSE
灵水居码头,2,0.857,TRUE
定升桥古桥映波,3,0.941,TRUE
草木本色染坊蓝布,3,0.803,TRUE
乌村网红树屋,2,0.805,TRUE
戏剧,3,0.957,TRUE
浪漫氛围,5,0.629,FALSE
国际化视野,5,0.582,FALSE
顶尖剧团,3,0.835,TRUE
艺术家,3,0.899,TRUE
多样化,5,0.588,FALSE
高水准,5,0.835,TRUE
话剧,4,0.84,TRUE
歌剧,3,0.782,TRUE
舞剧,4,0.694,FALSE
肢体剧,4,0.829,TRUE
实验戏剧,3,0.836,TRUE
艺术水准,5,0.877,TRUE
青年戏剧人,3,0.857,TRUE
平台,2,0.554,FALSE
才华,5,0.814,TRUE
创新,5,0.608,FALSE
探索,4,0.69,FALSE
论坛,2,0.686,FALSE
讲座,2,0.711,FALSE
工作坊,2,0.78,TRUE
交流学习,4,0.649,FALSE
小镇对话,4,0.716,FALSE
戏剧大师,3,0.851,TRUE
观众,4,0.591,FALSE
创作心得,5,0.834,TRUE
艺术体验,4,0.677,FALSE
传统扎染技艺,3,0.905,TRUE
碎雨,3,0.844,TRUE
檐角,3,0.936,TRUE
梨花,3,0.878,TRUE
新市茶馆,2,0.718,FALSE
绿酒,3,0.919,TRUE
乌篷,2,0.927,TRUE
花影,3,0.86,TRUE
梨雪,3,0.798,TRUE
茶烟,3,0.907,TRUE
寂美,5,0.747,TRUE
悠适,5,0.914,TRUE
治愈,5,0.541,FALSE
窄窄,3,0.725,TRUE
古老,3,0.937,TRUE
新中式风格,3,0.75,TRUE
热茶,2,0.937,TRUE
好看,5,0.909,TRUE
成品,3,0.783,TRUE
自己动手做,4,0.639,FALSE
行李托运,2,0.624,FALSE
小吃店,2,0.85,TRUE
网红店,2,0.795,TRUE
寻坞水宴,3,0.829,TRUE
味道,5,0.979,TRUE
原始古镇,3,0.928,TRUE
和谐,5,0.803,TRUE
商铺,2,0.748,TRUE
主动招揽客人的商家,5,0.737,TRUE
商店,2,0.771,TRUE
店员,2,0.731,TRUE
老板,2,0.621,FALSE
班味,3,0.96,TRUE
住在乌镇,2,0.925,TRUE
前台,2,0.773,TRUE
工作人员,2,0.726,TRUE
临安客栈,2,0.894,TRUE
景观房,2,0.873,TRUE
入住体验,5,0.808,TRUE
别样的体验,5,0.791,TRUE
预订,2,0.666,FALSE
临水的房间,2,0.785,TRUE
入口,2,0.771,TRUE
酱缸,3,0.879,TRUE
修船的老人,4,0.82,TRUE
古朴感,5,0.901,TRUE
秩序和宁静,5,0.607,FALSE
住在镇上,5,0.73,TRUE
行动方便,5,0.743,TRUE
来回往返景区,4,0.716,FALSE
逛累了,5,0.806,TRUE
回客栈,2,0.741,TRUE
住在小镇外,5,0.721,TRUE
八点以前起来,4,0.481,FALSE
吃早餐,4,0.627,FALSE
水边,3,0.967,TRUE
桌子,2,0.932,TRUE
服务人员,2,0.673,FALSE
礼貌,5,0.772,TRUE
穿着打扮,5,0.712,FALSE
