目标词,匹配词,相似度,是否匹配
水面,3+1,0.833,True
建筑形式,3+2,0.715,False
空间形态,2+2,0.532,False
基本元素,3+2,0.597,False
建筑尺度,3+2,0.612,False
色彩关系,3+2,0.672,False
多层次,5+2,0.65,False
半透明,3+2,0.688,False
传统空间再造,3+2,0.606,False
场所精神,5+2,0.806,True
空间韵味,3+2,0.711,False
极简审美,3+2,0.868,True
宁静,5+2,0.811,True
意趣,5+3,0.868,True
构造,3+2,0.892,True
色彩,3+2,0.642,False
单体建筑,2+1,0.829,True
构型特征,3+2,0.724,True
姐妹,5+3,0.634,False
旅游,4+1,0.811,True
闺蜜写真,4+1,0.707,False
网红妆造,4+1,0.766,True
民国双生花,3+3,0.668,False
菠萝头垃圾桶,2+3,0.519,False
秀气,3+2,0.877,True
漂亮,5+2,0.899,True
真江南,5+2,0.965,True
早茶,2+1,0.791,True
戏曲,3+3,0.754,True
大爷大娘,5+2,0.843,True
水上集市,2+3,0.736,True
市井烟火,5+2,0.939,True
闲情雅趣,5+2,0.889,True
街头巷尾,3+2,0.925,True
街弄堂,3+2,0.923,True
江南画卷,3+2,0.947,True
灯光,3+2,0.879,True
流光溢彩,3+2,0.778,True
灯笼,3+2,0.817,True
深夜羊肉面,3+4,0.807,True
打更声,3+3,0.831,True
茅盾,3+3,0.935,True
木心,3+3,0.902,True
从前慢,5+2,0.811,True
钟灵俊秀,3+1,0.865,True
文人荟萃,3+3,0.793,True
戏剧幻城,3+3,0.698,False
乌托邦,5+3,0.761,True
雨绵绵,3+1,0.656,False
船慢慢,4+1,0.844,True
时光静静,5+2,0.819,True
行程,4+1,0.78,True
交通,5+1,0.56,False
美食,3+4,0.959,True
避坑,5+1,0.693,False
沿途,4+1,0.764,True
免费的停车场,2+3,0.769,True
沿河,3+1,0.948,True
一条街,2+2,0.6,False
很长,5+2,0.753,True
商业,5+1,0.59,False
原居民,3+3,0.905,True
卖酒的老宅,2+1,0.761,True
居民的老宅,3+2,0.721,True
网红拍照打卡点,2+3,0.743,True
小长假,5+1,0.718,False
人也不多,5+2,0.943,True
拍照打卡不用排队,5+1,0.356,False
木心先生,3+3,0.729,True
素履之往,5+3,0.847,True
绝,5+3,0.908,True
潇洒,5+3,0.906,True
通透,3+2,0.905,True
幽默,5+3,0.651,False
利落,5+2,0.945,True
易读,5+2,0.707,False
易懂,5+2,0.863,True
灵感,5+3,0.728,True
观察,5+2,0.807,True
思考,5+3,0.742,True
内心丰富,5+3,0.733,True
不执着,5+3,0.91,True
锵锵三人行,4+1,0.89,True
圆桌派,2+1,0.927,True
粉丝,3+4,0.681,False
安静,5+2,0.818,True
清静,5+2,0.784,True
导游,4+1,0.802,True
春日风景,3+1,0.677,False
穿搭,5+2,0.687,False
西栅游客中心,2+1,0.663,False
白莲塔河,3+1,0.878,True
风景,3+1,0.795,True
故事,3+3,0.756,True
慢时光,5+2,0.779,True
活着的古镇,5+2,0.94,True
原生态的生活区,5+2,0.805,True
江南百床馆,3+2,0.87,True
宏源泰染坊,3+2,0.826,True
蓝印花布,3+4,0.601,False
姑嫂饼,3+4,0.786,True
红烧羊肉,3+4,0.76,True
民国时代餐厅,2+1,0.826,True
本帮菜,3+4,0.896,True
特色民宿,2+1,0.758,True
林家客栈,2+1,0.729,True
明清建筑格局,3+2,0.703,False
水巷青年旅舍,2+1,0.666,False
临水客栈,2+1,0.785,True
通安客栈,2+1,0.833,True
枕水而眠,5+2,0.751,True
晨暮之美,5+2,0.817,True
西栅夜景,3+1,0.791,True
薄雾中的石拱桥,3+2,0.719,False
早起的居民,5+2,0.559,False
独特体验,5+3,0.667,False
最佳季节,5+1,0.53,False
春暖花开,3+1,0.637,False
秋高气爽,5+2,0.711,False
乌镇夜游,4+1,0.737,True
漫步乌镇,4+1,0.783,True
岁月回响,5+3,0.644,False
茶馆,2+1,0.746,True
慢生活,5+2,0.783,True
江南的故事,5+3,0.819,True
千年的时光对话,5+3,0.658,False
水墨江南,3+2,0.963,True
晨雾,3+1,0.658,False
灯火,5+2,0.948,True
机位,2+3,0.751,True
电影级,5+2,0.825,True
诗意,5+2,0.849,True
通安桥,3+2,0.917,True
晨曦剪影,3+1,0.73,True
拱桥,3+2,0.943,True
雨读桥,3+2,0.712,False
对称江南,3+2,0.946,True
青瓦白墙,3+2,0.769,True
流水,3+1,0.781,True
油纸伞,3+3,0.613,False
灯火阑珊,5+2,1.0,True
夜拍,4+1,0.746,True
蓝调时刻,5+2,0.754,True
全景,3+1,0.873,True
运河,3+1,0.851,True
塔,3+2,0.927,True
桥里桥,3+2,0.91,True
茶楼,2+1,0.763,True
人间烟火,5+2,1.0,True
竹帘,3+2,0.744,True
老茶馆,2+1,0.746,True
炊烟,5+2,0.796,True
浣衣,3+1,0.929,True
乌篷船,2+3,0.72,False
移动机位,4+1,0.609,False
草木染坊,2+1,0.763,True
故事感,5+2,0.706,False
好拍,5+2,0.877,True
古风写真,4+1,0.866,True
满意,5+3,0.765,True
开心,5+3,0.886,True
诗情画意,5+2,0.948,True
交通建议,5+1,0.529,False
平均温度,5+1,0.318,False
浅色素色半裙,3+2,0.761,True
偏中式饰品,3+4,0.751,True
手串,3+4,0.826,True
发簪,3+4,0.855,True
高铁桐乡站,2+1,0.862,True
公交K282,2+3,0.503,False
自驾,4+1,0.623,False
乌镇西栅一号游客中心,2+1,0.671,False
停车场,2+3,0.89,True
河道北侧主街,2+2,0.598,False
南岸街道,2+2,0.704,False
惊喜,5+3,0.631,False
晨曦,3+1,0.719,False
剪影,5+2,0.81,True
黛瓦,3+2,0.906,True
青瓦,3+2,0.832,True
白墙,3+2,0.734,True
马头墙,3+2,0.864,True
citywalk,4+1,0.703,False
乌镇大剧院,2+1,0.835,True
三寸金莲馆,3+3,0.695,False
乌镇评书场,2+1,0.786,True
乌镇水剧场,2+1,0.758,True
乌将军庙,3+2,0.89,True
女红街,2+1,0.784,True
茅盾纪念堂,2+1,0.793,True
乌镇水上集市,2+3,0.716,False
景点美食地图,3+4,0.729,True
旅行地图,2+3,0.788,True
打卡,4+1,0.688,False
亲子,4+1,0.825,True
情侣,5+3,0.676,False
江南园林,3+2,0.851,True
千年历史,3+2,0.825,True
特色商铺,2+1,0.779,True
楚门的世界,5+3,0.755,True
住一晚,4+1,0.658,False
体验感,5+2,0.908,True
慢悠悠,5+2,0.9,True
感受,5+2,0.729,True
江南,3+5,0.811,True
惬意,5+2,1.0,True
大型剧本杀,4+1,0.608,False
水位,3+1,0.84,True
颜色,3+2,0.669,False
商业水平不高,5+1,0.367,False
墨色生香,3+2,0.896,True
温柔,5+2,0.846,True
草木本色染房,2+1,0.714,False
喜庆堂,2+1,0.872,True
张恒兴灯笼铺,2+1,0.902,True
古代婚礼用具,3+3,0.776,True
弄堂拍照,4+1,0.962,True
DIY花灯,4+1,0.775,True
年货夜酒市集,4+1,0.685,False
自助早茶,2+1,0.778,True
诗意与哲学,5+3,0.831,True
画作,3+3,0.767,True
文学作品,3+3,0.734,True
宝藏小众村落,3+5,0.606,False
精致装饰,3+2,0.828,True
古镇烟火气,5+2,0.902,True
河道,3+1,1.0,True
石板路,3+2,0.822,True
木质老屋,3+2,0.797,True
水墨丹青,3+2,0.824,True
温婉,5+2,0.849,True
灵秀,3+1,0.9,True
烟火人间,5+2,0.96,True
人文气息,5+2,0.759,True
文化底蕴,3+3,0.736,True
竹编木雕工艺,3+3,0.854,True
越剧,3+3,0.865,True
唱腔,3+3,0.756,True
水袖,3+3,0.63,False
古韵,3+2,1.0,True
民宿,2+1,0.76,True
客栈,2+1,0.861,True
清蒸白水鱼,3+4,0.844,True
美景,5+2,0.826,True
天气,5+2,0.822,True
温度,5+2,0.759,True
苏杭,3+5,0.901,True
性价比,5+1,0.454,False
原生态水乡风貌,3+1,0.708,False
南栅北栅,3+2,0.769,True
肉质鲜嫩,3+4,0.719,False
汤头鲜美,3+4,0.901,True
皮薄馅大,3+4,0.734,True
汤鲜味美,3+4,0.832,True
口感软糯,3+4,0.825,True
甜而不腻,3+4,0.87,True
人间四月天,5+3,0.675,False
踏青出游,4+1,0.813,True
江南美学,3+2,0.913,True
香市,3+4,0.939,True
江南水乡狂欢节,4+1,0.748,True
好好生活节,4+1,0.731,True
赏花,4+1,1.0,True
看演出,4+1,0.72,False
春日氛围,5+2,0.905,True
打卡点,4+1,0.75,True
三孔桥,3+2,0.917,True
古镇全景,3+2,0.841,True
蚕花仙子,3+3,0.829,True
水上巡游,4+1,0.777,True
油菜花海,3+1,0.737,True
花田市集,2+1,0.815,True
咖啡馆,2+1,0.776,True
风中飘来阵阵花香,3+1,0.746,True
文艺青年,5+3,0.573,False
网红打卡点,2+1,0.811,True
情景剧,4+1,0.861,True
避世小村庄,5+2,0.798,True
萌宠,2+3,0.877,True
采摘,4+1,0.78,True
水上和陆上巡游,4+1,0.772,True
杂耍,4+1,0.781,True
春花田埂趣野集,4+1,0.649,False
后街酒家野火饭,3+4,0.861,True
容易钟情热酒馆,2+1,0.728,True
小酌一杯,2+1,0.815,True
古镇夜景,3+1,0.764,True
春水,3+1,0.676,False
青石板,3+2,0.781,True
橹声,3+1,0.929,True
木格窗,3+2,0.702,False
雨,3+1,0.593,False
廊棚,3+2,0.855,True
明前龙井,3+4,0.833,True
绣娘,3+3,0.913,True
丝线,3+4,0.657,False
文昌阁,3+2,0.91,True
飞檐,3+2,0.903,True
水墨残卷,3+2,0.726,True
中学时代,5+3,0.56,False
烟雨入江南,3+1,0.925,True
山水如墨染,3+1,0.883,True
水乡,3+1,0.853,True
青石路,3+2,0.9,True
小桥,3+2,0.934,True
石凳,2+3,0.731,True
西塘古镇,3+5,0.719,False
酒吧,2+1,0.662,False
热闹,5+2,0.918,True
精致园林,3+2,0.653,False
离杭州近,5+1,0.867,True
头牌名片,3+5,0.813,True
风土人情,3+3,0.936,True
民风民俗,3+3,0.77,True
幽静,5+2,0.742,True
人少,5+2,0.881,True
配套设施,2+3,0.631,False
历史气息,5+2,0.935,True
古老年代,3+2,0.895,True
明朝,3+2,0.786,True
历史厚重感,5+2,0.923,True
水乡人情风俗,3+3,0.883,True
百间楼,3+2,0.705,False
古建筑,3+2,0.816,True
园林布局,3+2,0.63,False
中国传统文化,3+3,0.65,False
博大精深,3+3,0.881,True
温柔与雅致,5+3,0.821,True
水,3+1,0.786,True
桥,3+2,0.909,True
游玩,4+1,0.73,True
木心美术管,2+1,0.794,True
月老庙,3+3,0.853,True
张恒兴花灯铺,2+1,0.88,True
三寸金莲管,3+4,0.649,False
大竹编,3+4,0.894,True
酒吧街,2+1,0.743,True
锦记糕点铺,3+4,0.895,True
锦记酱鸭,3+4,0.983,True
通济酱粽,3+4,0.911,True
滋啦啦油煎铺,3+4,0.832,True
默默的家,2+1,0.752,True
夜游,4+1,0.725,True
水巷,3+1,1.0,True
梦华录,5+3,0.927,True
傍晚,5+2,0.857,True
光影,3+1,0.778,True
极简设计,3+2,0.801,True
艺术展览,2+1,0.774,True
旋转楼梯,2+1,0.789,True
落地窗,2+2,0.874,True
手写明信片,2+3,0.579,False
复古感,3+2,0.867,True
文学巨匠,3+3,0.701,False
皮影戏,3+3,0.863,True
高杆船表演,4+1,0.846,True
非遗文化,3+3,0.714,False
老街,3+2,0.931,True
手工酱,3+4,0.864,True
江南早茶,3+4,0.864,True
蟹黄汤包,3+4,0.768,True
羊肉,3+4,0.785,True
汤头,3+4,0.968,True
本地人,5+2,0.817,True
江浙菜,3+4,0.907,True
酱鸭,3+4,0.985,True
复古,3+2,0.876,True
石桥流水,3+1,0.789,True
碧螺春,3+4,0.864,True
似水年华,5+3,0.816,True
文艺感,5+2,0.879,True
昭明书舍,2+1,0.9,True
古风书院,3+2,0.827,True
含早茶客,2+1,0.753,True
益大丝业会馆,2+1,0.795,True
丝绸主题,3+3,0.6,False
私密庭院,2+2,0.709,False
景区内民宿,2+3,0.66,False
景区外民宿,2+3,0.662,False
学生党,5+1,0.616,False
穿搭建议,5+2,0.539,False
汉服节,4+1,0.782,True
避开人流,4+1,0.647,False
傍晚5点后,5+2,0.7,False
游客少,5+2,0.959,True
光线柔和,5+2,1.0,True
水舞秀,4+1,0.869,True
雨天玩法,4+1,0.652,False
烟雨朦胧,3+1,0.927,True
临河咖啡馆,2+1,0.787,True
古镇姑娘,5+3,0.64,False
茅盾纪念馆,2+1,0.826,True
活动,4+1,0.771,True
小摊,2+3,0.869,True
灵水街泥炉暖锅,3+4,0.714,False
湖羊肉,3+4,0.834,True
冬夜围炉诗会,4+1,0.691,False
诗,5+3,1.0,True
雪,3+1,0.915,True
浪漫,5+2,0.7,False
早上,5+2,0.751,True
朦胧,5+2,0.887,True
知青咖啡馆,2+1,0.817,True
公交281路,2+3,0.542,False
住宿,2+3,0.788,True
堤上,3+1,0.847,True
接驳车,2+3,0.71,False
氛围,5+2,0.735,True
寂静,5+2,0.7,False
小巷,3+2,0.908,True
清晨,5+2,0.765,True
石板桥,3+2,0.915,True
西市河,3+1,0.897,True
悠久历史,3+2,0.886,True
春花田梗,3+1,0.826,True
染坊,3+2,0.917,True
早茶客文化,3+3,0.798,True
老爷爷,5+2,0.859,True
老奶奶,5+2,0.735,True
非遗技术,3+3,0.719,False
油菜花,3+1,0.875,True
听风阁,2+1,0.811,True
市集,2+1,0.77,True
花伴旅咖屋,2+1,0.744,True
咖啡,2+1,0.958,True
梅花,3+4,0.952,True
小猪快跑,4+1,0.641,False
特色美食,3+4,0.955,True
热酒馆,2+1,0.844,True
饮品,2+1,0.804,True
锦堂酒店,2+1,0.747,True
油菜花田,3+1,0.771,True
颂钵疗愈,4+1,0.766,True
调香室,2+1,0.844,True
西栅大街,3+2,0.894,True
情景戏剧表演,4+1,0.761,True
独创集市,2+1,0.731,True
梅雨季节,3+1,0.618,False
江南古镇,3+2,0.954,True
下雨天,5+2,0.799,True
建筑设计,3+2,0.703,False
江南小桥流水,3+1,0.815,True
古味,3+2,0.906,True
古风人像,5+2,0.749,True
取景地,2+1,0.873,True
江南的甜点,3+4,0.827,True
窗外美景,3+1,0.609,False
拍照,4+1,1.0,True
节目表演,4+1,0.746,True
游船,2+3,0.722,True
書生羊肉面,3+4,0.767,True
乌镇萝卜丝饼,3+4,0.885,True
舌尖葱包烩,3+4,0.89,True
舒适的鞋子,5+1,0.918,True
西湖,3+1,0.688,False
烟花三月,5+2,0.696,False
柳树,3+1,0.95,True
翠绿,3+1,0.938,True
桃花,3+1,0.923,True
盛开,3+1,0.898,True
摇撸船,2+3,0.663,False
碧波荡漾,3+1,0.762,True
古诗词,3+3,0.886,True
清明,3+2,0.896,True
五一,4+1,0.78,True
踏春,4+1,0.757,True
鸡尾酒,3+4,0.936,True
树屋,2+1,0.72,False
田园生活,5+2,0.858,True
暖锅,3+4,0.738,True
锦堂行馆,2+1,0.867,True
运河堤,3+1,0.918,True
春风集,5+2,0.93,True
互动,4+1,0.719,False
演出,4+1,0.815,True
疗愈体验,5+2,0.62,False
香市节,3+4,0.856,True
杂耍游艺,4+1,0.747,True
百戏杂陈,3+3,0.766,True
乌镇景点美食地图,3+4,0.694,False
打卡景点,4+1,0.702,False
路线,4+1,0.69,False
烟柳繁华之地,3+2,0.853,True
诗书之乡,3+3,0.81,True
深度游路线,4+1,0.671,False
石桥橹影,3+2,0.897,True
时间,5+1,0.704,False
波光,3+1,0.79,True
生活,5+2,0.891,True
巷弄,3+2,0.93,True
脚步,5+2,0.889,True
青苔,3+1,0.744,True
对称构图,3+2,0.798,True
桥洞,3+2,0.957,True
倒影,3+1,0.825,True
水墨画,3+2,0.795,True
江南梦,5+3,0.913,True
青砖黛瓦,3+2,0.896,True
美好,5+3,0.925,True
远离,5+2,0.846,True
城市喧嚣,5+2,0.847,True
真正,5+3,0.773,True
萧邦特展,3+3,0.786,True
钢琴,2+1,0.475,False
艺术,3+3,0.718,False
全员NPC,4+1,0.523,False
假古镇,3+2,0.789,True
乌墩,3+2,0.901,True
江浙沪金三角,3+5,0.746,True
杭嘉湖平原,3+1,0.77,True
太湖流域,3+1,0.791,True
河流,3+1,0.97,True
京杭大运河,3+1,0.81,True
1300年建镇史,3+2,0.664,False
江南水乡古镇,3+1,0.878,True
中国历史文化名镇,3+5,0.477,False
鱼米之乡,3+1,0.769,True
丝绸之府,3+3,0.61,False
诗集,3+3,0.817,True
眷恋,5+3,0.931,True
春光,3+1,0.676,False
粉墙黛瓦,3+2,0.89,True
古桥,3+2,0.922,True
望津堤,3+1,0.863,True
美食市集,3+4,0.778,True
演艺,4+1,0.798,True
码头,2+3,0.832,True
乐队,4+1,0.676,False
河畔观影,4+1,0.935,True
蓝布,3+3,0.887,True
传统工艺,3+3,0.819,True
小动物乐园,2+1,0.726,True
春季限定饮品,3+4,0.641,False
堤上度假酒店,2+1,0.671,False
水乡园林美景,3+1,0.677,False
景区厕所,2+3,0.555,False
充电宝休息区,2+3,0.637,False
旅行体验,5+2,0.68,False
背景,3+2,0.701,False
景观,3+1,0.756,True
商业化,5+1,0.583,False
特色民俗文创,3+3,0.789,True
千年古镇,3+2,0.831,True
历史,3+2,0.938,True
古建筑群,3+2,0.799,True
明清时期风貌,3+2,0.781,True
河成街,3+1,0.872,True
河埠廊坊,3+2,0.938,True
深宅大院,3+2,0.745,True
烟火气息,5+2,0.958,True
廊棚古弄建筑,3+2,0.765,True
水质清澈,3+1,0.642,False
雕梁画栋,3+2,0.753,True
石巷老屋木墙黑瓦,3+2,0.817,True
灯光秀,4+1,0.901,True
酒吧街文化,3+3,0.613,False
灯笼高挂,3+2,0.779,True
风韵,3+2,0.986,True
春不晚,5+3,0.727,True
圆梦,5+3,0.731,True
老邮局,2+1,0.669,False
复古氛围,5+2,0.802,True
明信片,2+3,0.792,True
扎染技艺,3+3,0.819,True
落日余晖,3+1,0.76,True
文学爱好者,5+3,0.646,False
皮影戏馆,2+1,0.869,True
浅色系,3+2,0.855,True
古风服装,3+3,0.784,True
历史悠久,3+2,0.857,True
观潮胜地,3+1,0.823,True
明清民国时期,3+2,0.82,True
徐志摩,3+3,0.94,True
王国维,3+3,0.706,False
名人故居,3+2,0.77,True
江南烟雨,3+1,0.883,True
古城墙,3+2,0.797,True
古寺庙,3+2,0.97,True
宗祠,3+2,0.933,True
古宅,3+2,0.779,True
故事的起点,5+3,0.541,False
历史的回响,5+3,0.81,True
盐官潮墙,3+2,0.667,False
水幕,3+1,0.817,True
飞流直下三千尺,3+1,0.589,False
疑是银河落九天,3+1,0.381,False
潮墙,3+2,0.784,True
天下奇观一线潮,3+1,0.854,True
潮汐预报,3+1,0.61,False
海神庙,3+2,0.82,True
浙海之神,3+3,0.782,True
钱镠王,3+3,0.908,True
孔庙学宫,3+2,0.873,True
隋朝遗迹,3+2,0.847,True
红墙,3+2,0.76,True
娱庐,2+1,0.943,True
西城老屋,3+2,0.759,True
砖木结构,3+2,0.741,True
朴实无华,5+2,0.843,True
国家重点保护文物,3+2,0.657,False
浙江嘉兴海宁潮乐之城六号停车楼,2+3,0.752,True
免费停车,2+3,0.688,False
充电桩,2+3,0.522,False
听着潮声入梦,5+3,0.806,True
价格巨贵,5+1,0.379,False
游客量多,5+1,0.683,False
管理跟不上节奏,5+1,0.445,False
小地方特色,5+2,0.736,True
必吃美食,3+4,0.956,True
梅干菜烧饼,3+4,0.895,True
梅花方糕,3+4,0.966,True
古桥流水,3+1,0.805,True
望津堤春日限定,3+1,0.85,True
浪漫码头,2+2,0.536,False
灵水居码头,2+3,0.857,True
定升桥古桥映波,3+2,0.901,True
草木本色染坊蓝布,3+2,0.803,True
乌村网红树屋,2+1,0.757,True
戏剧,3+3,0.719,False
浪漫氛围,5+2,0.594,False
国际化视野,5+1,0.468,False
顶尖剧团,3+3,0.632,False
艺术家,3+3,0.689,False
多样化,5+1,0.543,False
高水准,5+1,0.835,True
话剧,4+1,0.84,True
歌剧,3+4,0.725,True
舞剧,4+1,0.694,False
肢体剧,4+1,0.829,True
实验戏剧,3+3,0.61,False
艺术水准,5+2,0.824,True
青年戏剧人,3+3,0.857,True
平台,2+2,0.448,False
才华,5+3,0.705,False
创新,5+1,0.517,False
探索,4+1,0.69,False
论坛,2+1,0.644,False
讲座,2+1,0.662,False
工作坊,2+1,0.704,False
交流学习,4+1,0.649,False
小镇对话,4+1,0.716,False
戏剧大师,3+3,0.736,True
观众,4+1,0.591,False
创作心得,5+3,0.818,True
艺术体验,4+1,0.677,False
传统扎染技艺,3+3,0.776,True
碎雨,3+1,0.626,False
檐角,3+2,0.908,True
梨花,3+1,0.878,True
新市茶馆,2+1,0.66,False
绿酒,3+4,0.915,True
乌篷,2+3,0.927,True
花影,3+1,0.86,True
梨雪,3+1,0.798,True
茶烟,3+4,0.865,True
寂美,5+2,0.747,True
悠适,5+2,0.914,True
治愈,5+3,0.5,False
窄窄,3+1,0.642,False
古老,3+2,0.937,True
新中式风格,3+2,0.75,True
热茶,2+1,0.81,True
好看,5+2,0.894,True
成品,3+4,0.765,True
自己动手做,4+1,0.639,False
行李托运,2+3,0.624,False
小吃店,2+1,0.85,True
网红店,2+1,0.795,True
寻坞水宴,3+4,0.815,True
味道,5+2,0.979,True
原始古镇,3+2,0.811,True
和谐,5+2,0.758,True
商铺,2+1,0.748,True
主动招揽客人的商家,5+1,0.505,False
商店,2+1,0.771,True
店员,2+1,0.731,True
老板,2+1,0.619,False
班味,3+4,0.954,True
住在乌镇,2+3,0.925,True
前台,2+1,0.762,True
工作人员,2+3,0.71,False
临安客栈,2+1,0.894,True
景观房,2+1,0.789,True
入住体验,5+1,0.68,False
别样的体验,5+3,0.61,False
预订,2+3,0.666,False
临水的房间,2+2,0.609,False
入口,2+2,0.72,False
酱缸,3+4,0.844,True
修船的老人,4+1,0.82,True
古朴感,5+2,0.9,True
秩序和宁静,5+2,0.607,False
住在镇上,5+2,0.73,True
行动方便,5+1,0.682,False
来回往返景区,4+1,0.716,False
逛累了,5+2,0.806,True
回客栈,2+1,0.741,True
住在小镇外,5+1,0.64,False
八点以前起来,4+1,0.481,False
吃早餐,4+1,0.627,False
水边,3+1,0.806,True
桌子,2+3,0.538,False
服务人员,2+3,0.63,False
礼貌,5+2,0.731,True
穿着打扮,5+2,0.712,False
不耐烦,5+3,0.594,False
豆浆,3+4,0.807,True
加糖,3+4,0.609,False
原味豆浆,3+4,0.79,True
提示,5+2,0.85,True
拍照片,4+1,0.988,True
工牌,2+3,0.773,True
餐饮的负责人,2+1,0.777,True
其他服务人员,2+3,0.523,False
小礼品,2+3,0.819,True
礼貌温和,5+2,0.657,False
低姿态,5+2,0.724,True
气场弱,5+2,0.805,True
好欺负,5+3,0.785,True
好说话,5+3,0.827,True
难缠没礼貌的人,5+2,0.619,False
恭恭敬敬,5+3,0.807,True
踩,4+1,0.81,True
温和礼貌的人,5+2,0.619,False
拔刀向弱者,5+3,0.612,False
歌后,3+4,0.746,True
乌镇戏剧节,4+1,0.776,True
寻歌,4+1,0.836,True
漫游,4+1,0.741,True
浪漫值,5+2,0.699,False
拉满,5+2,0.971,True
诗意世界,5+3,0.893,True
缘定三生,3+3,0.761,True
人在画中游,5+2,0.704,False
乌镇老邮局,3+2,0.752,True
古老浪漫,5+2,0.668,False
文字的力量,5+3,0.638,False
夕阳塔影,3+1,0.761,True
邵明书院,2+1,0.81,True
书香墨韵,3+3,0.847,True
梦里的江南,5+3,0.829,True
制作工艺,3+4,0.829,True
照片,5+1,0.655,False
体验,4+1,0.718,False
艺术作品,3+3,0.713,False
简约风格,3+2,0.793,True
美学理念,3+3,0.744,True
故居,3+2,0.804,True
立志书院,2+1,0.912,True
成长历程,5+3,0.553,False
革命经历,3+3,0.625,False
文学成就,3+3,0.605,False
