评论,打分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上个月的某日我去蟠龙天地逛了逛蟠龙天地的商业氛围到是给我一种闲散的感觉市区有的咖啡馆甜点店和餐厅蟠龙天地几乎也都有临河而座的咖啡馆和茶馆也不少走累了可以坐着休息再看个日落佛系的在蟠龙天地过个周末还算比较舒服,7,"商业氛围,闲散,咖啡馆,甜点店,餐厅,临河,茶馆,日落,周末,舒服",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漾应的火塘蟠龙天地店是继南京老门东无锡运河汇之后实在建筑设计工作室设计的第三家店也是火塘在上海的首店蟠龙天地由瑞安地产开发历经五年打造承载了1400余年的深厚历史也融合了江南水乡与海派文化的独特韵味成为上海的时尚新地标整体建构以张弦作为主题在顶部形成一个三角张弦木梁体系上弦刚性构件与下弦柔性索的组合通过撑杆连接形成自平衡受力体系使整个结构显得既坚固又轻盈这种轻盈感不仅提升了建筑的空间感还使得建筑更加灵动和富有变化?在木梁的中间采取了第二种结构体系张拉膜结构膜材料具有良好的透光性能为建筑带来自然光同时保持轻盈的外观这种结构不仅让建筑看起来更加灵动和优雅还能创造出通透感这两种刚柔并济的受力方式不仅提高了结构的承载能力还赋予了建筑一种动态的美感三角梁的几何直线与圆形弧线墙体的对比也使得空间更具戏剧性和感染力用餐区域设置在西侧室内舞台及东侧室外火塘中间这样无论在任何时段都能随时观赏演出也可以携带饮品去舞台位置整体内部材料选择使用同款灰色水洗石与水磨石作为底色尽量弱化视觉装饰效果以凸显出张弦结构与舞台营造出自然有机感的庇护场所东侧室外区域作为外摆篝火表演区围绕着火塘用红砖垒砌出高低双层座位及花池同时也利用了场地现有的二层户外连廊形成了一个天然的露天小剧场每当夜晚降临的时候火塘成为一个聚会的场所音乐和篝火让人们聚在一起分享彼此的故事和经历于无形中缔结深厚而真挚的友谊和情感纽带?这使篝火不仅仅是一个物理存在更是一种精神的寄托和情感的共鸣??,10,"古镇原貌,商业水平不高,童年的梦",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??上海的春天真的太治愈了??周末发现一个宝藏赏春地??坠值得逛的地方蟠龙天地????除了赏花还有花船花坞等众多春日活动和装饰??拍照氛围感十足?推荐几个出片点位梦呓花船沪上独一份很梦幻水岸花坞巨型樱花装置好可爱水岸花瀑布被惊艳到了很唯美樱花径好浪漫的一条步道涵春鸟亭很有老街烟火气花街春日意境满满??真的好好逛??建议下午后去玩阳光柔和不晒??拍照也出片,10,"上海,春天,治愈,周末,宝藏,赏春地,蟠龙天地,值得,赏花,花船,花坞,春日活动,装饰,拍照氛围,梦呓花船,沪上,梦幻,水岸花坞,樱花装置,可爱,花瀑布,惊艳,唯美,樱花径,浪漫,步道,涵春鸟亭,老街烟火气,花街,春日意境,下午,阳光柔和,不晒,出片",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"上海蟠龙天地是瑞安房地产开发的大型城市改造项目项目以文化唤醒自然融合城市焕新""为核心理念匠筑上海前门院江南新天地打造一张面向世界的江南文化名片项目总占地面积752亩规划三大功能空间包含约23万方公共公园绿地-蟠龙公园约5万方水乡古镇商业蟠龙天地以及约25万方摩登江南人居范本-蟠龙国际住区Studio Su 担任蟠龙天地导向标识系统的设计顾问工作Located at Hongqiao Central Business District, Shanghai, Panlong Tiandi is an urban retreat destination developed by Shui On Group that integrates commercial, residence, hotel & green space. Evolving the XINTIANDI brand, Panlong Tiandi has a master-planning community of more than 500,000 sqm, including a 53,000 sqm commercial space and a 230,000 sqm green & public space. It will build a new XINTIANDI surrounded by green parks celebrating urban retreat concept.",7,文化唤醒,自然融合,城市焕新,江南文化,公共公园绿地,水乡古镇商业,摩登江南人居,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
趁今天是本周最后一个好天气出发前往青浦蟠龙天地city walk一下杨浦出发坐地铁8号2号17号耗时约1.5小时蟠龙天地有停车场???但是建议平日前往节假日和周末人一定很多因为景区有江南水乡的风景却没有猪蹄和烤肠在古镇中独树一帜充满个性景区内餐饮很多中餐西餐简餐都有非常全面总体而言去对了时间那体验值就很好了,7,"江南水乡,风景,猪蹄,烤肠,古镇,餐饮,中餐,西餐,简餐",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上一篇写了上海蟠龙天地的导视这一篇继续写蟠龙天地的公共空间街区以明清的蟠龙古镇为原型打造了新的蟠龙十景建筑手法上传承了古韵又营造了现代诗画意境摄影师在这里毫不费力就可出片沿湖亭台楼阁相互借景重重透视建筑用了青黑褐不施粉黛质雅朴素公区植物常绿点缀各色鲜花春天气息扑面而来非标商业公园商业古镇文旅国际街区这里有多个标签可以轻松地浪费大半天美好时间美丽无需多言美图看见所有愉悦??蜂友觉得内容对你有帮助请点赞收藏支持??只聊 跟 商业旅行读书 有关的话题欢迎来到我的主页我是无锡商业小蜜蜂,10,"古镇,古韵,现代诗画意境,摄影师,沿湖亭台楼阁,相互借景,重重透视,建筑,青黑褐,不施粉黛,质雅朴素,公区植物,常绿,各色鲜花,春天气息,非标商业,公园商业,古镇文旅,国际街区,美好时间,美丽,美图,愉悦",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
趁今天是本周最后一个好天气出发前往青浦蟠龙天地city walk一下杨浦出发坐地铁8号2号17号耗时约1.5小时蟠龙天地有停车场???但是建议平日前往节假日和周末人一定很多因为景区有江南水乡的风景却没有猪蹄和烤肠在古镇中独树一帜充满个性景区内餐饮很多中餐西餐简餐都有非常全面总体而言去对了时间那体验值就很好了,1,"江南水乡,风景,猪蹄,烤肠,古镇,餐饮,中餐,西餐,简餐,全面,体验值",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一个城中村一个古镇改造为何超过了很多传统古镇不到二年获得超过四千万客流量@设计观察家 ,7,"城中村,古镇改造,设计观察家",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
作为一个街区商业项目其复杂的动线设计与简单直接的盒子型商业相比优缺点十分明显它的优点在于为消费者带来乐趣游览的体验和自然随意的感觉这恰好符合目前无目的放空的城市漫步citywalk潮流然而这些优点的背后同样隐藏着缺点许多顾客抱怨我不知道这里有多少品牌逛得头晕眼花无从找到想去的店铺而商管团队也面临虽然有客流但转化率低进店率不高等困扰针对这一只逛不买的现象其实不必频繁开展大量的促销活动或发放优惠券关键在于将商家及其核心产品和服务充分展现给前来游逛的消费者蟠龙天地在每个主要通道交叉口及通向二楼的楼梯位置统一设置商家导视系统充分为各个品牌引流和曝光这不仅可以防止商家变成隐身的小透明也能让消费者更清晰地了解到有哪些品牌和产品从而激发他们的消费欲望 ,7,"乐趣游览, 自然随意, 城市漫步citywalk, 商家导视系统, 品牌曝光, 消费欲望",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周末遛娃一天竟然溜了三个古镇妈咪最喜欢歇马桥因为很悠闲小可乐最喜欢还是蟠龙天地又好看 又好玩 又好逛 还好吃玩到不肯回家 [哭惹R][哭惹R][哭惹R]位于上海市虹桥商务区瑞安集团打造的UrbanRetreat城市微度假目的地商业 住宅 酒店 绿地于一体延续新天地开放式街区形态打造的公园里的新天地概念所以蟠龙天地并不是那种传统意义上的文化景点它虽然有一些历史元素元代石桥香花桥百年程祠故里但更多的还是仿古商业街区的氛围比较更适合朋友聚会的休闲地[有R]交通便利??上海市青浦区双联路161号自驾导航蟠龙天地古镇即可有三个地下停车场??? 我们停在P3停车场出来即是花园草坪小朋友就不肯走了一定要在这里晒太阳[哭惹R][哭惹R]??地铁也很方便17号线蟠龙路站2号出口站左转过马路既能看到[彩虹R]游玩场地围绕着阉市-南市-北市三个街区我们带娃就是随意闲逛蓝瓶咖啡宁波特产糕点坊中式蛋糕..等等等快乐的游逛吧,9,"悠闲,好看,好玩,好逛,好吃,UrbanRetreat城市微度假,商业,住宅,酒店,绿地,开放式街区,公园,仿古商业街区,交通便利,地下停车场,花园草坪,晒太阳,地铁,彩虹,街区,蓝瓶咖啡,宁波特产糕点坊,中式蛋糕",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??上海的春天真的太治愈了??周末发现一个宝藏赏春地??坠值得逛的地方蟠龙天地????除了赏花还有花船花坞等众多春日活动和装饰??拍照氛围感十足?推荐几个出片点位梦呓花船沪上独一份很梦幻水岸花坞巨型樱花装置好可爱水岸花瀑布被惊艳到了很唯美樱花径好浪漫的一条步道涵春鸟亭很有老街烟火气花街春日意境满满??真的好好逛??建议下午后去玩阳光柔和不晒??拍照也出片,10,"上海,春天,治愈,周末,宝藏,赏春地,蟠龙天地,坠值得逛,赏花,花船,花坞,春日活动,装饰,拍照氛围感,出片点位,梦呓花船,沪上独一份,梦幻,水岸花坞,巨型樱花装置,可爱,水岸花瀑布,惊艳,唯美,樱花径,浪漫,步道,涵春鸟亭,老街烟火气,花街,春日意境,下午后,阳光柔和,不晒,出片",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始现场原址?? SZ-建筑师我们以木吉他箱体作为空间原型用一个正圆形空间衍生出的墙体包裹门面正中的混凝土柱统一了入口的视觉整体性同时圆与矩形的内切角空间作为店铺的灰空间区域形成外摆区域吸引沿街来往人流驻足观赏吉他箱体内部吉他琴身内部?受木制吉他身形状的启发我们使用了一个圆形空间来包围立面中央的混凝土柱从而恢复入口的视觉统一性圆形和矩形的交汇所创造的空隙空间作为店铺的过渡区提供一个户外座椅区吸引路人停下来留意开窗尺寸店铺内部正圆形空间布局重叠西侧区域的挑高空间则形成了天然的环形演出剧场在经过声学计算及测试后在声波反射较为集中的位置开设了6个不同高度及不同尺寸的窗洞在声学上有效降低了室内混响时间以满足演出要求如同弦类乐器琴身的音孔一样将室内演出的声音有指向性地传到室外同时街上的行人也可以通过这些窗洞听到室内的演出视觉上我们将其中两个较大的窗洞设置成了不同高度的吧台饮酒区而其余的洞口则作为内部采光的补充将阳光引入室内在店里圆形布局与西侧的双层区域重叠自然形成了一个圆形表演剧场经过声学计算和测试六个不同高度和大小的窗户开口被战略性地放置在声波反射更明显的地方这种设计在声学上减少了室内的混响时间以满足表演的要求就像弦乐器的声音孔一样这些开口将室内表演的声音向外引导让街上的人也能欣赏音乐视觉上两个较大的开口设计为不同高度的高架酒吧和饮水区其余的开口用于补充自然光线将阳光带入室内空间不同高度及不同尺寸的窗洞? 大川玛塔临街座位? 马塔奥卡瓦吉他小提琴钢琴古筝这些演出乐器都属于弦类乐器是众多乐器种的一个重要分类之一弦类乐器的发声原理是通过机械的力量使得琴弦发出振动而发出声音这些乐器都需要演奏者通过弓和弦的相互作用来发出声音弓和弦发出的声音是通过二者之间相互滑动摩擦力而产生的通过将弦两头绷紧形成了张力张力的大小决定了弦的音高吉他小提琴钢琴和古筝都是弦乐器家族的一部分这是广泛乐器中的一个主要群体弦乐器发出声音的方式是通过机械力引起的弦的振动这些乐器需要演奏者使用弓和弦来产生声音声音来自两者之间的滑动摩擦当弦的两端拉伸时会产生张力张力的大小决定了弦的音高因此我们探寻整体建构美感的过程中以张弦作为主题在顶部形成一个三角张弦木梁体系上弦刚性构件与下弦柔性索的组合,8,"原始现场原址,木吉他箱体,空间原型,正圆形空间,混凝土柱,视觉整体性,圆与矩形,内切角空间,灰空间区域,外摆区域,沿街人流,驻足观赏,吉他箱体内部,木制吉他身形状,立面中央,入口视觉统一性,空隙空间,过渡区,户外座椅区,吸引路人,开窗尺寸,店铺内部,挑高空间,环形演出剧场,声学计算,测试,声波反射,混响时间,演出要求,音孔,室内演出声音,指向性,街上的行人,窗洞,视觉效果,不同高度吧台,饮酒区,内部采光,阳光引入室内,圆形布局,双层区域,表演剧场,声学性能,窗户开口,弦类乐器,琴弦振动,发声原理,机械力量,演奏者,弓和弦,滑动摩擦力,张力,音高,建构美感,张弦主题,三角张弦木梁体系,上弦刚性构件,下弦柔性索",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目名称集絲坊地点上海原创如恩设计研究室原创设计\2020年如恩为天然生活方式品牌集絲坊设计了其在上海的首家旗舰店如今如恩与集絲坊再度合作为其打造蟠龙天地的两家门店一间是形似原始木屋的集絲坊另一间则是由混凝土打造的庇护所Woven?Moonlight两个空间毗邻彼此各自独立又相互对望如恩根据两个空间不同品牌的定位和需求制定了不同的设计策略集絲坊设计灵感来源于法国建筑理论家劳吉尔Marc-Antoine Laugier所提出的所有建筑的基础原型都是原始木屋 (primitive hut)这种剥离了装饰与风格的原始木屋建立了人与自然最基本的关系它为人类提供了庇护场所并与自然互相连接这与集絲坊想要传达的理念相契合天然纤维材质是生活与自然的纽带置入式的木屋结构塑造了融合居住与生活的精神空间为产品提供了展示平台,7,古镇原貌,商业水平不高,童年的梦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
