评论,打分,积极评价要素词汇_1,积极评价要素词汇_2,积极评价要素词汇_3,积极评价要素词汇_4,积极评价要素词汇_5,积极评价要素词汇_6,积极评价要素词汇_7,积极评价要素词汇_8,积极评价要素词汇_9,积极评价要素词汇_10,积极评价要素词汇_11,积极评价要素词汇_12,积极评价要素词汇_13,积极评价要素词汇_14,积极评价要素词汇_15,积极评价要素词汇_16,积极评价要素词汇_17,积极评价要素词汇_18,积极评价要素词汇_19,积极评价要素词汇_20,积极评价要素词汇_21,积极评价要素词汇_22,积极评价要素词汇_23,积极评价要素词汇_24,积极评价要素词汇_25,积极评价要素词汇_26,积极评价要素词汇_27,积极评价要素词汇_28,积极评价要素词汇_29,积极评价要素词汇_30,积极评价要素词汇_31
师俭堂始建于清朝嘉庆六年它以宝塔街为界分南北两部分是集河埠行栈商铺街道厅堂内宅花园下房等于一体的江南民居古建筑群堂内有处花园名为锄经园占地仅有半亩其间沿壁回廊假山半亭花卉树木均布局巧妙??索尼7CM2????????我是雨晴烟晚一位喜欢花花草草喜欢猫猫狗狗的摄影爱好者不定时分享苏州园林美景小动物等原图可??雨晴烟晚85自取照片均为原创创作不易禁止二改商用等转载请@本人感谢支持| 苏州旅行 | 苏州攻略 | 苏州拍照 | 每日打卡 || 记录生活 | 日常碎片 | 夏日赏花 | 每日壁纸 || 摄影日常 | 周末去哪儿 | 周末好去处 |,7,"师俭堂,清朝嘉庆六年,宝塔街,河埠行栈商铺街道厅堂内宅花园下房,江南民居古建筑群,锄经园,半亩,沿壁回廊假山半亭花卉树木,布局巧妙",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
对于小吃货的来说简直就是天堂啊减不减肥不重要吃才是来这里的最佳目的才是生活的味道在这里人均100元可以从头吃到尾享受一天碳水的快乐有了美食才有了这一趟的定制之旅??古镇门票免费??开放时间全天   小景点 08:00-17:00??地址苏州市吴江区震新南路1333号??交通自驾直接导航即可抵达苏州火车站乘坐轨交4号线同里方向松陵大道站下乘坐吴江震泽专线票价6元专线大约20分钟一班在震泽汽车站下车车程大约40分钟左右.票价5元???震泽生态旅游停车场??餐饮美食震泽古镇上的餐饮以茶楼为主比较推荐四碗茶楼沿河的茶楼古色古香卖得是震泽的特色四碗茶茶资从10元起到40元不等店家还会赠送一碟瓜子每桌放一个大热水瓶可免费续杯[一R]仁昌顺?定胜糕?油墩萝卜丝饼油墩6元/个定胜糕排队买的人真的太多了现做现卖的超级香[二R]四碗茶楼待帝茶??绿茶水泡鸡蛋??熏豆茶震泽的百姓有事没事就喜欢坐在河边喝喝茶聊聊天享受这里的慢生活人均20元[三R]阿婆团子??香青菜做馅老字号本地人爱吃并强烈推荐的5元/个旁边还有梅花糕价格一样[四R]仁安轩?蛋黄馄饨这是招牌之一据说也是网红小吃之一鲜肉包裹咸蛋黄一口下去实在满足一碗有八只蛋黄馄饨噢?鲜肉汤圆第一次知道鲜肉馅儿的汤圆个头大?鳝丝面他们家的鳝丝面真的很棒宁可不吃蛋黄馄炖也要来一碗鳝丝面必吃蛋黄馄饨18元/碗鳝丝面??25元/份[五R]浜兜一家咖啡店?豆子??牛奶??都用了非常不错的材料咖啡很赞店里还有很多糕点人均28元[六R]老严卤菜馆姜鸭面最经典可以配当地的黑豆干酱豆干等小菜人均20元[七R]王记海棠糕豆沙馅的海棠糕带着焦糖的浓香外皮松脆内里甜软给人温温柔柔的感觉一如江南水乡的模样除此之外古镇上还有很多美食一定要去吃,1,"天堂,生活的味道,人均100元,碳水的快乐,定制之旅,古镇门票免费,开放时间全天,沿河的茶楼,古色古香,四碗茶,震泽特色,茶资,赠送瓜子,免费续杯,仁昌顺,定胜糕,油墩,萝卜丝饼,排队,现做现卖,四碗茶楼,待帝茶,绿茶水泡鸡蛋,熏豆茶,慢生活,阿婆团子,香青菜做馅,老字号,梅花糕,仁安轩,蛋黄馄饨,网红小吃,鲜肉汤圆,鳝丝面,浜兜一家咖啡店,老严卤菜馆,姜鸭面,黑豆干,酱豆干,王记海棠糕,豆沙馅,焦糖,外皮松脆,内里甜软,江南水乡,古镇美食",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
位于震泽古镇的徐家大宅师俭堂是一个保存完好的清末古建前后六进建筑面积3500余平米房屋147间各类雕刻244幅......,6,"保存完好,清末古建,前后六进,建筑面积,房屋,各类雕刻",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
如果假期想体验人少慢节奏的生活可以来距离苏州一小时的吴江震泽那么这份旅游攻略记得收藏哦第一站太湖雪蚕桑文化园在千亩桑园里感受千年蚕桑文化这里不仅是育蚕种桑的基地更是一个自然的课堂还可以在这里来上一把户外越野 吃一份秋日里的柴火饭 在露营采摘中感受一下这村上美食 田园滋味儿下午来到这里必打卡的震泽古镇漫步在古镇欣赏頔塘河两岸风光走过禹迹桥打卡慈云禅寺看看这江南水乡大宅门师俭门再去宝塔老街逛逛在阿婆团子店来个菜花头团子仁昌顺 来一份重阳糕 或者去买些黑豆腐干带回家要是累了呢就在浜兜咖啡临河而坐让时光悄然溜走晚上来到镇上的这家老严卤菜馆吃上一碗面一碗酱鸭面也成为了这镇上有名的美食距离古镇200米的博阳开元名庭酒店 又或者是宝塔街上的西坡民宿 是游览完古镇住宿的理想选择住在这座千年古镇沉浸在这份属于水乡的柔情中,10,"人少,慢节奏,太湖雪蚕桑文化园,千年蚕桑文化,自然的课堂,户外越野,柴火饭,露营,采摘,村上美食,田园滋味,震泽古镇,頔塘河,禹迹桥,慈云禅寺,江南水乡大宅门,师俭门,宝塔老街,阿婆团子店,菜花头团子,仁昌顺,重阳糕,黑豆腐干,浜兜咖啡,临河而坐,老严卤菜馆,酱鸭面,博阳开元名庭酒店,西坡民宿,水乡的柔情",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
???震泽古镇??位于吴江西南部是吴江的西大门震泽古镇有着两千多年的历史这里没有喧闹的人群??没有过度的商业本地居民在此生活漫步??在小镇上每块砖 每片瓦都写着自己的历史仿佛诉说着千年的历史??导航震泽古镇 东门地上停车场??停车场停车很方便 免费?入场时间全天开放 建议830-1700??无需预约 免费??景点攻略禹迹桥.宝塔街.文昌阁.师检堂总路程不算多沿河环线行走??主打休闲 漫步 品茶 放空??推荐半日逛吃休闲游不需考虑住宿问题.??美食推荐1??四碗茶楼沿河而坐喝茶 嗑瓜子 享受慢生活.2??仁昌顺舌尖上的中国传统老字号 都是糯叽叽美食麦芽塌饼 定胜糕 菜花团 都很推荐品尝.薄荷绿豆汤第一次来建议品尝跟传统认知的绿豆汤不是一种3??仁安轩蛋黄馄饨 鳝丝面.4??萝卜丝饼 海棠糕 遇到都可以品尝.,1,"震泽古镇,没有喧闹的人群,没有过度的商业,本地居民,每块砖,每片瓦,历史,停车场停车很方便,免费,全天开放,禹迹桥,宝塔街,文昌阁,师检堂,休闲,漫步,品茶,放空,四碗茶楼,沿河而坐,喝茶,嗑瓜子,慢生活,仁昌顺,中国传统老字号,糯叽叽美食,麦芽塌饼,定胜糕,菜花团,薄荷绿豆汤,仁安轩,蛋黄馄饨,鳝丝面,萝卜丝饼,海棠糕",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
震泽古镇位于吴江西南部是吴江的西大门震泽古镇有着两千多年的历史这里没有喧闹的人群没有过度的商业本地居民在此生活导航震泽古镇东门地上停车场  停车场停车很方便免费入场时间全天开放建议8:30-17:00无需预约免费推荐半日逛吃休闲游不需考虑住宿问题1.仁昌顺舌尖上的中国传统老字号都是粘糯微甜一股子米香味但还是更喜欢热乎现做的味道2.四碗茶楼四碗茶楼沿河而坐喝茶嗑瓜子享受慢生活待帝茶绿茶水泡鸡蛋 熏豆茶震泽的百姓有事没事就喜欢坐在河边喝喝茶聊聊天享受这里的慢生活人均20元我比较喜欢一杯白茶喝茶氛围更佳3.阿婆团子香青菜做馅老字号本地人爱吃并强烈推荐的5元个旁边还有梅花糕价格一样阿婆 一天只做200个青团一做就是50年超级推荐黑豆干越嚼越香回味无穷4.仁安轩必吃蛋黄馄饨18元碗鳝丝面25元份网红且好吃5.浜兜一家咖啡店豆子牛奶都用了非常不错的材料咖啡很赞店里还有很多糕点人均28元6.老严卤菜馆姜鸭面最经典可以配当地的黑豆干酱豆干等小菜人均20元主打拍照 漫步 喝茶 聊天 美食 放空 半天时间足以,1,"震泽古镇,两千多年的历史,没有喧闹的人群,没有过度的商业,本地居民,生活,免费入场,全天开放,推荐,半日逛吃休闲游,仁昌顺,中国传统老字号,粘糯微甜,米香味,热乎现做,四碗茶楼,沿河而坐,喝茶嗑瓜子,慢生活,震泽的百姓,聊天,阿婆团子,香青菜做馅,老字号,本地人爱吃,强烈推荐,梅花糕,黑豆干,越嚼越香,回味无穷,仁安轩,蛋黄馄饨,网红且好吃,浜兜一家咖啡店,豆子牛奶,不错的材料,咖啡很赞,糕点,老严卤菜馆,姜鸭面,经典,黑豆干,酱豆干,小菜,拍照,漫步,喝茶,聊天,美食,放空,半天时间",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
震泽古镇位于江苏省苏州市吴江区西南部与浙江省毗邻古称吴头越尾是吴江的西大门震泽古镇是一个拥有二千多年历史的江南名镇也是中国著名的蚕丝之乡慈云寺塔慈云禅寺原名广济寺始建于宋度宗赵禥咸淳年间1265-1274年相传始建于三国赤乌年间已有1750多年历史是一座砖身木檐楼阁式的塔总高38.44米塔的外观为六面五层由回廊塔壁塔心组成走累了随意走入一个茶馆三杯两盏淡茶整个人才算真正置身于江南水乡君到姑苏见人家尽枕河游客不多民风淳朴放松休闲好去处,1,"震泽古镇,二千多年历史,江南名镇,慈云寺塔,慈云禅寺,广济寺,砖身木檐楼阁式,六面五层,茶馆,三杯两盏淡茶,人家尽枕河,游客不多,民风淳朴,放松休闲",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最讨厌的城市就是震泽,1,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi~ 这是我第4??篇推荐江浙沪冷门古镇的笔记前面三篇是湖州南浔双林古镇丽水缙云河阳古民居和绍兴诸暨斯宅村这次我来到了苏州吴江区的震泽古镇也欢迎大家推荐宝藏冷门古镇等我去打卡.或许是太湖这一片苏州-上海-嘉兴-湖州的古镇太多也或许是震泽镇本就经济实力强大以至于大家都忽略了震泽古镇这一旅游景点虽然位于镇上的繁华地段但古镇内却极其冷清安静只有三三两两的游客穿梭其中而桥上路上更多的是生活着的本地的人.??苏州吴江区震泽古镇??自驾可直接导航至震泽古镇禹迹路停车场古镇周边停车都方便??公共交通可坐大巴车到震泽汽车站附近城市和景区嘉兴/湖州/南浔古镇/乌镇等都有直达或过路车到这里交通很方便??景区无门票个别景点可单独购票.??古镇不大一河一街便能走完推荐打卡???宝塔街???砖雕门楼???禹迹桥???慈云禅寺???师俭堂.,8,"古镇内,冷清,安静,本地的人,宝塔街,砖雕门楼,禹迹桥,慈云禅寺,师俭堂",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一姑苏区主要景点拙政园天下园林之母布局精巧环境优雅留园建筑风格独特园林艺术精致虎丘苏州的象征之一网师园布局精巧水景美丽平江历史街区苏州老城区的代表旅游建议拙政园和留园适合慢慢游览和拍照虎丘塔是必看景点网师园适合喜欢安静和深度游览平江历史街区适合步行体验老苏州风情二吴中区主要景点西山岛湖光山色美丽水果资源丰富木渎古镇古老的运河桥梁和古民居灵岩山山上的灵岩寺是著名的佛教胜地山下的古镇则是体验当地生活的好去处天平山红叶景观独特道教文化古老闻名天池山山上的天池山下有许多古老的寺庙和文化遗址旅游建议西山岛适合自驾或乘坐游船前往木渎古镇推荐游览严家花园和虹饮山房了解明清时期建筑风格灵岩山适合喜欢爬山和佛教文化的游客天平山秋季山上的红枫非常美丽三虎丘区主要景点树山生态村岛苏州的后花园花山自然风景区地质景观奇特山景美丽白龙涧龙池风景区溪流清澈瀑布群壮观太湖湿地公园观鸟和赏湖的绝佳去处太阳山国家森林公园山上的森林和山下的湖泊构成了一幅美丽的画卷旅游建议树山生态村岛可以尝试农家乐花山自然风景区适合徒步和摄影爱好者太湖湿地公园适合观鸟和赏湖带上望远镜和相机太阳山国家森林公园适合全家出游四吴江区主要景点同里古镇东方小威尼斯震泽古镇历史文化底蕴深厚水乡风情独特亨通太湖湖景美丽娱乐设施丰富黄金海岸享受阳光沙滩和水上活动的好去处胜地生态园集生态农业休闲旅游和科普教育为一体东太湖生态园湖景美丽生态资源丰富旅游建议同里古镇建议错峰游览震泽古镇适合深度体验水乡文化亨通太湖适合休闲度假胜地生态园适合亲子游东太湖生态园适合骑行和散步五其他区主要景点北太湖景区湖光山色和丰富的娱乐设施凤凰山景区山上的古寺和山下的古镇构成了一幅美丽的画卷月亮湾湖水清澈环境优美金鸡湖周边以商业设施和休闲娱乐场所为主莲花岛莲花美丽寺庙古老十里斜塘运河古老风光美丽旅游建议北太湖景区可以结合附近景点游览凤凰山景区适合喜欢文化和历史的游客月亮湾适合傍晚游览欣赏日落金鸡湖灯光秀非常美丽莲花岛岛上有很多寺庙和文化遗产十里斜塘适合骑行或散步,9,"古镇原貌,商业水平不高,童年的梦",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
愈发不敢在节假日出行了人潮涌动的街头巷尾让人喘不过气哪怕是在广阔的名山大川之间也会被挤得水泄不通所以小众冷门的人文景点自然风光愈发深得我心我也愈发喜欢去探索它们从细微处窥见乾坤位于苏州市吴江区的震泽古镇就是一个颇为小众的千年古镇我是通过费孝通先生的江村经济认识它的也是因为这本书走进了震泽震泽古镇是一个因丝聚商的江南水乡已有2000余年历史有吴头越尾之称为物华天宝人杰地灵之地关于这个地方我已多次分享所见所闻今天主要是推荐一下师俭堂师俭堂是震泽古镇颇有名气的建筑之一拥有六大建筑特点有江南第一堂之美誉我是在雨天游览的师俭堂恰逢春末夏初恰逢在五一小长假之前宁静祥和的氛围使得我对师俭堂的印象极为深刻??划重点??这是一座反映晚清工商绅士坐行经商这一时代特点的代表性建筑??六大建筑特点如下?集河埠行栈店铺街道厅堂内宅花园下房八种建筑于一身布局精巧功能齐全?街中建宅宅内含街街从宅中过这是江浙市镇中比较罕见的?建筑的第四进为敞开式这在江南地区的古宅中极为少见?雕刻艺术丰富?防潮工艺先进?拥有江南最小之一园林仅0.63亩亭台楼阁回廊假山花卉树木一应俱全??苏州市吴江区震泽古镇宝塔街上??古镇不收费但师俭堂需要门票有套票出售具体现场咨询,9,"小众冷门,人文景点,自然风光,震泽古镇,千年古镇,费孝通先生,江村经济,江南水乡,2000余年历史,吴头越尾,物华天宝人杰地灵,师俭堂,晚清工商绅士,坐行经商,河埠行栈,店铺街道,厅堂内宅,花园下房,布局精巧,功能齐全,街中建宅,宅内含街,街从宅中过,敞开式,雕刻艺术丰富,防潮工艺先进,江南最小之一园林,亭台楼阁,回廊假山,花卉树木,苏州市吴江区,宝塔街",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
师俭堂的建筑部分最值得看的就是门楼的砖雕和建筑木雕建筑内共有244幅雕刻其中砖雕27幅石雕4幅木雕213幅图[一R][二R]牛腿木雕图[三R]四面厅里的木雕花篮第三进门楼的精美月梁木雕雕梁画栋的具象化图[六R]福禄寿喜图[七R]孔明迎主 也有人说是刘备招亲但是站在船头的人拿着羽扇一看就是诸葛亮图[八R]状元及第图[九R]月梁两端的龙纹云纹图[一R][零R]梁之间的凤纹当然这些都是修复过的根据残留的轮廓还原雕刻内容和当年营建时一样修复也是东阳的木雕工匠完成仔细看里面还有未经修复过的原木雕人物面部都在特殊年代被凿去图[一R][三R]梅兰竹菊四君子漆雕由清代竹刻名家金之骏刊刻图[一R][四R][一R][五R] 雕花门窗,8,"门楼,砖雕,建筑木雕,雕刻,木雕花篮,精美月梁木雕,雕梁画栋,福禄寿喜,孔明迎主,刘备招亲,状元及第,龙纹云纹,凤纹,修复,东阳的木雕工匠,原木雕,人物面部,梅兰竹菊四君子,漆雕,刊刻,雕花门窗",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在苏州震泽古镇上有座私家宅园师俭堂其东侧有座袖珍花园名曰锄经园占地仅400多平方米但半亭假山回廊洞门老藤等园林构成要素皆具整座袖珍园林特别静谧几乎没什么游人师俭堂锄经园在苏州园林名录中编号为43,8,"袖珍花园,静谧,游人少,园林构成要素",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
以清简许清欢人少闲适自然,8,"人少,闲适,自然",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛泽没有乌镇周庄的流量野心却把反卷刻进基因的宝藏小城周末在盛泽做了一日闲散游侠更像是误入都市传说GDP千亿镇竟把文旅写成散文诗找到唯一的景点先蚕祠推开乾隆年间的雕花木门看蚕神娘娘垂眸俯瞰人间烟火戏台/古碑/庭院里藏着半部丝绸史半小时结束了先蚕祠的观光出门左转遇见烧卖博物馆的蒸汽还有布满创意小店橱窗的小巷把节奏放慢吃几个烧麦喝一杯茶发发呆然后才想明白盛泽的文旅哲学有庙修庙无庙种桑让商业的归商业文化的归文化建议把盛泽放进反焦虑旅行清单来看现代版大隐隐于市在机器轰鸣与市井烟火交织处读懂江南最务实的浪漫主义,9,"古镇原貌,商业水平不高,童年的梦,文旅哲学,反焦虑,大隐隐于市,江南,浪漫主义",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
挑战震泽夜市100元吃点什么,100,古镇原貌,商业水平不高,童年的梦,,,,,,,,,,,,,,,,,,,,,,,,,,,,
震泽古镇位于苏州吴江靠近南浔古镇整个古镇依河而建分布在河两岸古镇不大很多人坐在河边悠闲的喝茶随便走走一小时就可以转完在附近可以顺便过来特意过来不太值得古镇的阿婆菜团子个人喜欢菜的大于豆沙蒸一下更软糯凉的偏硬聚顺号黑豆干有点甜王极海棠糕里面有猪油块仁昌顺的桂花糕非常软糯香甜都还不错据说泳良的糕点更好吃因为出行人多没单独去找[笑哭R]返程路上可以顺便游玩一下万公堤公园是个看日落的好地方[赞R],6,"震泽古镇,依河而建,河边,悠闲,喝茶,阿婆菜团子,软糯,聚顺号黑豆干,甜,王极海棠糕,猪油块,仁昌顺的桂花糕,软糯香甜,万公堤公园,看日落",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
纸张素描纸 160g尺寸15cm*21cm画笔中性笔 0.5mm 绿?,5,纸张素描纸,160g,尺寸15cm*21cm,画笔,中性笔,0.5mm,绿,,,,,,,,,,,,,,,,,,,,,,,,
"震泽古镇烟雨天青色的江南秘境""我找到了周庄平替这个免费的天青色古镇美到失语""?? 超强攻略干货?? 交通定位苏州吴江区震泽镇自驾导航""震泽古镇停车场""上海出发1.5h直达?? 门票惊喜古镇免费开放慈云寺塔6元登顶俯瞰全景?? 出片王炸点1?? 禹迹桥倒影清晨7点独享水墨画场景2?? 頔塘河畔廊棚带油纸伞穿素色旗袍更绝3?? 师俭堂雕花窗光影魔术手下午3点开演4?? 宝塔街茶馆二楼窗边拍青瓦雨帘电影感?? 暗藏美食 仁昌顺定胜糕非遗手艺的粉色浪漫 老严卤鸭馆30年老灶台的琥珀蜜汁 四碗茶铺熏豆茶+水潽蛋的吴侬软语""总要下一趟江南吧在梅子黄时雨的清晨等禹迹桥漫起青雾看頔塘河揉碎慈云塔影穿行三百年宝塔街青石板敲响明朝的回音转角遇见木椽垂落的紫藤在颓圮马头墙上开出新的年轮坐在頔塘河廊棚下尝四碗茶的三重意境头碗水潽蛋漾着柴火香二碗熏豆茶浮沉人生况味三碗清茶倒映天光云影这里不是乌镇周庄是更鲜活的江南标本当所有古镇开始雷同震泽依然守着最本真的水乡作息""",10,"震泽古镇,天青色,江南秘境,周庄平替,免费,慈云寺塔,禹迹桥,頔塘河畔,廊棚带,油纸伞,旗袍,师俭堂,雕花窗,光影魔术,宝塔街,茶馆,仁昌顺定胜糕,非遗手艺,老严卤鸭馆,老灶台,四碗茶铺,熏豆茶,水潽蛋,吴侬软语,梅子黄时雨,禹迹桥,青雾,頔塘河,慈云塔影,宝塔街,青石板,木椽,紫藤,马头墙,廊棚,四碗茶,水",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
去了好几次木渎古镇总和明月古寺擦肩而过而在这座低调的千年古刹里却有着苏州人自己的小西天????周末走进这里一整个被震撼住了??天王殿里巨龙昂扬盘飞天王怒目而视脚踩小gui大雄宝殿里三大面墙的五百罗汉姿态各异活灵活现真的太太太太震撼了??现在还是泥塑阶段不敢想象等到彩绘完成后会有多惊艳??和我妹在里面慢慢地逛了一个多小时找到了熟悉的玄奘活佛济公哪吒还有腿巨巨巨长的罗汉三头六臂的泥塑??吹拉弹唱掏耳朵搓澡的罗汉??肚子上有只??型脸的天王而且从不同角度看天王有不同的感觉某个角度对视上感觉他们好像活了真的好有意思啊如果你周末想反向找个人少又有意思的地方那一定要来这里慢慢逛逛看看哦??苏州木渎古镇明月古寺门票????下午1-3点去光照斜在龙身上超有感觉??附近景点虹饮山房严家花园古松园灵岩山,10,"低调,震撼,巨龙,昂扬,盘飞,天王,怒目,小gui,大雄宝殿,五百罗汉,姿态各异,活灵活现,泥塑,彩绘,玄奘,活佛,济公,哪吒,腿巨巨巨长,三头六臂,吹拉弹唱,掏耳朵,搓澡,罗汉,肚子,脸,角度,光照,人少,有意思",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
比起网红景点我更爱这些被遗忘的江南古镇,8,网红景点,被遗忘,江南古镇,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应该是游客最少的江南小镇了吧比邻南浔古镇却鲜有游客傍晚的夕阳伴着古塔暮钟炊烟袅袅吃完晚饭的居民在河边遛弯闲谈好不悠闲大学的每个寒暑假都在这里度过当时并无心思去欣赏它的悠闲与美丽多年后再次返回才慢慢感受到它的一点魅力那是一种飘摇中的安心路过一家花店四十多度的高温两只猫咪被笼养在门外店主不知所踪猫咪热得直吐舌头哈大气真让人生气??给吃的还是大米饭这么热都馊了,6,"游客最少,江南小镇,南浔古镇,鲜有游客,夕阳,古塔暮钟,炊烟袅袅,居民,河边遛弯闲谈,悠闲,美丽,飘摇中的安心,花店,猫咪,笼养,高温,店主不知所踪,给吃的,大米饭,热都馊了",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
踏过禹迹桥的青石板抬眼便是慈云塔的飞檐勾月古桥与禅塔遥遥对望一俯一仰间写尽了江南的禅意与温柔慈云寺塔始建于三国赤乌年间238-251年为六面五层砖木楼阁式古塔高38.44米是吴江唯一保存至今的古塔塔与頔塘河禹迹桥相映成趣构成慈云夕照的震泽八景之首2023年修缮后重新开放游客可登临前三层俯瞰水乡画卷感受四面湖光绕中流塔影悬的诗意,10,"禹迹桥,青石板,慈云塔,飞檐勾月,古桥,禅塔,遥遥对望,江南,禅意,温柔,慈云寺塔,三国赤乌年间,六面五层砖木楼阁式,古塔,頔塘河,水乡画卷,诗意",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于小小戴的店,5,古镇原貌,商业水平不高,童年的梦,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"震译古镇,位于江苏省苏州市吴江区西南部,与浙江省毗邻古称吴头越尾是吴江的西大门震泽镇是一个拥有二千多年历史的江南名镇,也是我国著名的蚕丝之乡",7,"震泽古镇,二千多年历史,江南名镇,蚕丝之乡",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
如何在有限的空间内打造出一种阔然开朗的感觉师俭堂的锄经园可谓是做到了极致身处于四面厅中既可见亭廊楼阁等典型园林元素水是一座园林的血脉锄经园中没有水但却是灵动的了解到园主人还是位崇尚俭朴学识修养深厚的人师俭堂的名字就如主人的人生追求除了惊艳我还能说些什么呢,10,"师俭堂,锄经园,四面厅,亭廊楼阁,园林元素,水,血脉,灵动,主人,崇尚俭朴,学识修养,师俭堂的名字,人生追求",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??震泽是个隐谧的mini江南水乡??塘河自西向东串联起水乡生活??小镇2个小时就能转完有精力的朋友很推荐傍晚去趟南浔悠闲逛吃??住宿我还是喜欢在震泽小镇人少清静,8,"隐谧,mini江南水乡,塘河,水乡生活,人少清静",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年初二没地方去震泽古镇逛一逛顺便喝杯咖啡本来以为会有好看的杯子但是都给了纸杯不知道是不是因为客人太多了??咖啡一般般送的巧果和米糕很好吃 爱吃在对面小店买了三个pxx玩具小朋友的快乐就是这么简单了,1,"古镇,咖啡,巧果,米糕,玩具,小朋友,快乐",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
遇见最美江南记录8个苏州古镇的诗意瞬间作为一个摄影爱好者我走遍了苏州的8大古镇今天分享一些私藏的拍摄机位和时间点让你也能拍出充满诗意的江南画卷~??甪直古镇最佳拍摄点永安桥清晨5:30-7:00河面升起薄雾站在桥的西侧拍摄能捕捉到晨光穿透雾气的梦幻场景我最爱在这个时候用50mm定焦低角度构图让粼粼波光和老房子的倒影相互辉映??震泽古镇必打卡报恩塔黄昏时分的塔影倒映在水中特别震撼小技巧是用广角镜头构图时让塔身略微偏离画面中心保留更多水面倒影会让画面更有层次感??木渎古镇绝佳机位山塘街雨后的石板路最上相我一般会选择雨后的傍晚用35mm定焦对准石板路上的积水拍摄倒映出的灯火和老建筑特别有意境??千灯古镇私藏时段夜幕初降古镇最迷人的时刻是华灯初上尤其是千灯浦边推荐使用三脚架慢门拍摄水中倒影让河面的灯火形成梦幻的光斑拍摄小贴士早晚黄金光线时段必须把握雨天反而是拍摄的好时机注意保留建筑的完整性可以用当地居民作为画面点缀构图时善用倒影和留白后期建议适当提升暗部细节控制好色温不要过度偏冷画面对比度适中更有韵味?,10,"江南,古镇,诗意,拍摄,机位,时间点,永安桥,薄雾,晨光,梦幻,报恩塔,塔影,震撼,山塘街,石板路,积水,灯火,老建筑,意境,千灯浦,华灯初上,三脚架,慢门,光斑,河面,居民,点缀,构图,倒影,留白,暗部细节,色温,对比度,韵味",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一个不爱美的人只要去了趟苏州总会不自觉地对美产生了向往比如穿着美美的旗袍改良版坐在美美的河畔吃着美美的四碗茶看着美美的风景最后收获了美美的心情与美好时光来到众所周知的蚕宝宝的故乡震泽我应穿上一套丝绸面料的旗袍去喝茶才是但来不及去挑选就已经被古镇入口的一家四碗茶茶楼所吸引在震泽喝茶的称呼为吃茶这是本地人对茶饮的特有方式在过去只有新女婿或贵宾上门才能吃得到呢有意思的是震泽并不产茶但茶风盛行本地人喜欢周边的上海人或苏州市区的人也喜欢经常在周末的时候就开车至此享受慢悠悠的小镇生活尤其是坐在水边上享用四碗茶几乎成为了震泽古镇的一道风景线四道茶分别是水潽鸡蛋饭糍茶熏豆茶和绿茶在过去水潽鸡蛋专门招待新女婿的饭糍茶又称待帝茶相传招待过永乐皇帝熏豆茶顾名思义以熏青豆为主料配以胡萝卜干白芝麻绿茶叶目前震泽熏青豆制作技艺已入选吴江区非物质文化遗产保护名录依照过去的讲究这道茶要吃得干干净净但最后一杯绿茶就比较随意了前三道茶吃得讲究到了最后客人一边与主人拉着家常一边慢慢品味宾主共饮清茶一杯才正是君子之交淡如水回味隽永?店名四碗茶楼?人均20元?茶楼的最佳位置是沿河而坐店老板是一个很有意思的老太太会跟你说四碗茶的来历?茶点有瓜子花生等如果想吃糕点旁边就是仁昌顺??苏州市吴江区震泽古镇宝塔街古镇入口就能看见,9,"美,旗袍,河畔,四碗茶,风景,心情,美好时光,蚕宝宝,震泽,丝绸,古镇入口,四碗茶茶楼,吃茶,本地人,上海人,苏州市区,周末,小镇生活,水边,水潽鸡蛋,饭糍茶,熏豆茶,绿茶,新女婿,贵宾,熏青豆,非物质文化遗产,四碗茶楼,人均20元,沿河而坐,店老板,老太太,茶点,瓜子,花生,糕点,仁昌顺,苏州市,吴江区,震泽古镇,宝塔街,古镇入口",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
