评论,打分,积极评价要素词汇_1,,,,,,,,,,,,
"超开心和荣幸受到@NYLON尼龙 的邀约！！来德清新市古镇为@周洁琼 拍摄～跟着摄制组老师们一天奔波了好几个地方，洁琼宝宝的脸真的又精致又古典，在古镇场景中向我凝眸时，就像画一样～是非常开心的拍摄经历啦～ 成片出来也很喜欢????	     ",10,"古镇场景,精致,古典,凝眸,画一样,开心,拍摄经历",,,,,,,,,,,,
??：“你一句春不晚，我就到了真江南”总要来新市古镇感受一下白墙青瓦小桥流水吧和家人朋友逛一逛?尝一尝当地特色美食??仿佛真的能沉静下来体验这里的慢生活????-给大家推荐一下特色的美食小吃～??1??.先尝一尝糯叽叽的梅花饺?里面都是豆沙馅～本糯叽叽脑袋真的看到走不动道！！谁懂！2??.再体验特有的茶文化???一口熏豆茶一口甜茶?喝完还可以带一包锅糍回去泡着喝～3??.新市的茶糕也是出了名的好吃！！来了一定要试试?里面是超大颗的肉馅?糯叽叽的绝了4??.还有麦芽糖、麦芽塌饼、细沙羊尾等等特色美食都可以尝尝哦！-过年也是蛮推荐大家去新市古镇逛逛滴??年味满满 也和家人朋友感受一下慢节奏生活,1,,,,,,,,,,,,,
"“三街临两水，一镇越千年”新市古镇的烟火气，藏在清晨石板路的露珠里，隐于傍晚河面的粼粼波光中。这座始建于西晋的千年水乡，曾是京杭大运河上最大的水运码头，如今却低调得仿佛被时光遗忘。没有乌镇的喧闹，不似周庄的拥挤，唯有青瓦白墙与市井烟火，编织着一场原汁原味的江南旧梦。	?? 地址：浙江省湖州市德清县新市镇新市古镇	?? 交通：杭州自驾出发约1小时（推荐高铁至德清站→打车30分钟即达）	?? 门票：免票！免票！免票！2024年开始景区及所有展馆永久免票！	?? 游玩路线推荐：西河口水街（倒丫字古街，打卡驾仙桥、会仙桥）→?觉海寺（千年古刹，禅意摄影圣地）→?钟楼弄（80米深巷，羊肉面香气扑鼻）→?太平桥（宋代石桥，石狮镌刻岁月）	?? ?Tips：新市古镇每年清明有蚕花庙会，最热闹的时候~	?? ?周边串联玩法：新市古镇(上午，逛古街、品羊肉) →?德清下渚湖湿地(下午，观鸟、赏芦苇秘境) →?莫干山        ",1,,,,,,,,,,,,,
挂牌 Holiday Inn造景 Indigo1?? 在德清县新市古镇里面，毗邻京杭大运河，酒店侧门刷卡直通旁边新规划的古镇商业园区，商业园又直连古镇。一天兜兜转转是一个很不错的歇脚地儿。2??地库有新能源快慢充车位，不能很方便。3??钻卡今年过期了，入住不报指望随口提了一句：可不可以不要饮料券，送早。直接加了微信说帮申请。i 人难得厚脸皮成功“讨饭”；房型也升级到了最高楼层的河景房。4??酒店的从入户大堂到工区的造景的确不像假日，很有度假范儿。美中不足就是酒店内的大水池正在施工修复，看到的就是水泥大坑。  ,1,,,,,,,,,,,,,
     被小红薯骗过来，再也不来了！没有喝到想和的三道茶！！！ @德清文旅,3,,,,,,,,,,,,,
德清新市古镇两天一晚游玩攻略～  ,7,,,,,,,,,,,,,
"新市古镇位于浙江省德清县，距今已有数千年历史。千百年来居民临河而建，傍桥而市，形成典型的江南风情，作为浙北地区大运河侧的重要商埠，自古繁华，民风质朴，人才辈出，人文胜迹众多。依托“白墙灰瓦，小桥流水”的地方特色，我们从游客中心建筑结构中提取色彩与造型特点，使导视系统融于古镇环境，将新市的古韵以现代质朴的方式呈现，内敛简洁而又不失格调韵味，浑然天成，令人流连其间，无不能领略此地的清纯与从容。	项目名称：新市古镇游客中心项目地址：浙江省湖州市德清县服务内容：导视标识规划设计制作安装全案	盛和美设计??原创设计，转载请注明出处！	????????????????????????????",9,"古镇原貌,江南风情,白墙灰瓦,小桥流水,古韵,现代质朴,内敛简洁,格调韵味,清纯,从容",,,,,,,,,,,,
??交通攻略：1、 自驾：导航至“新市古镇”，周边有停车场，停车费用为3元/小时，距景区步行5分钟。2、 高铁：高铁到达德清站，再换乘公交或打车前往古镇。??门票：免费，但部分景点如钟兆林故居、蚕文化馆需要单独购票。?一日游必打卡线路：1、觉海禅寺：千年古刹，环境清幽，古树参天，是感受宁静氛围的好去处。2、西河口老街：古镇最具代表性的老街之一，保存了许多明清时期的古建筑，适合拍照打卡。3、太平桥：新市古镇的标志性建筑之一，造型古朴典雅，站在桥上可拍摄到古镇美景。??美食推荐：1、新市羊肉：当地特色美食，红烧做法，肉质鲜嫩，肥而不腻。2、茶糕：新市特有的传统糕点，外皮软糯有嚼劲，肉馅鲜美多汁。3、梅花糕：小巧玲珑的糕点，外皮酥脆，内馅软糯香甜。          ,8,"古镇原貌,商业水平不高,童年的梦,千年古刹,环境清幽,古树参天,宁静氛围,明清时期古建筑,拍照打卡,标志性建筑,造型古朴典雅,古镇美景,新市羊肉,红烧做法,肉质鲜嫩,肥而不腻,茶糕,外皮软糯,肉馅鲜美多汁,梅花糕,外皮酥脆,内馅软糯香甜",,,,,,,,,,,,
德清来的两位小姐姐很上镜呢    ,7,,,,,,,,,,,,,
" 希望达到新旧交融古镇风貌与融汇古今业态共存的新模式，浙进性规划更新文化特色地标的新印象，多元主体参与下懂行疗愈的新生活三大设计愿暴，设计主题:以时光凸透镜为主题，以构建南泉古镇文化意象为脉络，营造慢行疗愈生活为主线,打造一个连接古今、穿越时空、居游共存的非典型古镇",9,"新旧交融,古镇风貌,古今业态,文化特色地标,多元主体参与,时光凸透镜,南泉古镇文化意象,慢行疗愈生活,连接古今,穿越时空,居游共存",,,,,,,,,,,,
新市古镇位于湖州德清，距今已有数千年之久，建制历史就达1200多年，千百年来民居临河而建；傍桥而市，形成典型的江南风情。设计融合清丽婉约的古镇风貌、深邃的历史底蕴、古朴而浪漫的民俗风情。保留古镇底色、植入现代时尚文化，实现洁化、序化、艺术化。以延续文化历史，实现旧城复兴、水乡复兴。色彩提取自古镇、运河、建筑；结合高品质设计材料、现代化视觉，抒写古老之胜，水乡之美。?????????????????????,10,"古镇原貌,江南风情,清丽婉约,历史底蕴,古朴浪漫,民俗风情,现代时尚文化,洁化,序化,艺术化,色彩,高品质设计材料,现代化视觉,古老之胜,水乡之美",,,,,,,,,,,,
     被小红薯骗过来，再也不来了！没有喝到想和的三道茶！！！ @德清文旅,3,,,,,,,,,,,,,
"假期的最后一天扛起相机出门拍一拍我生活的古镇	",7,,,,,,,,,,,,,
"	[气球R]清明小假的第二天上午10点从湖州出发，驱车51分钟就抵达了湖州德清的新市古镇！但刚进城就傻眼了——街道两旁停满了车，停车场也车满为患。我们兜兜转转了20多分钟才找到一个路边的车位卡了进去……（??小贴士：错峰出行！节假日建议公共交通或早起！）	[种草R]不过，一踏入古镇的那一刻，所有的焦躁都烟消云散了！沿着石板路往河边走，瞬间穿越回了百年前的江南。首先打卡的是沈铨故居，这位清代花鸟画大师的故居就在明清直街上。面河的院子里一棵高大的香樟郁郁葱葱，白墙黛瓦间飘着若有若无的墨香，仿佛能听见笔尖与宣纸摩擦的沙沙声。	[星R]京杭运河穿镇而过，这里是江南七大古镇之一，始建于公元308年，古称“仙潭”。原住民的房屋临水而建，三街临河，傍桥而市，构成了典型的“小桥、流水、人家”的诗意江南，被誉为“千年小上海”。	[种草R]西河口明清古街更加热闹，颇有点丽江古城的味道。小河狭窄，木质阁楼密集。三步遇茶肆，五步见咖啡馆，还有小酒吧和歌厅。假日游人如织，在古旧的廊桥下围炉煮茶，竟有种奇异的时空交错感。	[樱花R]这么一个建制历史达1700多年的古镇，就在本市，我们却头一次来打卡，实在不应该啊！	????重点来了！本地人私藏美食清单：??玲阿娘梅花糕：梅花模子里翻出焦糖香，豆沙馅烫着嘴也要咬第二口??元松羊肉店：百年老灶炖的酥烂羊肉，配着劲道手工面连汤都喝光??仙潭老汤茶糕：揭开蒸笼那刻，糯米混着肉汁的蒸汽能香晕整条街?           ",9,"古镇原貌,商业水平不高,童年的梦,石板路,河边,沈铨故居,明清直街,香樟,白墙黛瓦,墨香,京杭运河,小桥,流水,人家,诗意江南,千年小上海,西河口明清古街,丽江古城,木质阁楼,廊桥,围炉煮茶,时空交错感,建制历史,玲阿娘梅花糕,元松羊肉店,仙潭老汤茶糕",,,,,,,,,,,,
"我在这个小众古镇拍到了“梨花院落溶溶月”！“忽如一夜春风来，千树万树梨花开。”前几日在苏州畅园看到梨花，就想找一个可以赏梨花的地方，于是就刷到了湖州新市古镇的这棵百年梨花。满树梨白，绽放在古镇水乡，尤其夜幕降临，水面呈现出的拱桥倒影和雪白的梨花，让我深刻体会到了晏殊诗词里的“梨花院落溶溶月”，邂逅一场江南的春醪！??湖州德清新市古镇非常小众的古镇，周末也不会人挤人，很适合在河边围炉煮茶赏花??杭州自驾50min，游客中心有停车场??门票：0r??设备：大疆御3pro??拍摄时间：2025.3.22??后期：剪映* ??我是@jamie-酱，带你瞰见不同的美景* Welcome?to?my?channel??* This is Jamie—a?travel?photographer* Welcome to follow me take you into the China captured by my lens, as we explore more of its breathtaking scenery and enchanting stories together!       @生活薯 @热点薯 @薯队长 @本地薯 @小红书创作助手",1,,,,,,,,,,,,,
青砖古巷，小桥流水，摇橹船飘然而过，一摇一曳，穿过小桥，路过人家。在这段摇橹之旅中，你会安享一份宁静，体会慢生活的闲暇与舒适。     ,10,"青砖古巷,小桥流水,摇橹船,宁静,慢生活,闲暇,舒适",,,,,,,,,,,,
从庙宇、祠堂到宅院民居，新市古镇的古建，大多是明清之后了，构造上都没有出现【斗拱】这样的出檐传力构件，转而采用更直接的檩条出挑。很像之前在江西一些地区晚期古建出现的做法。屋顶的戗角也多见嫩戗，构造很清楚。总体给人一种务实高效少装饰的感觉。  ,7,,,,,,,,,,,,,
-??春日暖阳倾洒，微风轻拂面庞，我随单位春游队伍，来到素有"小上海"之称的新市古镇?。这座枕着京杭运河的千年古镇，藏在杭嘉湖平原的德清县东部，有着独特的水乡风貌与深厚的文化底蕴。-??抵达古镇后，我们首先前往游客中心体验新市茶糕制作。这道传统点心工序颇为讲究：选用上等糯米经石磨碾成细粉，此为奠定软糯口感的关键；馅料以瘦肉为主，用纯酱油等调料精心腌制。经过搓粉、筛粉、压实、分切等多道工序，再入笼屉蒸制。出锅的茶糕糯而不黏，咸香猪肉中泛着微甜，令人回味无穷??！-??品尝完当地特色午餐，我们漫步古镇街巷。这里规模小巧，商业气息淡薄，旧时风貌保存完好，仿佛时光都放慢了脚步?。青石板路蜿蜒向前，流水潺潺与居民笑语交织，远离都市喧嚣，满是宁静惬意～明清至民国初年的临水民居错落有致，处处流淌着江南水乡的温婉韵味??。-??古镇虽小，却人才辈出，故居与展馆散落其间。其中最负盛名的当属钟兆琳故居与沈铨故居。踏入钟兆琳故居，意外发现此处还是九三学社浙江省传统教育基地——作为"中国电机之父"，钟兆琳先生不仅是九三前辈，更曾执教钱学森和江泽民，享有"天才教师"的美誉??！-??遗憾的是，因时间仓促，我未能寻得沈铨故居。通过资料得知，这位清代工笔花鸟大家、宫廷画师曾东渡日本，获"舶来画家第一"之誉。其严谨写实、赋色浓艳的画风，深刻影响了日本江户时代艺术，期待下次能深入了解他的艺术世界。-??所幸千年古刹觉海禅寺终被寻得。相传东晋至清末，新市寺庙数量冠绝江南同类古镇，曾建有30余座庵堂。历经岁月更迭，多数古寺湮灭，而唐代始建的觉海禅寺至今屹立。步入寺内，肃穆之气扑面而来：大雄宝殿巍峨壮观，殿前"七宝池"神奇非常，据说终年雨不满、旱不涸；池上"接凡桥"的雌雄石狮憨态可掬～周边部分建筑正在修缮，更添几分期待??！-??返程途中，我拎着亲手制作的茶糕，翻看相机里的照片：雕花窗棂透着烟火气，钟兆琳故居的泛黄旧影，觉海禅寺檐角轻晃的铜铃……新市古镇恰似一本未读完的旧书??，藏着沈铨故居的未解之谜、运河商船的古老传说。待下次造访，定要循着地图探访画楼，看工笔花鸟在宣纸上灵动生辉；再于廊棚下闲坐，啜一口碧绿茶汤，听老人们讲述运河浪花里的往事～-       ,9,"春日暖阳,微风,新市古镇,小上海,京杭运河,水乡风貌,文化底蕴,茶糕制作,上等糯米,石磨,瘦肉,酱油,调料,糯而不黏,咸香,微甜,回味无穷,特色午餐,街巷,规模小巧,商业气息淡薄,旧时风貌,青石板路,流水,居民笑语,宁静惬意,明清至民国初年,临水民居,江南水乡,温婉韵味,人才辈出,钟兆琳故居,沈铨故居,九三学社,中国电机之父,天才教师,钱学森,江泽民,工笔花鸟,宫廷画师,舶来画家第一,日本江户时代,觉海禅寺,千年古刹,东晋,清末,庵堂,唐代始建,大雄宝殿,七宝池,雨不满,旱不涸,接凡桥,雌雄石狮,修缮,雕花窗棂,烟火气,泛黄旧影,檐角铜铃,未解之谜,运河商船,古老传说,画楼,工笔花鸟,廊棚,碧绿茶汤,往事",,,,,,,,,,,,
这个古镇不一般，换个角度认识它     @新市古镇景区 @浙江文旅 @美丽浙江 @德清文旅,8,"古镇原貌,商业水平不高,童年的梦",,,,,,,,,,,,
?莫干山被称为 “全球最值得去的 45 个地方之一”，还是 4A 级景区，山青水秀，超值得一来??。这次小编整理了莫干山 12 个景点和美食攻略，快喊上小伙伴们一起收下吧！-??【游玩类型】?两天一夜Day1：??莫干山风景区 -??庾村Day2：??十八道湾漂流 -??新市古镇?三天两夜Day1：??义远有机农场 -??下渚湖湿地公园Day2：??莫干山风景区 -??庾村Day3：??鱼鳞坝 - 漂流 /??碧坞龙潭-?【交通】???杭州 - 莫干山 1.5h???上海 - 莫干山 2.5h???南京 - 莫干山 3h?-??【景点】?????莫干山风景区：自然风光与历史人文兼具，冬季雾凇、剑池飞瀑等景观超迷人????庾村：充满文艺气息的民国小镇，拍照超有氛围感????碧坞龙潭：小众亲子爬山好去处，竹海、潭水超治愈????新市古镇：千年古镇，古韵悠悠，历史韵味十足????下渚湖湿地公园：乘船赏湿地景观，观珍稀鸟类????上渚山奇幻谷：融合自然与游乐设施，项目丰富????裸心堡：充满欧式风情，拍照超上镜-?【注意事项】??1. ??四、五、六月可能受梅雨季影响，部分时段有雷暴雨。出行前一定要查看天气预报?，选晴天多云出行，不然下雨?会错过很多美景?2. ??建议自驾，莫干山景点分散，公共交通不太方便?3. ??来莫干山少不了玩水，记得带上泳衣???4. ??景区内蚊虫多，要带驱蚊水和花露水???5. ??住宿有条件一定要选莫干山山景房??，绝美风光尽收眼底-??【住宿】?????莫干山民宿：别墅多为现代简约 + 野奢风格，全落地窗、大理石地面，配置豪华。在这里能轻松体验莫干山文化?、当地人别墅生活??，享受当地特色高端饮食-??【美食】????4.0金鱼妈妈 山野?食趣 (庾村店)????4.6莫干兰庭餐厅?民国小院 (庾村店)????4.8浙里餐厅 (庾村店)??来?莫干餐厅 (庾村店)：农家砂锅土鸡煲，肉汁笋干，特色鱼煲-             ,8,"新市古镇,千年,古韵悠悠,历史韵味",,,,,,,,,,,,
