评论,打分,积极评价要素词汇_1,积极评价要素词汇_2,积极评价要素词汇_3,积极评价要素词汇_4,积极评价要素词汇_5,积极评价要素词汇_6,积极评价要素词汇_7,积极评价要素词汇_8,积极评价要素词汇_9,积极评价要素词汇_10,积极评价要素词汇_11,积极评价要素词汇_12,积极评价要素词汇_13,积极评价要素词汇_14,积极评价要素词汇_15,积极评价要素词汇_16,积极评价要素词汇_17,积极评价要素词汇_18,积极评价要素词汇_19,积极评价要素词汇_20,积极评价要素词汇_21,积极评价要素词汇_22,积极评价要素词汇_23
两条2条4米长的瞻淇鱼灯巡游整个社区10余条小鱼尾随其后周围人山人海热闹非凡??杭州.吉祥里??2024.12.29?我是一名行走的咛游摄影师 关注我可以看到更多杭州美景?,4,"瞻淇鱼灯,小鱼,人山人海,热闹非凡,杭州,吉祥里",,,,,,,,,,,,,,,,,,,,,,
来杭州旅行不要光拍西湖了下面这9个杭州机位朋友圈都问爆了?057壹号码头?桥西直街财神庙?粮仓艺术公园?丝联166?绿城吉祥里?运河天地?武林夜市?白蓝地?小河直街,8,"桥西直街,粮仓艺术公园,丝联166,绿城吉祥里,运河天地,武林夜市,小河直街",,,,,,,,,,,,,,,,,,,,,,
吉祥里还是很适合散步的古色古香的商场却有让人安静的力量晚风轻轻吹过脸颊的时候就会暂时忘记生活的烦恼耶河那边的亭子里有一位奶奶咿呀咿呀唱歌一位爷爷在和声真希望时间暂停能不能放假久点啊,9,"吉祥里,古色古香,商场,安静,晚风,河,亭子,奶奶,唱歌,爷爷,和声,时间暂停,放假",,,,,,,,,,,,,,,,,,,,,,
绿城吉祥里有空可以去溜达溜达目前为止小河对面还在开发期待[微笑R],8,"绿城吉祥里,小河对面,开发",,,,,,,,,,,,,,,,,,,,,,
地方不是很大周围的居民逛逛挺不错的,7,"地方,不大,居民,逛逛,不错",,,,,,,,,,,,,,,,,,,,,,
最近??出圈的,7,出圈,,,,,,,,,,,,,,,,,,,,,,
??总要去趟杭州吧吹吹西湖的晚风??感受烟雨江南之美??两天一夜之行附游玩攻略??.游玩路线??简易版1??灵隐寺法喜寺西湖大塘集鲜椒鱼蛙2??杭州博物馆杭州植物园棒老二烈火烤活鱼绿城吉祥里小河直街.小TIPS??1??证件??记得带好自己的身份证和学生证很多景点学生证都有优惠2??交通??大多数都是公交和自行车3??住宿??可以选择在西湖边交通便利4??衣物??近期天气可能比较炎热防晒和帽子记得带好,8,"烟雨江南,西湖,灵隐寺,法喜寺,大塘集,鲜椒鱼蛙,杭州博物馆,杭州植物园,棒老二烈火烤活鱼,绿城吉祥里,小河直街",,,,,,,,,,,,,,,,,,,,,,
地方不是很大周围的居民逛逛挺不错的,7,"地方,不大,周围,居民,逛逛,不错",,,,,,,,,,,,,,,,,,,,,,
总体量:2.3万方愿景留住杭城的烟火气的美好愿景定位将祥符桥历史保护建筑与河道景观融为一体成为杭州拱墅区又一处文旅新地标业态以市井生活艺文社交潮趣大赏三大业态打造日间文雅夜间鲜潮的品质生活场五大功能空间 : 河 街 宿 社 养在这里有商业的消费场景有民宿酒店的业态有文化产业的落地还有康养业态的引入但更重要的是这里还有旧时杭州市井的味道在这充满江南格调的吉祥里低矮的乌瓦黛墙枕水而建老桥粮仓等历史建筑保留着原有的样貌围坐在店门口烤火的商家在祥符桥头拍照的舞蹈团暖阳下磕着瓜子的周边居民这些画面都是老底子杭州人最熟悉不过的,9,"市井生活,艺文社交,潮趣大赏,乌瓦黛墙,老桥粮仓,历史建筑,河道景观,文旅新地标,商业消费场景,民宿酒店业态,文化产业落地,康养业态引入,杭州市井味道,江南格调,祥符桥头",,,,,,,,,,,,,,,,,,,,,,
??2025.02.15赶了个晚集毕竟一个年都没在杭州晚上有滚灯舞+最新奇的英歌舞没拍照片整条街的布置好看程度还是可以的拍照片+吃饭还是不错的亲子娱乐+闲逛的店铺偏少但是活动办的还是很不错的,8,"滚灯舞,英歌舞,布置,拍照,吃饭,活动",,,,,,,,,,,,,,,,,,,,,,
"谁说老城只能活在记忆里杭州中心区最宝藏的十三湾巷要大变身啦这次更新要破解三大""城市病""????堵车+停车难?新增3处停车场+226个车位联动周边升级共570个车位?20分钟步行圈覆盖3个地铁站+46个公交站+45个小红车点?屋顶农场使用权奖励绿色出行骑车攒能量能换种菜资格?????公共空间少?大量的街廊外摆和树梢街区聚餐浪漫约会看展露营遛娃滑板?老建筑屋顶变身天空球场APP预约打球节假日秒变市集?静水厅永不落幕脱口秀/越剧/话剧轮番上演的城市客厅?设计师的三大魔法?保留和恢复老城的尺度与密度延续杭州老城小尺度高密度的城市肌理?四个等级的改造方案确保老建筑安全适应新功能用廊桥串联多个孤岛组团屋顶到地库全打通?青砖黛瓦配玻璃幕墙碰撞出建筑诗?",9,"老城,记忆,宝藏,十三湾巷,更新,破解,城市病,堵车,停车难,停车场,车位,联动,升级,步行圈,地铁站,公交站,小红车点,屋顶农场,绿色出行,骑车,种菜,公共空间,街廊外摆,树梢街区,浪漫约会,看展,露营,遛娃,滑板,老建筑,屋顶,天空球场,APP预约,打球,节假日,市集,静水厅,脱口秀,越剧,话剧,城市客厅,设计师,魔法,保留,恢复,尺度,密度,杭州老城,小尺度,高密度,城市肌理,改造方案,老建筑安全,新功能,廊桥,孤岛组团,屋顶,地库,青砖黛瓦,玻璃幕墙,建筑诗",,,,,,,,,,,,,,,,,,,,,,
吉祥里不仅保留了原有的历史风貌更融入了现代元素使之成为一个集茶酒故事于一体的文化街区百年祥福桥千年换塘河以及众多地堡建筑如老茧行老粮仓等共同构成了吉祥里独特的城市更新内容基础在业态引入上吉祥里也充分尊重并延续了历史文化使古老与现代在这里交相辉映如果说城市更新的核心是内容产业的更新那么吉祥里在有限的空间内无疑将这一点发挥到了极致在这里你不仅可以品尝到传统的茶馆文化还能感受到咖啡馆的现代气息此外吉祥里还巧妙地结合了室外露充场的设计引入了新潮的滑板店美术馆网红书店等时尚元素再加上丰富多样的餐饮美食使得这条老街巷虽小却五脏俱全满足了不同年龄层不同兴趣爱好的人群需求,9,"历史风貌,现代元素,茶酒故事,文化街区,百年祥福桥,千年换塘河,地堡建筑,老茧行,老粮仓,城市更新,业态引入,历史文化,古老与现代,内容产业,茶馆文化,咖啡馆,室外露充场,新潮的滑板店,美术馆,网红书店,时尚元素,餐饮美食,不同年龄层,不同兴趣爱好",,,,,,,,,,,,,,,,,,,,,,
??杭州祥符里穿越千年的市井繁华????项目概况??祥符里这座承载着杭州千年运河文化的街区正以全新姿态迎接未来位于京杭大运河畔紧邻西湖与钱塘江祥符里不仅是历史的见证者更是现代都市生活的鲜活样本?????设计理念??我们的愿景是让祥符里成为连接过去与未来的桥梁留住杭城的烟火气在这里每一块青石板每一座古桥都在诉说着历史的故事同时也融入了现代生活的节奏????设计亮点??1?? 漕运文化的活化石祥符里保留了南宋以来的运河文化让你仿佛穿越回那个繁忙的商贸时代感受古桥河水与老宅的韵味2?? 现代与历史的对话我们在尊重历史肌理的基础上注入现代设计元素让传统与创新在这里碰撞焕发出新的生命力3?? 生活美学的展现无论是市井小巷还是文艺小店祥符里都将是你探索杭州生活美学的最佳起点??快来祥符里体验一次穿越千年的旅行吧??,9,"杭州,祥符里,千年运河文化,全新姿态,京杭大运河,西湖,钱塘江,历史见证者,现代都市生活,青石板,古桥,历史故事,现代生活节奏,漕运文化,活化石,南宋,运河文化,古桥河水,老宅韵味,现代设计元素,传统,创新,市井小巷,文艺小店,生活美学,杭州",,,,,,,,,,,,,,,,,,,,,,
[种草R]预测下??多多的拱墅区祥符街道重金打造的吉祥里将会是下一个小河直街[种草R]山外事是众多茶馆??里的特别存在主营武夷山岩茶和红茶茶馆主理人之一朱老师是布衣八音非遗传承人他也在推广失传700多年的尺八[种草R]全国精通尺八??人估计也只有200余人[种草R]尺八的命名源于乐器??尺八的长度一尺八寸当然尺八的尺寸在1尺六-1尺八这个区间每增加1寸会改变半个音节[种草R]不同于普通乐器??的观赏性尺八和古琴一样多是演奏给自己听??的[种草R]尺八盛行于隋唐南宋时日本僧人心地觉心东渡师从慧开法师[种草R]心地觉心向同在杭州黄龙洞护国仁王禅寺??同门师兄张参学得尺八??虚铎曲目后回日本开创了普化宗[种草R]尺八在元代以后逐渐没落而在日本却落地生根开花结果日本普化宗小乘宗都是用尺八作为修炼的禅器[种草R]杭州黄龙地铁口B口有块碑上面写着护国仁王寺遗址背面有尺八主庭字样就是杭州是尺八发源地的意思[种草R]朱老师吹萧时那是平和婉转的声音而尺八空灵悠扬声音更加粗犷表现力更加丰富朱老师在传承布依八音??同时也在推广尺八文化[种草R]茶??室另一位主理人黄老师来自武夷山深谙??茶叶文化整个茶????间即能闻??茶香又能沉浸式体验失传的管乐??心生欢喜乐哉,9,"祥符街道,吉祥里,小河直街,山外事,茶馆,武夷山岩茶,红茶,朱老师,布衣八音,非遗传承人,尺八,乐器,黄龙洞,护国仁王禅寺,杭州,发源地,黄老师,武夷山,茶叶文化,茶香,管乐",,,,,,,,,,,,,,,,,,,,,,
杭州打卡机位就在绿城吉祥里,7,"杭州,打卡机位,绿城吉祥里",,,,,,,,,,,,,,,,,,,,,,
周末人也不多 走走挺舒服,8,"周末,人也不多,走走,舒服",,,,,,,,,,,,,,,,,,,,,,
藏在吉祥里的墨绿色绝美复古空间??分上下二层器物之美让艺术诞生于日常??又是被器物治愈的一天,9,"墨绿色,复古,器物,艺术,日常,治愈",,,,,,,,,,,,,,,,,,,,,,
杭州绿城吉祥里?是杭州拱墅区的新晋文旅高地和打卡圣地位于祥符桥传统风貌街区占地170亩这,7,"绿城吉祥里,文旅高地,打卡圣地,祥符桥传统风貌街区",,,,,,,,,,,,,,,,,,,,,,
浙江杭州拱墅区的祥符里goa建筑师设计的两座桥还蛮有意思,7,"祥符里,goa建筑师,设计,桥,有意思",,,,,,,,,,,,,,,,,,,,,,
两条2条4米长的瞻淇鱼灯巡游整个社区10余条小鱼尾随其后周围人山人海热闹非凡??杭州.吉祥里??2024.12.29?我是一名行走的咛游摄影师 关注我可以看到更多杭州美景?,4,"瞻淇鱼灯,小鱼,人山人海,热闹非凡,杭州,吉祥里",,,,,,,,,,,,,,,,,,,,,,
也太太太太太太好拍了太美了还要再去无数次人有点懒其实是年后不久去的才整理出来住的地方是西湖边上的全季出门就有公交站入眼都是风景图片一张都舍不得删所以全放上了??没做攻略直接瞎玩去的地址是杭州博物馆??博物馆在山上要爬一个楼梯博物馆分南北馆图8连在一起里面也是楼梯相连的里面超级无敌多漂亮的文物图9至12还有很多可买的周边克制下我只挑了几个图13但是是今天再看也很美的存在最最重要的是杭州还有盗墓笔记大ip图14按照地址去可以打卡书店图15里的有些周边就是在书店里拍的吃饭的话不吃杭州本地菜还是有很多美食的如图17这家店18是萌妹子们会喜欢的中古店杭州有一条街走几步路就一家总之杭州你就去吧超好逛超好买无敌美的,9,"好拍,美,西湖边,全季,公交站,风景,杭州博物馆,山上,楼梯,南北馆,漂亮文物,周边,盗墓笔记,大IP,书店,中古店,美食",,,,,,,,,,,,,,,,,,,,,,
标题党一下至少是我自认为的[笑哭R]杭州几个做得好的非标准商业项目万科良渚玉鸟集万科天空之城小藤街绿城吉祥里(还没去过)保利时光里非标商业项目的定位应该是为附近3-5公里的居民提供购物中心一样的商业消费体验避免5-10公里的客流集中奔向某个商业综合体但又不同于传统写字楼或者小区底层沿街商业尽管大部分非标商业项目都是为了某个大楼盘提供商业价值继而带动楼盘价值但做的成功的真的不多非标商业项目要注意的连廊的连贯性为下雨天客流在屋檐下的动线的完整性相比较传统购物中心开放式街区要扩大自己的空间优势打造更丰富多变的空间感受和更加接近自然的室外体验在天然劣势上必须要有额外条件加成才能给非标商业项目更大的成功概率比如项目附近的高客质小区字楼公寓地铁口联通带来巨大客流保利时光里应该把非标项目需要的条件都具备了并且扩大了自己的优势还有额外加成除了天然零售品牌的劣势外餐饮品牌和体验业态非常好非常好非常好,8,"连廊,动线,空间优势,空间感受,室外体验,高客质小区,地铁口联通,餐饮品牌,体验业态",,,,,,,,,,,,,,,,,,,,,,
来杭州旅行不要光拍西湖了下面这9个杭州机位朋友圈都问爆了?057壹号码头?桥西直街财神庙?粮仓艺术公园?丝联166?绿城吉祥里?运河天地?武林夜市?白蓝地?小河直街,8,"桥西直街,粮仓艺术公园,丝联166,绿城吉祥里,运河天地,武林夜市,小河直街",,,,,,,,,,,,,,,,,,,,,,
照片是去年冬天拍的不知不觉在草稿箱里放得快跨年了类似吉祥里这样的街区杭州还有不少给它们一些时间长成文化地标何尝不是一种文艺复兴呢,7,"街区,时间,文化地标,文艺复兴",,,,,,,,,,,,,,,,,,,,,,
项目位于杭州市祥符单元内距离西湖核心风景区约9km总建筑面积约 37449.4 平方米项目南侧的 2 号楼和 3 号楼地上地下局部建设在全国重点文物保护单位大运河 -- 祥符桥的二类建设控制地带范围内项目建筑设计以宋代建筑的传统风貌为基调提取文化符号以现代的建筑材料表达传统意蕴形成特色首席商业街区该项目科肯平葺金属瓦铺装正如火如荼地进行中屋面干净利落期待整体完工后的最终效果项目名称祥福里建筑设计浙江当代建筑设计研究院有限公司屋面面积12000平米屋面材料科肯平葺金属瓦项目地址浙江省杭州市拱墅区祥符单元,7,"宋代建筑,传统风貌,文化符号,现代建筑材料,传统意蕴,特色首席商业街区,科肯平葺金属瓦铺装,屋面干净利落",,,,,,,,,,,,,,,,,,,,,,
祥符竟是南宋的皇家花木基地你知道祥符老街的来历么大中祥符是宋真宗赵恒的第三个年号承祥瑞符征之意公元1247年五里塘河开宦塘河通江达海作为大运河水系支流运河两岸商贾云集形成了祥符集镇祥符的花木名冠江南作为花道粮道的集散地一度是杭州的北门重镇如今的祥符老街不仅藏着清末民初的祥符茧行旧址五十年代的祥符桥粮仓还有被列入全国文保单位的祥符桥祥符桥横跨在五里塘河上五孔四墩明石暗木始建于南宋时期现存桥通长28米系明嘉靖二十二年1543重修作为杭州现存唯一的明代石梁桥桥面望柱头上雕饰覆莲及石狮技法纯熟形象生动为了保护祥符桥宦塘河上又修了平波桥卧虹桥如今的吉祥里历史风貌街区烟火气与潮流风尚古朴风霜与现代意匠在这里完美交融,8,"祥符,南宋,皇家花木基地,大中祥符,宋真宗赵恒,五里塘河,运河,商贾云集,祥符集镇,花木名冠江南,花道粮道,杭州北门重镇,祥符老街,清末民初,祥符茧行旧址,五十年代,祥符桥粮仓,全国文保单位,祥符桥,五里塘河,五孔四墩,明石暗木,南宋时期,桥通长28米,明嘉靖二十二年1543重修,明代石梁桥,桥面望柱头,雕饰覆莲,石狮,技法纯熟,形象生动,保护祥符桥,宦塘河,平波桥,卧虹桥,吉祥里历史风貌街区,烟火气,潮流风尚,古朴风霜,现代意匠",,,,,,,,,,,,,,,,,,,,,,
不是我说设计这个东西的人是个天才吧??今天和朋友去永福寺踏青被这幅现实版的花鸟图卷整个吸引住了梅花在画卷中跃然而出还吸引来了小鸟??这不就是现实版的花鸟卷山河社稷图吗??-??杭州永福寺??2025.3.9目前梅花盛花期-,9,"设计,天才,永福寺,花鸟图卷,梅花,小鸟,花鸟卷山河社稷图",,,,,,,,,,,,,,,,,,,,,,
杭州古荡瑜伽熊猫春天换春装大红色很适合它啊古荡地铁口C口出门就到有空可以去合影?,8,"瑜伽,熊猫,春天,换春装,大红色,古荡地铁口,合影",,,,,,,,,,,,,,,,,,,,,,
拱墅区小河直街和祥符老街跟着杭州电视台主持人安峰老师阿六头说新闻一起citywalk地道的杭州人和杭州话让我们走过的新街老街都鲜活起来一路上不断有粉丝上前与老师合影安峰老师始终笑容绽放[彩虹R]小河历史文化街区是杭州历史文化的活化石南宋始至清代中晚期各行各业店铺在小河地区扎下了根民国时期小河直街进行改建街巷和建筑风貌得以保存现今已成为体验杭州传统文化和运河生活的好去处安峰老师说这里是有烟火气的它不是纯粹的文化商业街很多一楼是商铺二楼是居所1我在小河很想你之考慧尔喊你来拷会儿小河喊您来约会啦地道的杭州话2酱园喜从天降之酱醋油酒茶情系千家酸甜苦辣咸香浮四季门口的对联是否很接地气这家始于1860年的酱作老店至今仍在那里传承3河埠头临河井据说当年对面酱园制酱用水就取自于临河井呢河埠头河岸边的那一只只可爱小石鸭有何寓意看下面孵坊便知4孵坊遗址现邈墨茶馆处民国时期每年春天孵坊便开始忙碌从甲方收取种蛋孵化成百上千的小鸡小鸭从河埠头出发销往各地远近闻名5小河驿国际昆曲会客厅昆曲艺术家杨崑老师的个人工作室是昆曲等传统文化的传播窗口据说听一曲杨崑老师的唱腔便会通体舒坦您不妨前往一试6姚宅现簪花小院民国时期永达木行创始人姚金淼自行设计并建造二层砖木结构住宅建筑是传统住宅向近代城市住宅转型的代表[彩虹R]祥符老街也是拱墅区一条历史悠久的街道它的名字来源于北宋宋真宗的年号它是杭州北门的重镇和水陆交通的枢纽老杭州们记忆中的那条老街还保留了茧行粮仓清末民居等历史建筑2023年改造后取名吉祥里正式开街改造不仅是对历史的尊重也是对现代生活方式的融合街区内始建于南宋明代重建的祥符桥已被重点保护近年另修建了一座新桥供人们通行站在新桥对古桥流水长长是否有阅尽江南良辰之感慨运河? ,9,"拱墅区,小河直街,祥符老街,杭州电视台,安峰老师,阿六头说新闻,citywalk,地道的杭州人,杭州话,新街老街,鲜活,历史文化街区,杭州历史文化,活化石,南宋,清代中晚期,民国时期,改建,街巷,建筑风貌,传统文化,运河生活,烟火气,文化商业街,商铺,居所,小河很想你,考慧尔,拷会儿,约会,杭州话,酱园喜从天降,酱醋油酒茶,情系千家,酸甜苦辣咸,对联,1860年,酱作老店,传承,河埠头,临河井,孵坊遗址,邈墨茶馆,民国时期,种蛋,孵化,小鸡,小鸭,河埠头,销往,远近闻名,小河驿,国际昆曲会客厅,昆曲艺术家,杨崑老师,个人工作室,传统文化,传播窗口,唱腔,通体舒坦,姚宅,簪花小院,永达木行,姚金淼,自行设计,建造,二层砖木结构住宅建筑,传统住宅,近代城市住宅,转型,祥符老街,拱墅区,历史悠久,北宋,宋真宗,年号,杭州北门,重镇,水陆交通,枢纽,老杭州,茧行粮仓,清末民居,历史建筑,2023年,改造,吉祥里,开街,历史,尊重,现代生活方式,融合,街区,南宋,明代,重建,祥符桥,重点保护,新桥,古桥流水,江南良辰,运河",,,,,,,,,,,,,,,,,,,,,,
6.15去工人文化宫的路上发现有一片凌霄花开放再看有个漂亮的书店?餐厅@谢谢书香 接着才发现这里有个历史建筑群叫五福里建筑群曾经是民国时期的高档住宅区出了龙翔桥地铁站没多远就能看到确实地理位置很好杭州传统石库门里弄建筑中西风格结合展现民国时期独特的建筑风格青砖实砌的墙红木格窗各种生活物品堆在巷子里有种生活的松弛感充满了生活气息绿化植被也很好看硬骨凌霄飘香藤架子上还有葡萄是个宝藏街区很小一个但是值得去看,9,"凌霄花,漂亮书店,餐厅,五福里建筑群,高档住宅区,龙翔桥,地理位置,石库门里弄建筑,中西风格结合,民国时期,青砖实砌,红木格窗,生活物品,巷子,生活气息,绿化植被,硬骨凌霄,飘香藤,葡萄,宝藏街区",,,,,,,,,,,,,,,,,,,,,,
