评论,打分,积极评价要素词汇_1,积极评价要素词汇_2,积极评价要素词汇_3
第三站安昌古镇不能说失望但也并不惊艳感觉和杭州小河直街的景色也差不多多了满街的卤味酱菜臭豆腐以及各色糕点唯一的意外之喜就是酒酿馒头笋干肉夹馍大块的红烧肉带着笋干的香味油浸到馒头里夹杂着酒酿的甜香太好吃了,7,"卤味,酱菜,臭豆腐,糕点,酒酿馒头,笋干肉夹馍,红烧肉,笋干,香味,甜香",,
青砖黛瓦橹船慢摇如果你没有听说过绍兴那么你一定听过从百草园到三味书屋绍兴真的是一个去了无数次还想去的城市来到这里从此江南水乡有了具象化-??绍兴2天1晚游玩路线Day1:西小路鲁迅故里仓前直街书圣故里八字桥Day2:东湖昂桑湖兰亭安昌古镇-??绍兴必去的打卡点?鲁迅故里从课本到现实读先生的书看先生的故里感受下先生笔下的江南?书圣故里小桥流水青砖黛瓦坐着慢悠悠的小船穿梭在江南水乡之间?昂桑湖蓝色的湖面上一条纤细的古道走在上面吹吹风很惬意?安昌古镇烟火气十足的古镇卖着各式各样的酱鸭腊肠一整年都很有年味的地方?兰亭王羲之笔下的绝美秘境以天下第一行书兰亭序而闻名茂林修竹夏日很凉快的地方-??住宿建议住在鲁迅故里附近靠近各大景点的中心位置去哪里都不远周围交通吃饭也都很方便-??交通各地高铁可以直接坐到绍兴北站距离市区也不远江浙沪地区也可以自驾1-2h-,10,"青砖黛瓦,橹船慢摇,江南水乡,具象化,鲁迅故里,书圣故里,小桥流水,烟火气,酱鸭腊肠,年味,兰亭,茂林修竹",,
与其他古镇不同安昌古镇仍旧保持着原生态的风貌沿街做生意的商铺也大多都是自家祖宅烟火气足很适合在一个阳光充足的午后吃吃饭喝喝茶??????????????路况信息?? 导航安昌古镇1号停车场??停车费??10元/车?? 门票免费如果要去几个展馆需要购票???? 高铁绍兴北站再打车到安昌古镇20分钟左右到达????游览路线游客中心??安昌古戏台??颖安桥??安康桥??寺桥??仁昌酱园??中国银行旧址环形路线不用走回头路????打卡游玩1? 手摇乌篷船?下江南必打卡摇橹船项目了?听船夫讲讲趣事看小桥流水?40元/船可坐2-3人??开放时间为 8:0016:302? 仁昌酱园?舌尖上的中国拍摄地?园内有一片酱缸铺满的古晒场?酱油价格小瓶十几块大桶装三十几块3? 景区内设有8个景点?城隍殿师爷馆中国银行旧址穗康钱庄安康寺风情馆石雕馆宣卷馆?可买联票40元/张??美食推荐??师爷小馄饨??腊肠  10元/串??梨膏糖 10元??孝店王酒酿馒头  原味2元/玫瑰花味3元??推荐??炸臭豆腐 10元 一般般??黄酒棒冰/酱油棒冰 3-10元??安昌印糕  25元??龙须糖 10元江南水乡看绍兴烟火年味看安昌满眼的腊肠酱鸭/鱼处处洋溢着年味与烟火气很适合过年前来采购一波年货伴手礼?,1,"古镇,原生态,风貌,自家祖宅,烟火气,阳光,吃饭,喝茶,路况信息,导航,停车费,门票免费,展馆,购票,高铁,打车,游客中心,古戏台,桥,酱园,旧址,手摇乌篷船,下江南,船夫,趣事,小桥流水,仁昌酱园,舌尖上的中国,酱缸,古晒场,酱油,景点,联票,师爷小馄饨,腊肠,梨膏糖,酒酿馒头,炸臭豆腐,黄酒棒冰,酱油棒冰,印糕,龙须糖,江南水乡,绍兴,年味,烟火气,腊肠,酱鸭,鱼,年货,伴手礼",,
安昌古镇??详细地址绍兴市-柯桥区-安华北路??交通攻略1火车高铁可坐至绍兴北站离安昌古镇约6公里2地铁绍兴轨道交通1号线至越州大道站离安昌古镇约6公里3自驾停车很方便车位充足??开放时间24小时??门票价格1门票免费26个小景点联票50元(线上49元)??亮点特色绍兴市区的一个古镇只要不是节假日游客都不多可以和附近的柯岩风景区一起玩离得很近?推荐乌篷船当地特色价格很便宜一艘船65元可以坐3个人?必打卡点入口古牌坊师爷馆安康寺安昌民俗风情馆中国银行旧址穗康钱庄城隍殿师爷故里仁昌酱园??美食推荐安昌腊肠扯白糖酱鸭黄酒奶茶臭豆腐,8,"古镇原貌,商业水平不高,童年的梦",,
??安昌古镇的历史最早可追溯到唐朝是浙江省内保存较为完整的历史古镇区别于乌镇西塘等名声大噪的江南古镇这里还算比较的有烟火气??古镇离绍兴市区大概30公里有停车场???可以直接导航到此 景区不需要门票但是要参观酱园师爷馆等六个景点可买50元的联票 乌篷船是60元单程节假日价格贵一点最多能坐三人古镇里小吃很多印糕蒸腊肠梅干菜饼等等还有师爷馄饨等一些小店味道也还不错??古镇除了一些商铺营业还有一些居民生活在此除了熟悉的商业环境也多了一些生活氛围但是不建议节假日去人流密集体验会打折扣,1,"唐朝,烟火气,不需要门票,小吃,生活氛围",,
??安昌古镇绍兴有名的四大古镇之一其建筑风格传承了典型的江南水乡特色一衣带水古朴典雅始建于北宋时期是绍兴师爷的故乡最有特色的是安昌的小桥其中最著名的是名为福禄万安如意这三座桥古镇人家嫁女儿时都要走全三桥??江南的古镇我去了很多像安昌古镇这般有烟火气的很少沿河的三里街市还保留着质朴的生活气息错落有致的翻轩骑楼古老的台门弄堂形态各异的拱桥石梁历经漫长的岁月风貌古朴依旧???开放时间全年全天??门票免费内部部分景点购票参观??地名安昌古镇??地址绍兴市安昌镇??交通??公交可在绍兴城区乘118路公交车到柯桥区安昌古镇在安昌大酒店站下车过条马路就是古镇每8-10分钟一班票价2元 也可以在柯桥城区乘805806816等路车直达每10-15分钟一班票价1元??自驾从沪杭甬高速公路柯桥出口下约5公里到柯桥区安昌街道??动车绍兴北站原绍兴柯桥站离安昌古镇的距离是5.7公里从杭州东站出发到绍兴北站大概10分钟左右,1,"安昌古镇,江南水乡,古朴典雅,北宋时期,绍兴师爷,小桥,福禄万安如意,三座桥,烟火气,三里街市,质朴的生活气息,翻轩骑楼,古老的台门弄堂,形态各异的拱桥石梁,风貌古朴",,
鲁迅在祝福中描写的场景我们今天依旧可以在绍兴的老镇子里看到江南冬至绍兴安昌古镇食材的准备工作早就开始了对于绍兴人来说鹌鹑鸭子猪头鳊鱼甚至萝卜没有什么食材是不能酱一酱再吃的富庶如江南酱和腌是传统中储存肉食最普遍的做法鱼干在老绍兴腊月的饭桌上和黄酒一般不可或缺用当地一种叫螺蛳青的巨大青鱼腌制晾晒而成盐不用多酒不可少取其咸鲜适口十几个好日头下来鱼干在光线的穿透中泛着迷人的酒红色闲时切下花糕也似的一小段但见脂白肉红软糯中透着淡淡的油脂特有的质感鱼干段码放在青花盘子里喷上白酒什么作料都不用只消上竹屉蒸上一刻钟即刻满屋鲜香筷子轻轻一拨莲瓣般的鱼肉从鱼骨上滑落下来满齿生香一小段清蒸鱼干一汤碗黄酒一小碟油炸花生米足耐得消遣一个暖和的冬日午后了市井长巷活色生香就是这样的烟雨廊石板巷有斜阳看时光流淌一城一碗一滋味见人见食见江湖.[向右R]选一个冬日暖阳过来各家各户都把酱货挂出来晾晒阴天就少一些有光线片子也好看[向右R] 不建议腊月风情节那几天或双休日人多也不要贪便宜买价格特别低的酱货[向右R] 早上的光线最好逆光和侧逆光最佳70-200的焦距最常用[向右R]沿着河边长廊边走边看边吃最适宜也可以体验一下乌篷船古镇里收费的场馆不太推荐倒是镇里的那些老巷子老台门颇值得逛逛是地道的老绍兴风情,9,"祝福,鲁迅,江南,冬至,安昌古镇,食材,准备工作,绍兴人,鹌鹑,鸭子,猪头,鳊鱼,萝卜,酱,腌,传统,储存肉食,鱼干,腊月,饭桌,黄酒,螺蛳青,青鱼,腌制,晾晒,盐,酒,咸鲜适口,日头,光线,酒红色,闲时,花糕,脂白肉红,软糯,油脂,质感,鱼骨,满齿生香,清蒸鱼干,油炸花生米,暖和,冬日午后,市井长巷,活色生香,烟雨廊,石板巷,斜阳,时光,一城一碗,滋味,人见食见江湖,冬日暖阳,酱货,光线,片子,腊月风情节,双休日,价格,早上的光线,逆光,侧逆光,河边长廊,乌篷船,收费的场馆,镇里,老巷子,老台门,地道,老绍兴风情",,
第三站安昌古镇不能说失望但也并不惊艳感觉和杭州小河直街的景色也差不多多了满街的卤味酱菜臭豆腐以及各色糕点唯一的意外之喜就是酒酿馒头笋干肉夹馍大块的红烧肉带着笋干的香味油浸到馒头里夹杂着酒酿的甜香太好吃了,1,"卤味,酱菜,臭豆腐,糕点,酒酿馒头,笋干肉夹馍,红烧肉,笋干,香味,甜香",,
木心先生曾说有骨的江南当看绍兴安昌古镇确实是不一样的江南水乡不愧是被央视评为年味十足的古镇冬日里暖阳洒落满街挂满了红彤彤的腊肠和酱肉空气中弥漫着浓郁的酱香仿佛每一口呼吸都能尝到年的味道瞬间让人感受到浓浓的年节氛围??????私藏游览路线 正大门进入  清风廊  城隍殿  穗康钱庄  石雕馆  绍兴宣卷馆  师爷馆  安昌民俗风情馆  安康寺  仁昌酱园  中国银hang旧址环形路线反着走也可以?? 地址绍兴柯桥区安昌古镇?? 门票免费展馆联票40R??交通?? 自驾导航绍兴柯桥区安昌古镇停车场即可到达停车费5元/4小时?? 高铁绍兴北站再打车到安昌古镇20分钟左右到达??美食? 腊肠 50-55元/斤10元/串? 黄酒棒冰/酱油棒冰 3-10元? 安昌印糕 25元?拍摄攻略1? 下午三点到逛完古镇后刚好可以看夜景2? 乌篷船下江南必打卡摇橹船听船夫高歌看小桥流水40元/船可坐2-3人3? 仁昌酱园舌尖上的中国拍摄地园内有2000余只酱缸场面壮观适合广角拍摄4? 腊味风情满街的腊肠酱肉年味十足记得用手机3-5倍长焦拍摄非常好看,9,"江南,水乡,年味,古镇,冬日,暖阳,腊肠,酱肉,酱香,年节氛围,清风廊,城隍殿,穗康钱庄,石雕馆,绍兴宣卷馆,师爷馆,安昌民俗风情馆,安康寺,仁昌酱园,中国银hang旧址,门票免费,展馆联票,自驾,停车费,高铁,绍兴北站,打车,美食,腊肠,黄酒棒冰,酱油棒冰,安昌印糕,拍摄攻略,夜景,乌篷船,摇橹船,小桥流水,仁昌酱园,舌尖上的中国,酱缸,广角拍摄,腊味风情,手机3-5倍长焦",,
宁波出发挑战100旅行目的地 之 绍兴安昌古镇[派对R][清单R]文字版攻略放在下面啦??导航宁波市区-安昌古镇推荐1号停车场出来就是古镇大门口??时长1个半小时[赞R]古镇美食/伴手礼1??特色腊鹌鹑和腊肠串古镇内外都有卖味道大同小异价格基本为鹌鹑5元一只腊肠10元一串购买的时候尽量要锅里下方的串摆在上面的基本都是凉的略肥腻2??孝店王酒酿馒头1店很便宜馒头2-3元?不等带肉馅儿的贵一点口感很蓬松气孔丰富是好吃的但他家酒酿类饮品个人觉得一般大概8-10元?一杯3??仁昌酱园舌尖上中国同款主要卖酱油店里还有酱菜酱料和一些腊味因为我不做饭就只买了20元?具体忘了的三种口味腐乳组合6小盒适合一人食尝鲜可能是安昌古镇限定网上暂时没找到其中的火腿腐乳真的惊艳到了带火腿丝的腐乳我还是第一次吃肉食星人爱了拌面好香4??咖啡黄酒18一瓶河岸的卖酒店铺随意买的滴??不沾的我感觉这个口味太呛了还有浓浓的咖啡香精味道但瓶子很漂亮两瓶还有一个手提袋而且黄酒是绍兴特色买了一些给朋友当伴手礼了不喝??的慎买喝完有点上头[彩虹R][彩虹R][彩虹R][星R]最后推荐一家在古镇附近的美食忠美饭店太饿了没拍在视频里真的好好吃饭店旁边有少量停车位但饭点比较紧张推荐早一点过去[清单R]强烈推荐点单咸菜冬笋炒肉一定要点超级鲜美腊肉拼盘不咸红烧排骨炸的甜口,1,"古镇,美食,腊鹌鹑,腊肠,酒酿馒头,酱园,腐乳,黄酒,忠美饭店,冬笋炒肉,腊肉拼盘,红烧排骨",,
Hi我是爱旅行的森屿走过很多座大大小小的春日小城唯独让我最喜欢的小城终于出现了这就是绍兴这座城市春天来绍兴旅游真的太惬意啦这篇超详细攻略快点赞收藏~-??旅游线路Day1抵达绍兴入住酒店鲁迅故里感受鲁迅笔下的童年乐园Day2安昌古镇鉴湖里体验水乡韵味赏千亩油菜花Day3西施故里旅游区返程-?必打卡景点1??鲁迅故里课本同款百草园迎来满园春色油菜花和芥菜生机勃勃石井栏皂荚树都能找到实物沉浸式感受大先生的童年时光2??安昌古镇始建于北宋河道千年流淌17座古桥横跨两岸乘坐乌篷船品尝手工酒酿扯白糖还能参观有100多年历史的仁昌酱园3??鉴湖里水面烟波缥缈三月的千亩油菜花绚烂绽放花香扑鼻还能品尝到鲜美河虾和有嚼劲的手工挂面4??西施故里旅游区踏入这里就走进了西施的传说浣纱石仍在江边仿佛能瞥见那位沉鱼女子的裙裾街头巷尾的次坞打面汤少料多鲜味十足-??交通攻略外地游客可先到杭州再选择高铁地铁或打车前往绍兴在绍兴共享单车和电动车随处可见出行超便捷-??住宿推荐推荐住在鲁迅故里仓桥直街或书圣故里附近出行方便周边美食也多-??其他Tips?鲁迅故里需提前在绍兴市文旅集团GZH??预约最好提前一星期?安昌古镇酱货飘香可按需购买?春季绍兴多雨记得携带雨具哦~,9,"绍兴, 春天, 惬意, 鲁迅故里, 童年乐园, 安昌古镇, 水乡韵味, 千亩油菜花, 西施故里旅游区, 沉浸式感受, 童年时光, 乌篷船, 手工酒酿扯白糖, 仁昌酱园, 鉴湖里, 烟波缥缈, 花香扑鼻, 鲜美河虾, 手工挂面, 西施传说, 浣纱石, 次坞打面汤, 出行便捷, 单车, 电动车, 仓桥直街, 书圣故里",,
1.与其说是个经典不如说它更像一个老的生活街区或者市集2.无门票 但是期待真别放太高了 跟乌镇这种一步一景的名镇还是相形见绌的 且里面的文化经典 绍兴师爷博物馆这种都是收费的逛的时候二楼不开放的 所以很快就看完了 没有几行字 也没有太多的藏品但来都来了看看没啥毛病 不然这一天更没法儿逛了3.说是不商业不网红但也是处处都是千篇一律的围炉煮茶4.如果你是一个食客就是来吃这些酱鸭酱鹌鹑肠这种当地特色的 来这里没毛病 如果你就是希望这是个没太开发的古镇想来主要看看江南景色 劝退5.建议游览时间 3h就吃吃逛逛 不能再多了6.关于美食推荐详见下一篇,1,"老的生活街区,市集,无门票,酱鸭,酱鹌鹑肠,当地特色,美食推荐",,
