原词,大类,小类
历史建筑,3,2
河道景观,3,1
文旅新地标,3,5
商业消费场景,2,1
民宿酒店业态,2,1
文化产业落地,3,3
康养业态引入,2,1
杭州市井味道,5,2
江南格调,3,2
祥符桥头,3,2
滚灯舞,3,3
布置,2,1
吃饭,5,2
老城,3,2
记忆,5,3
宝藏,5,3
十三湾巷,3,2
城市病,5,1
堵车,5,1
停车难,5,1
停车场,2,3
车位,2,3
联动,4,1
升级,5,1
步行圈,2,2
地铁站,2,3
公交站,2,3
小红车点,2,3
屋顶农场,2,1
绿色出行,5,1
骑车,4,1
种菜,4,1
公共空间,2,2
街廊外摆,2,2
树梢街区,2,2
浪漫约会,4,1
看展,4,1
露营,4,1
遛娃,4,1
滑板,2,3
老建筑,3,2
屋顶,2,1
天空球场,2,1
打球,4,1
节假日,4,1
市集,2,1
静水厅,2,1
脱口秀,2,1
越剧,3,3
话剧,4,1
城市客厅,2,1
魔法,3,3
保留,5,2
恢复,5,1
尺度,5,2
密度,3,1
杭州老城,3,2
小尺度,3,2
高密度,3,1
城市肌理,3,2
老建筑安全,3,2
新功能,2,1
廊桥,3,2
孤岛组团,3,1
地库,2,3
青砖黛瓦,3,2
建筑诗,3,2
历史风貌,3,2
现代元素,3,2
茶酒故事,3,4
百年祥福桥,3,2
千年换塘河,3,1
地堡建筑,2,1
老茧行,2,1
老粮仓,2,1
城市更新,5,1
业态引入,2,1
历史文化,3,3
古老与现代,5,2
茶馆文化,3,3
室外露充场,2,2
新潮的滑板店,2,1
网红书店,2,1
时尚元素,5,2
餐饮美食,3,4
不同年龄层,5,1
不同兴趣爱,4,1
千年运河文化,3,3
全新姿态,5,2
京杭大运河,3,1
钱塘江,3,1
历史见证者,3,2
现代都市生活,5,2
青石板,3,2
古桥,3,2
历史故事,3,3
现代生活节奏,5,2
漕运文化,3,3
活化石,3,2
南宋,3,3
运河文化,3,3
古桥河水,3,1
老宅韵味,3,2
现代设计元素,3,2
传统,3,3
创新,5,1
市井小巷,3,2
文艺小店,2,1
生活美学,5,2
祥符街道,2,1
山外事,5,2
茶馆,2,1
武夷山岩茶,3,4
布衣八音,3,3
非遗传承人,3,3
乐器,3,3
发源地,3,3
茶叶文化,3,3
管乐,3,3
打卡机位,2,3
周末,4,1
人也不多,5,2
走走,4,1
舒服,5,2
墨绿色,3,2
复古,3,2
器物,2,3
艺术,3,3
日常,5,2
治愈,5,3
文旅高地,3,5
打卡圣地,5,1
设计,2,1
桥,3,2
有意思,5,3
好拍,5,2
美,5,2
西湖边,3,1
全季,2,1
风景,3,1
山上,3,1
楼梯,2,1
南北馆,2,1
漂亮文物,3,3
大IP,3,3
中古店,2,1
美食,3,4
连廊,2,1
动线,2,2
空间优势,2,2
空间感受,5,2
室外体验,4,1
地铁口联通,2,3
餐饮品牌,2,1
体验业态,2,1
街区,2,1
文化地标,3,2
文艺复兴,3,3
宋代建筑,3,2
文化符号,3,3
现代建筑材料,3,2
传统意蕴,3,3
特色首席商业街区,2,1
科肯平葺金属瓦铺装,3,2
屋面干净利落,3,2
祥符,3,2
皇家花木基地,2,1
大中祥符,3,3
五里塘河,3,1
运河,3,1
商贾云集,3,3
祥符集镇,3,2
花木名冠江南,3,1
花道粮道,3,4
清末民初,3,2
祥符茧行旧址,3,2
五十年代,3,3
祥符桥粮仓,2,1
全国文保单位,3,2
五孔四墩,3,2
明石暗木,3,2
南宋时期,3,3
桥通长28米,2,2
明嘉靖二十二年1543重修,3,2
明代石梁桥,3,2
桥面望柱头,3,2
雕饰覆莲,3,2
石狮,3,2
技法纯熟,3,4
形象生动,5,3
保护祥符桥,3,2
宦塘河,3,1
吉祥里历史风貌街区,3,2
烟火气,5,2
潮流风尚,3,3
古朴风霜,3,2
现代意匠,3,2
永福寺,3,2
花鸟图卷,3,2
梅花,3,4
花鸟卷山河社稷图,3,3
瑜伽,4,1
春天,3,1
换春装,5,2
大红色,3,2
古荡地铁口,2,1
合影,4,1
杭州电视台,2,1
citywalk,4,1
地道的杭州人,5,3
杭州话,3,3
新街老街,3,2
鲜活,5,2
历史文化街区,3,2
杭州历史文化,3,3
清代中晚期,3,2
民国时期,3,3
改建,2,1
建筑风貌,3,2
传统文化,3,3
运河生活,5,2
文化商业街,2,1
商铺,2,1
居所,2,1
小河很想你,5,3
拷会儿,4,1
约会,4,1
酱园喜从天降,3,4
酱醋油酒茶,3,4
情系千家,5,3
酸甜苦辣咸,3,4
对联,3,3
酱作老店,2,1
河埠头,3,1
临河井,2,2
孵坊遗址,3,2
邈墨茶馆,2,1
种蛋,3,4
小鸡,3,4
远近闻名,5,2
小河驿,2,1
国际昆曲会客厅,2,1
昆曲艺术家,3,3
杨崑老师,3,3
个人工作室,2,1
传播窗口,3,3
唱腔,3,3
通体舒坦,5,3
姚宅,2,1
簪花小院,2,1
永达木行,2,1
自行设计,5,3
建造,2,1
二层砖木结构住宅建筑,3,2
传统住宅,3,2
近代城市住宅,3,2
转型,5,1
历史悠久,3,2
北宋,3,3
宋真宗,3,3
年号,3,3
重镇,3,2
水陆交通,2,3
枢纽,2,1
老杭州,3,5
茧行粮仓,2,1
清末民居,3,2
改造,3,2
开街,4,1
历史,3,3
尊重,5,3
现代生活方式,5,2
明代,3,2
重建,3,2
重点保护,3,2
新桥,3,2
古桥流水,3,1
江南良辰,5,3
凌霄花,3,1
漂亮书店,2,1
五福里建筑群,3,2
高档住宅区,2,1
龙翔桥,2,1
石库门里弄建筑,3,2
中西风格结合,3,2
青砖实砌,3,2
红木格窗,3,2
生活物品,2,3
巷子,3,2
生活气息,5,2
绿化植被,3,1
硬骨凌霄,3,2
飘香藤,3,1
葡萄,3,4
宝藏街区,3,5
晚饭,5,2
新店,2,1
关门,2,1
周年庆,4,1
人气,5,1
喝茶,2,1
水上巴士,2,3
武林码头,2,1
拱宸桥,3,2
游西湖,4,1
人少,5,2
新市古镇,3,5
水泥装饰,2,1
文化底蕴,3,3
独特魅力,5,3
烦恼,5,3
丰富多彩,5,2
几何书店,2,1
古装美女小姐姐,5,3
天台音乐会,4,1
邓丽君,3,4
歌曲,5,3
音乐,3,3
摇曳身姿,5,3
惬意,5,2
屏风,3,2
纹样,3,2
东方美学,3,3
现代审美,5,2
新中式,3,2
环境优美,5,2
宋韵,3,3
生活艺术,5,2
潮流,5,2
户外自然,3,1
国风运动会,4,1
花神集会,4,1
游园市集,4,1
文化创意街区,2,1
文旅消费,5,1
新兴聚集地,2,1
古建筑保护,3,2
旧街区改造,3,2
新商业开发,5,1
复合体,2,1
城市情结,5,3
水元素,3,1
滨水商业街区,2,1
逛吃逛吃,4,1
拍照打卡,4,1
花神活动,4,1
舟山海鲜面,3,4
十二花神巡游,4,1
运气针不戳,5,3
南派武术,3,3
地方戏剧,3,3
梁山好汉,3,3
英雄故事,3,3
刚劲有力,5,3
锣鼓,3,3
节奏,5,2
英雄豪迈,5,3
正义,5,3
勇气,5,3
荷尔蒙,5,3
敲锣打鼓,4,1
击棍起舞,4,1
热血贺岁,5,3
元宵气氛组,5,2
湖滨,3,1
西子连廊,2,1
浙江省文化馆,2,1
文艺赋美,5,2
盲盒音乐会,4,1
元宵节,3,4
民间舞蹈,3,3
舞步,4,1
最强元宵气氛组,5,2
非遗,3,3
鱼灯表演,4,1
圣诞装饰,3,3
积印章活动,4,1
灯笼,3,2
古筝表演,4,1
雪花,3,1
鱼灯活动,4,1
大鱼灯,3,3
传统江南院落,3,2
低密,3,1
空间规划合理,5,1
文艺店,2,1
老头油爆虾,3,4
美食店,2,1
文化,3,3
商业,5,1
古风庭院,3,2
现代设计,3,2
祥符长桌宴,3,4
杭州卤鸭,3,4
卤汁,3,4
鸭肉,3,4
酱香,3,4
糖醋里脊,3,4
外酥里嫩,3,4
酸甜可口,3,4
猪肉炖粉条,3,4
鲍鱼烧茄子,3,4
金汤酸菜鱼,3,4
精酿啤酒,2,3
咖啡,2,1
气泡水,3,4
繁华街区,3,2
古色古香屋檐,3,2
现代商铺,2,1
地域文化,3,3
奈雪,3,4
星巴克,2,1
觅香火锅,3,4
灯会,3,3
猜灯迷,4,1
舞狮,3,4
舞龙,4,1
传统年俗,3,3
非遗打铁花,3,3
风火轮,2,3
火壶,2,3
盒子灯,2,3
舞渔灯,4,1
变脸,3,3
傩戏,3,3
表演,4,1
过大年,4,1
民间年俗,3,3
传统活动,4,1
年味,5,2
热闹,5,2
潮汕英歌,3,3
密锣紧鼓,5,2
击棍声,3,3
吆喝声,5,2
韩信点兵,3,3
古战场,3,2
热血震撼,5,3
压迫感,5,2
勇士,4,1
赴汤滔火,5,3
浴血奋战,4,1
电影色调,5,2
羡野美术馆,2,1
艺术商店,2,1
展览空间,2,2
公共活动区,2,2
用色,3,2
金属感楼梯,2,1
布拉格红,3,2
小房间,2,2
光影效果,3,2
清冷,5,2
雨,3,1
独享,5,3
花,3,1
中心位置,2,2
诗与远方,5,3
造型,3,2
月季长廊,3,1
古祥符桥,3,2
祥符桥街区,3,2
花开吉祥,3,3
祥符花朝节,3,4
十二花神巡游盛典,4,1
柳浪闻莺,3,1
雷峰塔,3,2
三潭印月,3,1
花港观鱼,3,1
苏堤,3,1
曲院风荷,3,1
西泠印社,3,2
断桥残雪,3,1
杭州东站,2,1
杭州西子湖四季酒店,2,1
杭州法云安缦,2,1
罗莱夏朵杭州紫萱度假村,2,1
绿城杭州玫瑰园度假酒店,2,1
杭州千禧度假酒店,2,1
浙江西子宾馆,2,1
杭州西湖国宾馆,2,1
杭州酒家,2,1
知味观味庄,2,1
楼外楼,2,1
方老大面,3,4
奎元馆,2,1
打卡,4,1
杭州之门,2,1
春水,3,1
画船,2,3
花船快闪,4,1
汉服,3,3
花神巡游,4,1
花朝集章,4,1
芳菲市集,2,1
伴手礼,3,4
同袍,3,3
社区化,5,1
看书,2,1
喝咖啡,2,1
交流,4,1
手工制作,3,4
花艺,3,3
体验,4,1
鲜花,3,1
围炉,2,1
缤纷水果茶,3,4
绿植,3,1
吉祥物,3,3
跳舞,4,1
囧囧,5,3
憨憨,5,3
可爱,5,3
英雄之歌,3,3
英雄豪迈之气,5,3
燃爆,5,2
元宵气氛,5,2
鸟檐,3,2
闫师傅,2,1
苏师傅,2,1
鱼,3,1
烧鸟,3,4
聊天,4,1
板前椅子,2,3
相册,2,3
照片,5,1
磁场,5,2
纠缠,5,3
食物,3,4
杭州天花板,5,2
幸福,5,3
分享,5,2
小朋友,5,3
露台,2,2
树,3,1
风铃,3,2
春雷,3,1
毯子,2,3
银色屋檐,3,2
朋友,5,3
日出,3,1
打铁花,3,3
傩戏表演,3,3
血脉贲张,5,3
热血沸腾,5,3
视生死置之度外,5,3
奋勇向前,4,1
气势,5,2
热血英歌,3,3
吉祥里街区,2,1
两层小楼,2,1
栅栏,2,3
旋转楼梯,2,1
白色矮墙,3,2
童话,5,3
精灵,3,3
古灵精怪,5,3
橙黄色透明亚克力隔板,2,3
小物件,2,3
橙黄色长条瓷砖,3,2
半墙,3,2
外文书,2,1
拱形走廊,2,2
书架,2,1
儿童少年文学,3,4
文创,3,4
小圆桌,2,2
吃饱肚子,5,2
存在即合理,5,3
剧场,2,1
小朋友桌椅,2,3
投影,2,3
大人的笑声,5,2
初冬阳光,3,1
祥睦桥,3,2
清明假期,4,1
大娃怪市,3,4
奇趣怪异的商品,2,3
复古风潮流范的穿搭,5,2
微剧本杀,4,1
集章互动游戏,4,1
随机舞蹈,4,1
coser表演,4,1
凤凰里咖啡生活节市集,2,1
手作达人,4,1
独立品牌,2,3
文创艺术,3,3
轻食咖啡,2,1
非遗传承,3,3
趣味互动,4,1
野雀咖啡面包节,2,1
祥符花朝节春日盛宴,3,4
花神走秀,4,1
太子湾郁金香花展,3,1
郁金香,3,1
绿野小森林,3,1
森林集市,2,1
蘑菇屋,2,1
森林画廊,3,1
手工工作坊,2,1
热情,5,2
英歌,3,3
热血,5,3
清明,3,1
假期,5,1
奇趣怪异,5,2
商品,2,3
复古风,3,2
潮流范,5,2
穿搭,5,2
惊喜,5,3
奇幻,5,3
cos,4,1
杀青角色,3,3
亲友,5,2
面包,3,4
春日盛宴,5,3
百花齐放,3,3
文化活动,4,1
治愈系,5,2
森林奇遇,4,1
精神角落,5,2
猫叔咖啡馆,2,1
岩石户外风格,3,2
精品咖啡馆,2,1
视野开阔,5,2
舒缓的音乐,5,2
服务,2,3
水墨拿铁,3,4
深烘豆子,3,4
国风咖啡,2,1
口感,3,4
特调拿铁,2,1
咖啡味,3,4
奶味,3,4
甜度,3,4
清幽,5,2
古木参天,3,1
溪水潺潺,3,1
自然与人文,3,2
静心修行,3,3
佛像,3,2
多元文化元素,3,3
佛教,3,3
中国传统文化,3,3
酒馆,2,1
花符酒肆,2,1
中式恐怖主题,3,3
万圣节活动,4,1
酒水打折,2,1
免费活动酒水赠送,2,3
花神庙,3,2
风水宝地,3,2
花神庇护,3,3
祈求幸运,3,3
祛除水逆,5,3
鼓瑟吹箫,3,3
羡野茶车,2,1
童话世界,5,3
冬日浪漫,5,2
空间设计,2,2
光明,3,3
玫瑰,3,1
霹雳,4,1
十二城巡展,4,1
人类的明天,5,3
特别多样的表达,5,2
旧旧的回忆,5,3
纸上,3,3
静静翻阅,5,2
交叠,3,2
游园,4,1
人潮涌动,5,2
妙遇,5,3
假日,5,1
静谧,5,2
环境优雅,5,2
氛围温馨,5,2
专业泡茶技艺,2,1
细致入微,5,2
世外桃源,5,3
茶品丰富多样,2,1
花香小赤甘,3,4
清香扑鼻,5,2
回味无穷,5,3
味蕾,3,4
享受,5,3
品茶,2,1
静心,5,2
忘却尘嚣,5,2
惬意时光,5,2
强烈推荐,5,3
绿地,3,1
一室户,2,1
好玩儿,5,2
热情如火,5,3
烟花,3,1
期待,5,3
温润如玉,5,2
柔情似水,5,3
喜欢,5,3
艺术空间,2,1
很大,5,2
独立包厢,2,2
散客区,2,3
室外露台,2,2
景观位,2,2
古朴雅致,3,2
质感,5,2
乐器陈设,2,1
艺术氛围,5,2
民乐小酒吧,2,1
live演出,4,1
有茶,2,1
有酒,3,4
有乐,5,3
失望,5,3
俯拍视角,4,1
徽派建筑外墙,3,2
杂乱的店铺灯光,5,1
小鱼灯,3,4
新年氛围,5,2
汉服小姐姐,4,1
观感,5,2
人巨多,5,1
地方很小,5,1
人挤人,5,2
无人机俯视,4,1
烟花秀,4,1
电子烟花秀,4,1
小心形,5,3
喷火,4,1
宣传效果,5,1
导航,2,3
地铁2号线,2,3
地铁10号线,2,3
重映,4,1
雅扇,3,4
非遗技艺,3,3
杭扇,3,4
制扇技艺,3,3
对话,4,1
地铁,2,3
游船路线,4,1
坝子桥,3,2
船票,2,3
游船时间,4,1
Citywalk路线,4,1
德寿宫,3,2
胡雪岩故居,3,2
望仙阁,2,1
故宫,3,2
茶世界观,2,1
茶文化,3,3
精品文物展,3,3
明清画卷,3,2
音乐节,4,1
烟花瀑布,3,1
元旦,4,1
跨年,4,1
活动合集,4,1
跨年夜活动,4,1
回应,5,3
玩,4,1
茶,2,1
龙坞,3,2
绿城,3,2
龙坞茶镇,3,2
九街,2,1
春日雅集,4,1
赛博风筝,4,1
瓶窑老街,3,2
非遗大戏,3,3
一周年,5,3
向上生长,3,1
焕新,5,1
祥符美学生活,3,3
合集,3,5
蛇舞,4,1
龙坞绿城,2,1
美好产业,5,1
暴涨,5,1
发卡,2,3
火了,5,2
太湖,3,1
紫砂,3,4
大佛,3,2
园林,3,2
历史韵味,3,2
银行,2,1
小学,2,1
自己,5,3
重生,5,3
卖盖饭,3,4
麻辣烫,3,4
炒面,3,4
爽文,5,3
外卖,2,3
强国有我,5,3
龙腾,3,3
新玩法,4,1
百人长桌宴,3,4
迎重阳,4,1
向上,5,3
生长,3,1
美学,5,2
生活,5,2
建筑风格,3,2
生活环境,5,2
文化氛围,5,2
携手,5,3
再迈步,4,1
共富,5,1
奔未来,5,3
菊花精品展,3,4
菊花艺术展,3,4
老街,3,2
重阳,3,3
引领,5,2
风尚,5,2
共话,5,2
百日庆典,4,1
五云山,3,1
千年银杏,3,1
老市井,5,2
新烟火,5,2
新范本,3,3
小桥流水,3,1
